| Economy | PORTUGAL |
| --- | --- |
| Economy - overview: | Portugal has become a diversified and increasingly service-based economy since joining the European Community - the EU's predecessor - in 1986. Over the following two decades, successive governments privatized many state-controlled firms and liberalized key areas of the economy, including the financial and telecommunications sectors. The country joined the Economic and Monetary Union in 1999 and began circulating the euro on 1 January 2002 along with 11 other EU members. |
| Economy - overview: | The economy grew by more than the EU average for much of the 1990s, but the rate of growth slowed in 2001-08. The economy contracted in 2009, and fell again from 2011 to 2014, as the government implemented spending cuts and tax increases to comply with conditions of an EU-IMF financial rescue package, signed in May 2011. A modest recovery began in 2013 and gathered steam in 2014 due to strong export performance and a rebound in private consumption. Although austerity measures were instituted to reduce the large budget deficit, they contributed to record unemployment and a wave of emigration not seen since the 1960s. |
| Economy - overview: | A continued reduction in private- and public-sector debt could weigh on consumption and investment in 2016, holding back a stronger recovery. The prior center-right government passed legislation aimed at reducing labor market rigidity, and, this, along with sustained fiscal discipline, could make Portugal more attractive to foreign direct investment. Under the center-right government, the budget deficit fell from 11.2% of GDP in 2010 to 3.5% in 2015, reaching the EU-IMF target of 4%, but still above its EU fiscal obligations, under the excessive deficit procedure. EU-IMF financing expired in May 2014. The new center-left Socialist government, however, has signaled that it will unwind spending cuts associated with austerity while remaining within EU fiscal targets. |
| GDP (purchasing power parity): | $289.8 billion (2015 est.) |
| GDP (purchasing power parity): | $285.6 billion (2014 est.) |
| GDP (purchasing power parity): | $283 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $199.1 billion (2015 est.) |
| GDP - real growth rate: | 1.5% (2015 est.) |
| GDP - real growth rate: | 0.9% (2014 est.) |
| GDP - real growth rate: | -1.1% (2013 est.) |
| GDP - per capita (PPP): | $27,800 (2015 est.) |
| GDP - per capita (PPP): | $27,500 (2014 est.) |
| GDP - per capita (PPP): | $27,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 15.6% of GDP (2015 est.) |
| Gross national saving: | 15.2% of GDP (2014 est.) |
| Gross national saving: | 16% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 65.9% |
| GDP - composition, by end use: | government consumption: 18.1% |
| GDP - composition, by end use: | investment in fixed capital: 15% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 40.3% |
| GDP - composition, by end use: | imports of goods and services: -39.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 21.9% |
| GDP - composition, by sector of origin: | services: 75.9% (2015 est.) |
| Agriculture - products: | grain, potatoes, tomatoes, olives, grapes; sheep, cattle, goats, pigs, poultry, dairy products; fish |
| Industries: | textiles, clothing, footwear, wood and cork, paper and pulp, chemicals, lubricants, automobiles and auto parts, base metals, minerals, porcelain and ceramics, glassware, technology, telecommunications; dairy products, wine, other foodstuffs; ship construction and refurbishment; tourism, plastics, financial services, optics |
