| Economy | Iran |
| --- | --- |
| Economy - overview: | Iran's economy is marked by statist policies and an inefficient state sector, which create major distortions throughout the system, and reliance on oil, which provides a large share of government revenues. Price controls, subsidies, and other rigidities weigh down the economy, undermining the potential for private-sector-led growth. Private sector activity is typically limited to small-scale workshops, farming, some manufacturing, and services. Significant informal market activity flourishes and corruption is widespread. Tehran since the early 1990s has recognized the need to reduce these inefficiencies, and in December 2010 the Majles passed President Mahmud AHMADI-NEJAD's Targeted Subsidies Law (TSL) to reduce state subsidies on food and energy. This was the most extensive economic reform since the government implemented gasoline rationing in 2007. Over a five-year period the legislation sought to phase out subsidies that previously cost Tehran $60-$100 billion annually and mostly benefited Iran''s upper and middle classes. Cash payouts of $45 per person to more than 90% of Iranian households mitigated initial widespread resistance to the TSL program. However, inflation in 2012 reached its highest level in four years, eroding the value of these cash payouts and motivating the Majles to halt planned price increases for the second half of 2012 through at least March 2013. New fiscal and monetary constraints on Tehran, following international sanctions in January against Iran''s Central Bank and oil exports, significantly reduced Iran''s oil revenue, forced government spending cuts, and fueled a 20% currency depreciation. Economic growth turned negative for the first time in two decades. Iran also continues to suffer from double-digit unemployment and underemployment. Underemployment among Iran''s educated youth has convinced many to seek jobs overseas, resulting in a significant "brain drain." |
| GDP (purchasing power parity): | $988.4 billion (2012 est.) |
| GDP (purchasing power parity): | $1.007 trillion (2011 est.) |
| GDP (purchasing power parity): | $977.7 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $541.2 billion (2012 est.) |
| GDP - real growth rate: | -1.9% (2012 est.) |
| GDP - real growth rate: | 3% (2011 est.) |
| GDP - real growth rate: | 5.9% (2010 est.) |
| GDP - per capita (PPP): | $13,000 (2012 est.) |
| GDP - per capita (PPP): | $13,400 (2011 est.) |
| GDP - per capita (PPP): | $13,200 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 30.3% of GDP (2012 est.) |
| Gross national saving: | 36.6% of GDP (2011 est.) |
| Gross national saving: | 34.7% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 45.9% |
| GDP - composition, by end use: | government consumption: 13.3% |
| GDP - composition, by end use: | investment in fixed capital: 30.6% |
| GDP - composition, by end use: | investment in inventories: 1.5% |
| GDP - composition, by end use: | exports of goods and services: 25.3% |
| GDP - composition, by end use: | imports of goods and services: -16.6% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.8% |
| GDP - composition, by sector of origin: | industry: 46.2% |
| GDP - composition, by sector of origin: | services: 44.1% (2012 est.) |
| Agriculture - products: | wheat, rice, other grains, sugar beets, sugarcane, fruits, nuts, cotton; dairy products, wool; caviar |
| Industries: | petroleum, petrochemicals, fertilizers, caustic soda, textiles, cement and other construction materials, food processing (particularly sugar refining and vegetable oil production), ferrous and non-ferrous metal fabrication, armaments |
| Industrial production growth rate: | -5.8% (2012 est.) |
| Labor force: | 27.05 million |
| Labor force: | note: shortage of skilled labor (2012 est.) |
| Labor force - by occupation: | agriculture: 25% |
| Labor force - by occupation: | industry: 31% |
| Labor force - by occupation: | services: 45% (June 2007) |
