| Economy | IRAN |
| --- | --- |
| Economy - overview: | Iran's economy is marked by statist policies, inefficiencies, and reliance on oil and gas exports, but Iran also possesses significant agricultural, industrial, and service sectors. The Iranian government directly owns and operates hundreds of state-owned enterprises and indirectly controls many companies affiliated with the country's security forces. Distortions - including inflation, price controls, subsidies, and a banking system holding billions of dollars of non-performing loans - weigh down the economy, undermining the potential for private-sector-led growth. |
| Economy - overview: | Private sector activity includes small-scale workshops, farming, some manufacturing, and services, in addition to medium-scale construction, cement production, mining, and metalworking. Significant informal market activity flourishes and corruption is widespread. |
| Economy - overview: | Fiscal and monetary constraints, following the expansion of international sanctions in 2012 on Iran's Central Bank and oil exports, significantly reduced Iran's oil revenue, forced government spending cuts, and sparked a sharp currency depreciation. Iran’s economy contracted for the first time in two decades during both 2012 and 2013, but growth resumed in 2014. Iran continues to suffer from high unemployment and underemployment. Lack of job opportunities has prompted many educated Iranian youth to seek employment overseas, resulting in a significant "brain drain." |
| Economy - overview: | In June 2013, the election of President Hasan RUHANI generated widespread public expectations of economic improvement and greater international engagement. Almost two years into his term, RUHANI has achieved some success, including reining in inflation and, in July of 2015, securing the promise of sanctions relief for Iran by signing the Joint Comprehensive Plan of Action (JCPOA) with the P5+1. The JCPOA, which severely limits Iran’s nuclear program in exchange for unfreezing Iranian assets and reopening Iran to international trade, should bolster foreign direct investment, increase trade, and stimulate growth. In spite of RUHANI’s efforts, Iran’s growth was tepid in 2015, and significant economic improvement resulting from sanctions relief will take months or years to materialize. |
| GDP (purchasing power parity): | $1.371 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.371 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.314 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $387.6 billion (2015 est.) |
| GDP - real growth rate: | 0% (2015 est.) |
| GDP - real growth rate: | 4.3% (2014 est.) |
| GDP - real growth rate: | -1.9% (2013 est.) |
| GDP - per capita (PPP): | $17,300 (2015 est.) |
| GDP - per capita (PPP): | $17,500 (2014 est.) |
| GDP - per capita (PPP): | $17,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 36% of GDP (2015 est.) |
| Gross national saving: | 37.1% of GDP (2014 est.) |
| Gross national saving: | 40.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 52.4% |
| GDP - composition, by end use: | government consumption: 10.6% |
| GDP - composition, by end use: | investment in fixed capital: 27% |
| GDP - composition, by end use: | investment in inventories: 6.6% |
| GDP - composition, by end use: | exports of goods and services: 19.2% |
| GDP - composition, by end use: | imports of goods and services: -15.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.2% |
| GDP - composition, by sector of origin: | industry: 38.8% |
| GDP - composition, by sector of origin: | services: 51.9% (2015 est.) |
| Agriculture - products: | wheat, rice, other grains, sugar beets, sugarcane, fruits, nuts, cotton; dairy products, wool; caviar |
| Industries: | petroleum, petrochemicals, gas, fertilizers, caustic soda, textiles, cement and other construction materials, food processing (particularly sugar refining and vegetable oil production), ferrous and nonferrous metal fabrication, armaments |
| Industrial production growth rate: | 2.7% (2015 est.) |
| Labor force: | 29.07 million |
| Labor force: | note: shortage of skilled labor (2015 est.) |
| Labor force - by occupation: | agriculture: 16.3% |
| Labor force - by occupation: | industry: 35.1% |
| Labor force - by occupation: | services: 48.6% (2013 est.) |
| Unemployment rate: | 10.5% (2015 est.) |
| Unemployment rate: | 10.3% (2014 est.) |
| Unemployment rate: | note: data are according to the Iranian Government |
| Population below poverty line: | 18.7% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2005) |
| Distribution of family income - Gini index: | 44.5 (2006) |
| Budget: | revenues: $61.95 billion |
| Budget: | expenditures: $68.72 billion (2015 est.) |
| Taxes and other revenues: | 16% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.7% of GDP (2015 est.) |
| Public debt: | 11.4% of GDP (2015 est.) |
| Public debt: | 10.3% of GDP (2014 est.) |
| Public debt: | note: includes publicly guaranteed debt |
| Fiscal year: | 21 March - 20 March |
| Inflation rate (consumer prices): | 13.7% (2015 est.) |
| Inflation rate (consumer prices): | 17.2% (2014 est.) |
| Inflation rate (consumer prices): | note: official Iranian estimate |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 14.2% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 14% (31 December 2014 est.) |
| Stock of narrow money: | $38.44 billion (31 December 2015 est.) |
| Stock of narrow money: | $42.59 billion (31 December 2014 est.) |
| Stock of broad money: | $282.9 billion (31 December 2015 est.) |
| Stock of broad money: | $273.6 billion (31 December 2014 est.) |
| Stock of domestic credit: | $47.04 billion (31 December 2015 est.) |
| Stock of domestic credit: | $44.83 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $172 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $140.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $107.2 billion (31 December 2013 est.) |
| Current account balance: | $1.394 billion (2015 est.) |
| Current account balance: | $15.89 billion (2014 est.) |
| Exports: | $64.6 billion (2015 est.) |
