| Economy | IRAN |
| --- | --- |
| Economy - overview: | Iran's economy is marked by statist policies, inefficiencies, and reliance on oil and gas exports, but Iran also possesses significant agricultural, industrial, and service sectors. The Iranian government directly owns and operates hundreds of state-owned enterprises and indirectly controls many companies affiliated with the country's security forces. Distortions - including inflation, price controls, subsidies, and a banking system holding billions of dollars of non-performing loans - weigh down the economy, undermining the potential for private-sector-led growth. Private sector activity includes small-scale workshops, farming, some manufacturing, and services, in addition to medium-scale construction, cement production, mining, and metalworking. Significant informal market activity flourishes and corruption is widespread. Fiscal and monetary constraints, following the expansion of international sanctions in 2012 on Iran's Central Bank and oil exports, significantly reduced Iran's oil revenue, forced government spending cuts, and sparked a sharp currency depreciation. Iran&rsquo;s economy contracted for the first time in two decades during both 2012 and 2013, and grew only slightly 2014. Iran continues to suffer from high unemployment and underemployment. Lack of job opportunities has prompted many educated Iranian youth to seek employment overseas, resulting in a significant "brain drain." In June 2013, the election of President Hasan RUHANI generated widespread public expectations of economic improvement and greater international engagement. In connection with ongoing international negotiations over Iran&rsquo;s nuclear program the limited sanctions relief for Iran provided under the Joint Plan of Action of November 2013, helped to forestall the decline in the economy in 2014. |
| GDP (purchasing power parity): | $1.334 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.296 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.321 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $404.1 billion (2014 est.) |
| GDP - real growth rate: | 3% (2014 est.) |
| GDP - real growth rate: | -1.9% (2013 est.) |
| GDP - real growth rate: | -6.6% (2012 est.) |
| GDP - per capita (PPP): | $17,100 (2014 est.) |
| GDP - per capita (PPP): | $16,600 (2013 est.) |
| GDP - per capita (PPP): | $16,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 35.3% of GDP (2014 est.) |
| Gross national saving: | 39.4% of GDP (2013 est.) |
| Gross national saving: | 40.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 52.9% |
| GDP - composition, by end use: | government consumption: 11.2% |
| GDP - composition, by end use: | investment in fixed capital: 28.1% |
| GDP - composition, by end use: | investment in inventories: 1.1% |
| GDP - composition, by end use: | exports of goods and services: 23.8% |
| GDP - composition, by end use: | imports of goods and services: -17.1% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.1% |
| GDP - composition, by sector of origin: | industry: 40.7% |
| GDP - composition, by sector of origin: | services: 50.3% (2014 est.) |
| Agriculture - products: | wheat, rice, other grains, sugar beets, sugarcane, fruits, nuts, cotton; dairy products, wool; caviar |
| Industries: | petroleum, petrochemicals, gas, fertilizers, caustic soda, textiles, cement and other construction materials, food processing (particularly sugar refining and vegetable oil production), ferrous and nonferrous metal fabrication, armaments |
| Industrial production growth rate: | 2.4% (2014 est.) |
| Labor force: | 28.4 million |
| Labor force: | note: shortage of skilled labor (2014 est.) |
| Labor force - by occupation: | agriculture: 16.3% |
| Labor force - by occupation: | industry: 35.1% |
| Labor force - by occupation: | services: 48.6% (2013 est.) |
| Unemployment rate: | 11.2% (2014 est.) |
| Unemployment rate: | 10.4% (2013 est.) |
| Unemployment rate: | note: data are according to the Iranian Government |
| Population below poverty line: | 18.7% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2005) |
| Distribution of family income - Gini index: | 44.5 (2006) |
| Budget: | revenues: $60.46 billion |
| Budget: | expenditures: $63.25 billion (2014 est.) |
| Taxes and other revenues: | 15% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -0.7% of GDP (2014 est.) |
| Public debt: | 11.4% of GDP (2014 est.) |
| Public debt: | 11% of GDP (2013 est.) |
| Public debt: | note: includes publicly guaranteed debt |
| Fiscal year: | 21 March - 20 March |
| Inflation rate (consumer prices): | 15.8% (2014 est.) |
