| Economy | IRAN |
| --- | --- |
| Economy - overview: | Iran's economy is marked by statist policies, inefficiencies, and reliance on oil and gas exports, but Iran also possesses significant agricultural, industrial, and service sectors. The Iranian government directly owns and operates hundreds of state-owned enterprises and indirectly controls many companies affiliated with the country's security forces. Distortions - including inflation, price controls, subsidies, and a banking system holding billions of dollars of non-performing loans - weigh down the economy, undermining the potential for private-sector-led growth. |
| Economy - overview: | Private sector activity includes small-scale workshops, farming, some manufacturing, and services, in addition to medium-scale construction, cement production, mining, and metalworking. Significant informal market activity flourishes and corruption is widespread. |
| Economy - overview: | Fiscal and monetary constraints, following the expansion of international sanctions in 2012 on Iran's Central Bank and oil exports, significantly reduced Iran's oil revenue, forced government spending cuts, and sparked a sharp currency depreciation. Iran’s economy contracted for the first time in two decades during both 2012 and 2013, but growth resumed in 2014. Iran's stock market plunged between 2013 and 2015. Iran continues to suffer from high unemployment and underemployment. Lack of job opportunities has prompted many educated Iranian youth to seek employment overseas, resulting in a significant "brain drain." |
| Economy - overview: | In June 2013, the election of President Hasan RUHANI generated widespread public expectations of economic improvement and greater international engagement. RUHANI has achieved some success, including reining in inflation and, in July of 2015, securing the promise of sanctions relief for Iran by signing the Joint Comprehensive Plan of Action (JCPOA) with the P5+1. The JCPOA, which severely limits Iran’s nuclear program in exchange for unfreezing Iranian assets and reopening Iran to international trade, should bolster foreign direct investment, increase trade, and stimulate growth. |
| GDP (purchasing power parity): | $1.549 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.36 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.367 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $404.4 billion (2016 est.) |
| GDP - real growth rate: | 12.5% (2016 est.) |
| GDP - real growth rate: | -1.6% (2015 est.) |
| GDP - real growth rate: | 3.2% (2014 est.) |
| GDP - per capita (PPP): | $19,300 (2016 est.) |
| GDP - per capita (PPP): | $17,300 (2015 est.) |
| GDP - per capita (PPP): | $17,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 37.6% of GDP (2016 est.) |
| Gross national saving: | 37.3% of GDP (2015 est.) |
| Gross national saving: | 43.6% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 48.9% |
| GDP - composition, by end use: | government consumption: 13.1% |
| GDP - composition, by end use: | investment in fixed capital: 19.8% |
| GDP - composition, by end use: | investment in inventories: 16.6% |
| GDP - composition, by end use: | exports of goods and services: 22.4% |
| GDP - composition, by end use: | imports of goods and services: -20.8% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.8% |
| GDP - composition, by sector of origin: | industry: 34.3% |
| GDP - composition, by sector of origin: | services: 55.9% (2016 est.) |
| Agriculture - products: | wheat, rice, other grains, sugar beets, sugarcane, fruits, nuts, cotton; dairy products, wool; caviar |
| Industries: | petroleum, petrochemicals, gas, fertilizer, caustic soda, textiles, cement and other construction materials, food processing (particularly sugar refining and vegetable oil production), ferrous and nonferrous metal fabrication, armaments |
| Industrial production growth rate: | 24.7% (2016 est.) |
| Labor force: | 29.75 million |
| Labor force: | note: shortage of skilled labor (2016 est.) |
| Labor force - by occupation: | agriculture: 16.3% |
| Labor force - by occupation: | industry: 35.1% |
| Labor force - by occupation: | services: 48.6% (2013 est.) |
| Unemployment rate: | 12.5% (2016 est.) |
| Unemployment rate: | 10.5% (2015 est.) |
| Unemployment rate: | note: data are Iranian government numbers |
| Population below poverty line: | 18.7% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2005) |
| Distribution of family income - Gini index: | 44.5 (2006) |
| Budget: | revenues: $71.25 billion |
| Budget: | expenditures: $80.58 billion (2016 est.) |
| Taxes and other revenues: | 18.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.5% of GDP (2016 est.) |
| Public debt: | 13.4% of GDP (2016 est.) |
| Public debt: | 12.3% of GDP (2015 est.) |
| Public debt: | note: includes publicly guaranteed debt |
| Fiscal year: | 21 March - 20 March |
| Inflation rate (consumer prices): | 9% (2016 est.) |
| Inflation rate (consumer prices): | 13.7% (2015 est.) |
| Inflation rate (consumer prices): | note: official Iranian estimate |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 18% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 14.21% (31 December 2015 est.) |
| Stock of narrow money: | $47.59 billion (31 December 2016 est.) |
| Stock of narrow money: | $38.44 billion (31 December 2015 est.) |
| Stock of broad money: | $366 billion (31 December 2016 est.) |
| Stock of broad money: | $307.1 billion (31 December 2015 est.) |
| Stock of domestic credit: | $315.4 billion (31 December 2016 est.) |
| Stock of domestic credit: | $259.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $89.43 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $116.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $345.8 billion (31 December 2013 est.) |
| Current account balance: | $16.39 billion (2016 est.) |
| Current account balance: | $9.016 billion (2015 est.) |
| Exports: | $83.98 billion (2016 est.) |
| Exports: | $64.6 billion (2015 est.) |
