| Economy | GEORGIA |
| --- | --- |
| Economy - overview: | Georgia's main economic activities include cultivation of agricultural products such as grapes, citrus fruits, and hazelnuts; mining of manganese, copper, and gold; and producing alcoholic and nonalcoholic beverages, metals, machinery, and chemicals in small-scale industries. The country imports nearly all of its needed supplies of natural gas and oil products. It has sizeable hydropower capacity that now provides most of its energy needs. |
| Economy - overview: | Georgia has overcome the chronic energy shortages and gas supply interruptions of the past by renovating hydropower plants and by increasingly relying on natural gas imports from Azerbaijan instead of from Russia. Construction of the Baku-T'bilisi-Ceyhan oil pipeline, the South Caucasus gas pipeline, and the Kars-Akhalkalaki railroad are part of a strategy to capitalize on Georgia's strategic location between Europe and Asia and develop its role as a transit point for gas, oil, and other goods. The expansion of the South Caucasus pipeline, as part of the Shah Deniz II Southern Gas Corridor project, will result in a $2 billion foreign investment in Georgia, the largest ever in the country. Gas from Shah Deniz II is expected to begin flowing in 2019. |
| Economy - overview: | Georgia's economy sustained GDP growth of more than 10% in 2006-07, based on strong inflows of foreign investment and robust government spending. However, GDP growth slowed following the August 2008 conflict with Russia, and sunk to negative 4% in 2009 as foreign direct investment and workers' remittances declined in the wake of the global financial crisis. The economy rebounded in 2010-13, but FDI inflows, the engine of Georgian economic growth prior to the 2008 conflict, have not recovered fully. Unemployment has also remained high. |
| Economy - overview: | The country is pinning its hopes for renewed growth on a determined effort to continue to liberalize the economy by reducing regulation, taxes, and corruption in order to attract foreign investment, with a focus on hydropower, agriculture, tourism, and textiles production. Georgia has historically suffered from a chronic failure to collect tax revenues; however, since 2004 the government has simplified the tax code, improved tax administration, increased tax enforcement, and cracked down on petty corruption, leading to higher revenues. The government has received high marks from the World Bank for its anti-corruption efforts. Since 2012, the Georgian Dream-led government has continued the previous administration's low-regulation, low-tax, free market policies, while modestly increasing social spending, strengthening anti-trust policy, and amending the labor code to comply with International Labor Standards. The government published its 2020 Economic Development Strategy in early 2014 and former Prime Minister Bidzina IVANISHVILI launched the Georgian Co-Investment Fund, a $6 billion private equity fund that will invest in tourism, agriculture, logistics, energy, infrastructure, and manufacturing. In mid-2014, Georgia signed an association agreement with the EU, paving the way to free trade and visa-free travel. |
| GDP (purchasing power parity): | $35.6 billion (2015 est.) |
| GDP (purchasing power parity): | $34.65 billion (2014 est.) |
| GDP (purchasing power parity): | $33.12 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $14.01 billion (2015 est.) |
| GDP - real growth rate: | 2.8% (2015 est.) |
| GDP - real growth rate: | 4.6% (2014 est.) |
| GDP - real growth rate: | 3.4% (2013 est.) |
| GDP - per capita (PPP): | $9,600 (2015 est.) |
| GDP - per capita (PPP): | $9,300 (2014 est.) |
| GDP - per capita (PPP): | $8,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 19.6% of GDP (2015 est.) |
| Gross national saving: | 18.7% of GDP (2014 est.) |
| Gross national saving: | 18.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 71.2% |
| GDP - composition, by end use: | government consumption: 16.5% |
| GDP - composition, by end use: | investment in fixed capital: 28.5% |
| GDP - composition, by end use: | investment in inventories: 3.7% |
| GDP - composition, by end use: | exports of goods and services: 45% |
| GDP - composition, by end use: | imports of goods and services: -64.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.2% |
| GDP - composition, by sector of origin: | industry: 22.1% |
| GDP - composition, by sector of origin: | services: 68.7% (2015 est.) |
| Agriculture - products: | citrus, grapes, tea, hazelnuts, vegetables; livestock |
| Industries: | steel, machine tools, electrical appliances, mining (manganese, copper, gold), chemicals, wood products, wine |
| Industrial production growth rate: | 3.2% (2015 est.) |
| Labor force: | 1.959 million (2011 est.) |
| Labor force - by occupation: | agriculture: 55.6% |
| Labor force - by occupation: | industry: 8.9% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | 12% (2015 est.) |
| Unemployment rate: | 12.4% (2014 est.) |
| Population below poverty line: | 9.2% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2008) |
| Distribution of family income - Gini index: | 46 (2011) |
| Distribution of family income - Gini index: | 37.1 (1996) |
| Budget: | revenues: $3.966 billion |
| Budget: | expenditures: $4.142 billion (2015 est.) |
| Taxes and other revenues: | 28.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.3% of GDP (2015 est.) |
| Public debt: | 41.4% of GDP (2015 est.) |
| Public debt: | 35.4% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities; Georgia does not maintain intra-governmental debt or social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4% (2015 est.) |
| Inflation rate (consumer prices): | 3.1% (2014 est.) |
| Central bank discount rate: | 3.75% (15 January 2013) |
| Central bank discount rate: | 5.25% (31 December 2012) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy rate of the National Bank of Georgia |
| Commercial bank prime lending rate: | 12.49% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 11.91% (31 December 2014 est.) |
| Stock of narrow money: | $2.063 billion (31 December 2015 est.) |
| Stock of narrow money: | $2.388 billion (31 December 2014 est.) |
| Stock of broad money: | $4.72 billion (31 September 2012 est.) |
| Stock of broad money: | $4.249 billion (31 December 2011 est.) |
| Stock of domestic credit: | $6.946 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.51 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $943.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $795.7 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.06 billion (31 December 2010 est.) |
| Current account balance: | -$1.627 billion (2015 est.) |
| Current account balance: | -$1.745 billion (2014 est.) |
| Exports: | $3.043 billion (2015 est.) |
| Exports: | $3.995 billion (2014 est.) |
| Exports - commodities: | vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores |
