| Economy | Georgia |
| --- | --- |
| Economy - overview: | Georgia's main economic activities include cultivation of agricultural products such as grapes, citrus fruits, and hazelnuts; mining of manganese, copper, and gold; and producing alcoholic and nonalcoholic beverages, metals, machinery, and chemicals in small-scale industries. The country imports nearly all its needed supplies of natural gas and oil products. It has sizeable hydropower capacity that now provides most of its energy needs. Georgia has overcome the chronic energy shortages and gas supply interruptions of the past by renovating hydropower plants and by increasingly relying on natural gas imports from Azerbaijan instead of from Russia. Construction of the Baku-T'bilisi-Ceyhan oil pipeline, the South Caucasus gas pipeline, and the Kars-Akhalkalaki Railroad are part of a strategy to capitalize on Georgia's strategic location between Europe and Asia and develop its role as a transit point for gas, oil, and other goods. The expansion of the South Caucasus pipeline, as part of the Shah Deniz II Southern Gas Corridor project, will result in a $2 billion foreign investment in Georgia, the largest ever in the country. Gas from Shah Deniz II is expected to begin flowing in 2019. Georgia's economy sustained GDP growth of more than 10% in 2006-07, based on strong inflows of foreign investment and robust government spending. However, GDP growth slowed following the August 2008 conflict with Russia, and sunk to negative 4% in 2009 as foreign direct investment and workers' remittances declined in the wake of the global financial crisis. The economy rebounded in 2010-13, but FDI inflows, the engine of Georgian economic growth prior to the 2008 conflict, have not recovered fully. Unemployment has also remained high. Georgia has historically suffered from a chronic failure to collect tax revenues; however, since 2004 the government has simplified the tax code, improved tax administration, increased tax enforcement, and cracked down on petty corruption, leading to higher revenues. The country is pinning its hopes for renewed growth on a determined effort to continue to liberalize the economy by reducing regulation, taxes, and corruption in order to attract foreign investment, with a focus on hydropower, agriculture, tourism, and textiles production. The government has received high marks from the World Bank for its anti-corruption efforts. Over the past year the Georgian Dream-led government continued the previous administration's low-regulation, low-tax, free market policies, while modestly increasing social spending, strengthening anti-trust policy, and amending the labor code to comply with International Labor Standards. The government is finalizing its 2020 Economic Development Strategy and has launched the Georgia Co-Investment Fund, a $6 billion private equity fund that will invest in tourism, agriculture, logistics, energy, infrastructure, and manufacturing. |
| GDP (purchasing power parity): | $27.3 billion (2013 est.) |
| GDP (purchasing power parity): | $26.64 billion (2012 est.) |
| GDP (purchasing power parity): | $25.1 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $15.95 billion (2013 est.) |
| GDP - real growth rate: | 2.5% (2013 est.) |
| GDP - real growth rate: | 6.1% (2012 est.) |
| GDP - real growth rate: | 7.2% (2011 est.) |
| GDP - per capita (PPP): | $6,100 (2013 est.) |
| GDP - per capita (PPP): | $5,900 (2012 est.) |
| GDP - per capita (PPP): | $5,600 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 18% of GDP (2013 est.) |
| Gross national saving: | 17.1% of GDP (2012 est.) |
| Gross national saving: | 12.6% of GDP (2011 est.) |
