| Economy | Georgia |
| --- | --- |
| Economy - overview: | Georgia's main economic activities include cultivation of agricultural products such as grapes, citrus fruits, and hazelnuts; mining of manganese, copper, and gold; and producing alcoholic and nonalcoholic beverages, metals, machinery, and chemicals in small-scale industries. The country imports nearly all of its needed supplies of natural gas and oil products. It has sizeable hydropower capacity that now provides most of its electricity needs. |
| Economy - overview: | Georgia has overcome the chronic energy shortages and gas supply interruptions of the past by renovating hydropower plants and by increasingly relying on natural gas imports from Azerbaijan instead of from Russia. Construction of the Baku-Tbilisi-Ceyhan oil pipeline, the South Caucasus gas pipeline, and the Baku-Tbilisi-Kars railroad are part of a strategy to capitalize on Georgia's strategic location between Europe and Asia and develop its role as a transit hub for gas, oil, and other goods. |
| Economy - overview: | Georgia's economy sustained GDP growth of more than 10% in 2006-07, based on strong inflows of foreign investment, remittances, and robust government spending. However, GDP growth slowed following the August 2008 conflict with Russia, and sank to negative 4% in 2009 as foreign direct investment and workers' remittances declined in the wake of the global financial crisis. The economy rebounded in the period 2010-17, but FDI inflows, the engine of Georgian economic growth prior to the 2008 conflict, have not recovered fully. Unemployment remains persistently high. |
| Economy - overview: | The country is pinning its hopes for faster growth on a continued effort to build up infrastructure, enhance support for entrepreneurship, simplify regulations, and improve professional education, in order to attract foreign investment and boost employment, with a focus on transportation projects, tourism, hydropower, and agriculture. Georgia had historically suffered from a chronic failure to collect tax revenues; however, since 2004 the government has simplified the tax code, increased tax enforcement, and cracked down on petty corruption, leading to higher revenues. The government has received high marks from the World Bank for improvements in business transparency. Since 2012, the Georgian Dream-led government has continued the previous administration's low-regulation, low-tax, free market policies, while modestly increasing social spending and amending the labor code to comply with International Labor Standards. In mid-2014, Georgia concluded an association agreement with the EU, paving the way to free trade and visa-free travel. In 2017, Georgia signed Free Trade Agreement (FTA) with China as part of Tbilisiâ€™s efforts to diversify its economic ties. Georgia is seeking to develop its Black Sea ports to further facilitate East-West trade. |
| GDP (purchasing power parity): | $39.85 billion (2017 est.) |
| GDP (purchasing power parity): | $37.96 billion (2016 est.) |
| GDP (purchasing power parity): | $36.91 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $15.16 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 5% (2017 est.) |
| GDP - real growth rate: | 2.8% (2016 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - per capita (PPP): | $10,700 (2017 est.) |
| GDP - per capita (PPP): | $10,300 (2016 est.) |
| GDP - per capita (PPP): | $9,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 23% of GDP (2017 est.) |
| Gross national saving: | 19.9% of GDP (2016 est.) |
| Gross national saving: | 19.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 62.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 29.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 50.4% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -62.2% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 23.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 67.9% (2017 est.) |
| Agriculture - products: | citrus, grapes, tea, hazelnuts, vegetables; livestock |
| Industries: | steel, machine tools, electrical appliances, mining (manganese, copper, gold), chemicals, wood products, wine |
| Industrial production growth rate: | 6.7% (2017 est.) |
