| Economy | EL SALVADOR |
| --- | --- |
| Economy - overview: | The smallest country in Central America geographically, El Salvador has the fourth largest economy in the region. With the global recession, real GDP contracted in 2009 and economic growth has since remained low, averaging less than 2% from 2010 to 2014, but recovered somewhat in 2015-16 with an average annual growth rate of 2.4%. Remittances accounted for approximately 17.1% of GDP in 2016 and were received by about a third of all households. |
| Economy - overview: | In 2006, El Salvador was the first country to ratify the Dominican Republic-Central American Free Trade Agreement, which has bolstered the export of processed foods, sugar, and ethanol, and supported investment in the apparel sector amid increased Asian competition. In September 2015, El Salvador kicked off a five-year $277 million second compact with the Millennium Challenge Corporation - a US Government agency aimed at stimulating economic growth and reducing poverty - to improve El Salvador's competitiveness and productivity in international markets. |
| Economy - overview: | The Salvadoran Government maintained fiscal discipline during post-war reconstruction and rebuilding following earthquakes in 2001 and hurricanes in 1998 and 2005, but El Salvador's public debt, estimated at 61.1% of GDP in 2016, has been growing over the last several years. Total external debt was nearly 60% of GDP in 2016. |
| GDP (purchasing power parity): | $54.67 billion (2016 est.) |
| GDP (purchasing power parity): | $52.73 billion (2015 est.) |
| GDP (purchasing power parity): | $51 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $26.8 billion (2016 est.) |
| GDP - real growth rate: | 2.4% (2016 est.) |
| GDP - real growth rate: | 2.3% (2015 est.) |
| GDP - real growth rate: | 1.4% (2014 est.) |
| GDP - per capita (PPP): | $8,600 (2016 est.) |
| GDP - per capita (PPP): | $8,500 (2015 est.) |
| GDP - per capita (PPP): | $8,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 11.7% of GDP (2016 est.) |
| Gross national saving: | 10.3% of GDP (2015 est.) |
| Gross national saving: | 8.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 88.8% |
| GDP - composition, by end use: | government consumption: 12.1% |
| GDP - composition, by end use: | investment in fixed capital: 13.6% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 24.9% |
| GDP - composition, by end use: | imports of goods and services: -39.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.6% |
| GDP - composition, by sector of origin: | industry: 24.6% |
| GDP - composition, by sector of origin: | services: 64.8% (2016 est.) |
| Agriculture - products: | coffee, sugar, corn, rice, beans, oilseed, cotton, sorghum; beef, dairy products |
| Industries: | food processing, beverages, petroleum, chemicals, fertilizer, textiles, furniture, light metals |
| Industrial production growth rate: | 2.2% (2016 est.) |
| Labor force: | 2.76 million (2016 est.) |
| Labor force - by occupation: | agriculture: 21% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 58% (2011 est.) |
| Unemployment rate: | 7% (2016 est.) |
| Unemployment rate: | 5.6% (2015 est.) |
| Unemployment rate: | note: data are official rates; but underemployment is high |
| Population below poverty line: | 34.9% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 32.3% (2014 est.) |
| Distribution of family income - Gini index: | 37 (2015 est.) |
| Distribution of family income - Gini index: | 38 (2014) |
| Budget: | revenues: $5.525 billion |
| Budget: | expenditures: $6.276 billion (2016 est.) |
| Taxes and other revenues: | 20.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.8% of GDP (2016 est.) |
| Public debt: | 65.5% of GDP (2016 est.) |
| Public debt: | 63.7% of GDP (2015 est.) |
| Public debt: | note: El Salvador's total public debt includes non-financial public sector debt, financial public sector debt, and central bank debt |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.6% (2016 est.) |
| Inflation rate (consumer prices): | -0.9% (2015 est.) |
| Commercial bank prime lending rate: | 6.37% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 6.17% (31 December 2015 est.) |
| Stock of narrow money: | $3.129 billion (31 December 2016 est.) |
| Stock of narrow money: | $3.253 billion (31 December 2015 est.) |
| Stock of broad money: | $11.97 billion (31 December 2016 est.) |
| Stock of broad money: | $11.61 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.71 billion (31 December 2016 est.) |
| Stock of domestic credit: | $13.28 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4.4 billion (December 2016 est.) |
| Market value of publicly traded shares: | $3.816 billion (December 2015 est.) |
| Market value of publicly traded shares: | $3.535 billion (December 2014 est.) |
| Current account balance: | $-531 million (2016 est.) |
| Current account balance: | $-926.1 million (2015 est.) |
| Exports: | $4.186 billion (2016 est.) |
| Exports: | $4.381 billion (2015 est.) |
| Exports - commodities: | offshore assembly exports, coffee, sugar, textiles and apparel, ethanol, chemicals, electricity, iron and steel manufactures |
| Exports - partners: | US 48.3%, Honduras 14.2%, Guatemala 13.5%, Nicaragua 6.5%, Costa Rica 4.7% (2016) |
| Imports: | $8.823 billion (2016 est.) |
| Imports: | $9.384 billion (2015 est.) |
| Imports - commodities: | raw materials, consumer goods, capital goods, fuels, foodstuffs, petroleum, electricity |
| Imports - partners: | US 37.9%, Guatemala 10.2%, China 8.8%, Mexico 7.6%, Honduras 6.3% (2016) |
| Reserves of foreign exchange and gold: | $3.238 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.787 billion (31 December 2015 est.) |
| Debt - external: | $15.2 billion (31 December 2016 est.) |
