| Economy | EL SALVADOR |
| --- | --- |
| Economy - overview: | The smallest country in Central America geographically, El Salvador has the fourth largest economy in the region. With the global recession, real GDP contracted in 2009 and economic growth has since remained low, averaging less than 2% from 2010 to 2014, but recovered somewhat in 2015. Remittances accounted for 17% of GDP in 2014 and were received by about a third of all households. |
| Economy - overview: | In 2006, El Salvador was the first country to ratify the Dominican Republic-Central American Free Trade Agreement, which has bolstered the export of processed foods, sugar, and ethanol, and supported investment in the apparel sector amid increased Asian competition. In September 2015, El Salvador kicked off a five-year $277 million second compact with the Millennium Challenge Corporation - a US Government agency aimed at stimulating economic growth and reducing poverty - to improve El Salvador's competitiveness and productivity in international markets.. |
| Economy - overview: | The Salvadoran Government maintained fiscal discipline during post-war reconstruction and rebuilding following earthquakes in 2001 and hurricanes in 1998 and 2005, but El Salvador's public debt, estimated at 65% of GDP in 2015, has been growing over the last several years. Total external debt was nearly 60% of GDP in 2015. |
| GDP (purchasing power parity): | $52.95 billion (2015 est.) |
| GDP (purchasing power parity): | $51.71 billion (2014 est.) |
| GDP (purchasing power parity): | $50.72 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $25.77 billion (2015 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - real growth rate: | 2% (2014 est.) |
| GDP - real growth rate: | 1.8% (2013 est.) |
| GDP - per capita (PPP): | $8,300 (2015 est.) |
| GDP - per capita (PPP): | $8,100 (2014 est.) |
| GDP - per capita (PPP): | $8,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 10.6% of GDP (2015 est.) |
| Gross national saving: | 8.4% of GDP (2014 est.) |
| Gross national saving: | 8.4% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 91.9% |
| GDP - composition, by end use: | government consumption: 12.1% |
| GDP - composition, by end use: | investment in fixed capital: 14.2% |
| GDP - composition, by end use: | investment in inventories: 0% |
