| Economy | SAUDI ARABIA |
| --- | --- |
| Economy - overview: | Saudi Arabia has an oil-based economy with strong government controls over major economic activities. It possesses about 16% of the world's proven petroleum reserves, ranks as the largest exporter of petroleum, and plays a leading role in OPEC. The petroleum sector accounts for roughly 87% of budget revenues, 42% of GDP, and 90% of export earnings. |
| Economy - overview: | Saudi Arabia is encouraging the growth of the private sector in order to diversify its economy and to employ more Saudi nationals. Over 6 million foreign workers play an important role in the Saudi economy, particularly in the oil and service sectors; at the same time, however, Riyadh is struggling to reduce unemployment among its own nationals. Saudi officials are particularly focused on employing its large youth population, which generally lacks the education and technical skills the private sector needs. |
| Economy - overview: | In 2016, the Kingdom incurred a budget deficit estimated at 13.6% of GDP, which was financed by bond sales and drawing down reserves. Although the Kingdom can finance high deficits for several years by drawing down its considerable foreign assets or by borrowing, it has cut capital spending. Plans to cut deficits include introducing a value-added tax and reducing subsidies on electricity, water, and petroleum products. In January 2016, Crown Prince and Deputy Prime Minister MUHAMMAD BIN SALMAN announced that Saudi Arabia intends to list shares of its state-owned petroleum company, ARAMCO - another move to increase revenue and outside investment. The government has also looked at privatization and diversification of the economy more closely in the wake of a diminished oil market. Historically, Saudi Arabia has focused diversification efforts on power generation, telecommunications, natural gas exploration, and petrochemical sectors. More recently, the government has approached investors about expanding the role of the private sector in the health care, education and tourism industries. While Saudi Arabia has emphasized their goals of diversification for some time, current low oil prices may force the government to make more drastic changes ahead of their long-run timeline. |
| GDP (purchasing power parity): | $1.756 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.705 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.62 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $646.4 billion (2016 est.) |
| GDP - real growth rate: | 1.7% (2016 est.) |
| GDP - real growth rate: | 4.1% (2015 est.) |
| GDP - real growth rate: | 3.7% (2014 est.) |
| GDP - per capita (PPP): | $55,300 (2016 est.) |
| GDP - per capita (PPP): | $55,700 (2015 est.) |
| GDP - per capita (PPP): | $53,900 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 25.2% of GDP (2016 est.) |
| Gross national saving: | 26.1% of GDP (2015 est.) |
| Gross national saving: | 38.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 42.7% |
| GDP - composition, by end use: | government consumption: 25.8% |
| GDP - composition, by end use: | investment in fixed capital: 26.4% |
| GDP - composition, by end use: | investment in inventories: 4.6% |
| GDP - composition, by end use: | exports of goods and services: 30.7% |
| GDP - composition, by end use: | imports of goods and services: -30.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.7% |
| GDP - composition, by sector of origin: | industry: 43.4% |
| GDP - composition, by sector of origin: | services: 54% (2016 est.) |
| Agriculture - products: | wheat, barley, tomatoes, melons, dates, citrus; mutton, chickens, eggs, milk |
| Industries: | crude oil production, petroleum refining, basic petrochemicals, ammonia, industrial gases, sodium hydroxide (caustic soda), cement, fertilizer, plastics, metals, commercial ship repair, commercial aircraft repair, construction |
| Industrial production growth rate: | 2.5% (2016 est.) |
| Labor force: | 12.02 million |
| Labor force: | note: about 80% of the labor force is non-national (2016 est.) |
| Labor force - by occupation: | agriculture: 6.7% |
| Labor force - by occupation: | industry: 21.4% |
| Labor force - by occupation: | services: 71.9% (2005 est.) |
| Unemployment rate: | 5.6% (2016 est.) |
| Unemployment rate: | 11.4% (2015 est.) |
| Unemployment rate: | note: data are for Saudi males only (local bank estimates; some estimates are as high as 25%) |
| Population below poverty line: | NA% |
