| Economy | SAUDI ARABIA |
| --- | --- |
| Economy - overview: | Saudi Arabia has an oil-based economy with strong government controls over major economic activities. It possesses about 16% of the world's proven petroleum reserves, ranks as the largest exporter of petroleum, and plays a leading role in OPEC. The petroleum sector accounts for roughly 87% of budget revenues, 42% of GDP, and 90% of export earnings. |
| Economy - overview: | Saudi Arabia is encouraging the growth of the private sector in order to diversify its economy and to employ more Saudi nationals. Over 6 million foreign workers play an important role in the Saudi economy, particularly in the oil and service sectors; at the same time, however, Riyadh is struggling to reduce unemployment among its own nationals. Saudi officials are particularly focused on employing its large youth population, which generally lacks the education and technical skills the private sector needs. |
| Economy - overview: | In 2015, the Kingdom incurred a budget deficit estimated at 13% of GDP, and it faces a deficit of $87 billion in 2016, which will be financed by bond sales and drawing down reserves. Although the Kingdom can finance high deficits for several years by drawing down its considerable foreign assets or by borrowing, it has announced plans to cut capital spending in 2016. Some of these plans to cut deficits include introducing a value-added tax and reducing subsidies on electricity, water, and petroleum products. In January 2016, Crown Prince and Deputy Prime Minister MUHAMMAD BIN SALMAN announced that Saudi Arabia intends to list shares of its state-owned petroleum company, ARAMCO - another move to increase revenue and outside investment. The government has also looked at privatization and diversification of the economy more closely in the wake of a diminished oil market. Historically, Saudi Arabia has focused diversification efforts on power generation, telecommunications, natural gas exploration, and petrochemical sectors. More recently, the government has approached investors about expanding the role of the private sector in the healthcare, education and tourism industries. While Saudi Arabia has emphasized their goals of diversification for some time, current low oil prices may force the government to make more drastic changes ahead of their long-run timeline. |
| GDP (purchasing power parity): | $1.683 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.628 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.571 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $653.2 billion (2015 est.) |
| GDP - real growth rate: | 3.4% (2015 est.) |
| GDP - real growth rate: | 3.6% (2014 est.) |
| GDP - real growth rate: | 2.7% (2013 est.) |
| GDP - per capita (PPP): | $53,600 (2015 est.) |
| GDP - per capita (PPP): | $52,900 (2014 est.) |
| GDP - per capita (PPP): | $52,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 26.4% of GDP (2015 est.) |
| Gross national saving: | 38.3% of GDP (2014 est.) |
| Gross national saving: | 44.4% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 40.8% |
| GDP - composition, by end use: | government consumption: 29.6% |
| GDP - composition, by end use: | investment in fixed capital: 28.8% |
| GDP - composition, by end use: | investment in inventories: 5.9% |
| GDP - composition, by end use: | exports of goods and services: 33.8% |
| GDP - composition, by end use: | imports of goods and services: -38.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% |
| GDP - composition, by sector of origin: | industry: 46% |
| GDP - composition, by sector of origin: | services: 51.8% (2015 est.) |
| Agriculture - products: | wheat, barley, tomatoes, melons, dates, citrus; mutton, chickens, eggs, milk |
| Industries: | crude oil production, petroleum refining, basic petrochemicals, ammonia, industrial gases, sodium hydroxide (caustic soda), cement, fertilizer, plastics, metals, commercial ship repair, commercial aircraft repair, construction |
| Industrial production growth rate: | 4% (2015 est.) |
| Labor force: | 11.67 million |
| Labor force: | note: about 80% of the labor force is non-national (2015 est.) |
| Labor force - by occupation: | agriculture: 6.7% |
| Labor force - by occupation: | industry: 21.4% |
| Labor force - by occupation: | services: 71.9% (2005 est.) |
| Unemployment rate: | 11.4% (2015 est.) |
| Unemployment rate: | 11.6% (2014 est.) |
