| Economy | SAUDI ARABIA |
| --- | --- |
| Economy - overview: | Saudi Arabia has an oil-based economy with strong government controls over major economic activities. It possesses about 16% of the world's proven petroleum reserves, ranks as the largest exporter of petroleum, and plays a leading role in OPEC. The petroleum sector accounts for roughly 80% of budget revenues, 45% of GDP, and 90% of export earnings. Saudi Arabia is encouraging the growth of the private sector in order to diversify its economy and to employ more Saudi nationals. Diversification efforts are focusing on power generation, telecommunications, natural gas exploration, and petrochemical sectors. Over 6 million foreign workers play an important role in the Saudi economy, particularly in the oil and service sectors, while Riyadh is struggling to reduce unemployment among its own nationals. Saudi officials are particularly focused on employing its large youth population, which generally lacks the education and technical skills the private sector needs. In 2014 the Kingdom ran its first budget deficit since 2009, and faces budget deficits for the foreseeable future because it requires an oil price greater than $100 per barrel to balance its budget. Although the Kingdom can finance high deficits for several years by drawing down its considerable foreign assets or borrowing, it probably will begin to reduce capital spending if oil prices stay low through the next year. |
| GDP (purchasing power parity): | $1.61 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.556 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.515 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $746.2 billion (2014 est.) |
| GDP - real growth rate: | 3.5% (2014 est.) |
| GDP - real growth rate: | 2.7% (2013 est.) |
| GDP - real growth rate: | 5.4% (2012 est.) |
| GDP - per capita (PPP): | $52,300 (2014 est.) |
| GDP - per capita (PPP): | $50,600 (2013 est.) |
| GDP - per capita (PPP): | $49,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 38.1% of GDP (2014 est.) |
| Gross national saving: | 44.4% of GDP (2013 est.) |
| Gross national saving: | 48.8% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 32.5% |
| GDP - composition, by end use: | government consumption: 26.4% |
| GDP - composition, by end use: | investment in fixed capital: 24.3% |
| GDP - composition, by end use: | investment in inventories: 3.5% |
| GDP - composition, by end use: | exports of goods and services: 47.5% |
| GDP - composition, by end use: | imports of goods and services: -34.2% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.9% |
| GDP - composition, by sector of origin: | industry: 57% |
| GDP - composition, by sector of origin: | services: 41.1% (2014 est.) |
| Agriculture - products: | wheat, barley, tomatoes, melons, dates, citrus; mutton, chickens, eggs, milk |
