| Economy | Saudi Arabia |
| --- | --- |
| Economy - overview: | Saudi Arabia has an oil-based economy with strong government controls over major economic activities. It possesses about 16% of the world's proven petroleum reserves, ranks as the largest exporter of petroleum, and plays a leading role in OPEC. The petroleum sector accounts for roughly 87% of budget revenues, 42% of GDP, and 90% of export earnings. |
| Economy - overview: | Saudi Arabia is encouraging the growth of the private sector in order to diversify its economy and to employ more Saudi nationals. Approximately 6 million foreign workers play an important role in the Saudi economy, particularly in the oil and service sectors; at the same time, however, Riyadh is struggling to reduce unemployment among its own nationals. Saudi officials are particularly focused on employing its large youth population. |
| Economy - overview: | In 2017, the Kingdom incurred a budget deficit estimated at 8.3% of GDP, which was financed by bond sales and drawing down reserves. Although the Kingdom can finance high deficits for several years by drawing down its considerable foreign assets or by borrowing, it has cut capital spending and reduced subsidies on electricity, water, and petroleum products and recently introduced a value-added tax of 5%. In January 2016, Crown Prince and Deputy Prime Minister MUHAMMAD BIN SALMAN announced that Saudi Arabia intends to list shares of its state-owned petroleum company, ARAMCO - another move to increase revenue and outside investment. The government has also looked at privatization and diversification of the economy more closely in the wake of a diminished oil market. Historically, Saudi Arabia has focused diversification efforts on power generation, telecommunications, natural gas exploration, and petrochemical sectors. More recently, the government has approached investors about expanding the role of the private sector in the health care, education and tourism industries. While Saudi Arabia has emphasized their goals of diversification for some time, current low oil prices may force the government to make more drastic changes ahead of their long-run timeline. |
| GDP (purchasing power parity): | $1.775 trillion (2017 est.) |
| GDP (purchasing power parity): | $1.79 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.761 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $686.7 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | -0.9% (2017 est.) |
| GDP - real growth rate: | 1.7% (2016 est.) |
| GDP - real growth rate: | 4.1% (2015 est.) |
| GDP - per capita (PPP): | $54,500 (2017 est.) |
| GDP - per capita (PPP): | $56,400 (2016 est.) |
| GDP - per capita (PPP): | $56,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 30.1% of GDP (2017 est.) |
| Gross national saving: | 27.2% of GDP (2016 est.) |
| Gross national saving: | 26.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 41.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 4.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 34.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -28.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 44.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 53.2% (2017 est.) |
| Agriculture - products: | wheat, barley, tomatoes, melons, dates, citrus; mutton, chickens, eggs, milk |
| Industries: | crude oil production, petroleum refining, basic petrochemicals, ammonia, industrial gases, sodium hydroxide (caustic soda), cement, fertilizer, plastics, metals, commercial ship repair, commercial aircraft repair, construction |
| Industrial production growth rate: | -2.4% (2017 est.) |
| Labor force: | 13.8 million (2017 est.) |
| Labor force: | note: comprised of 3.1 million Saudis and 10.7 million non-Saudis |
| Labor force - by occupation: | agriculture: 6.7% |
| Labor force - by occupation: | industry: 21.4% |
| Labor force - by occupation: | services: 71.9% (2005 est.) |
| Unemployment rate: | 6% (2017 est.) |
| Unemployment rate: | 5.6% (2016 est.) |
