| Economy | IRAQ |
| --- | --- |
| Economy - overview: | Iraq's GDP grew by more than 10% in 2016, the best performance in the past decade, because of rising oil prices, a significant driver of Iraqi GDP. During 2016, security and financial stability throughout Iraq began to improve as Iraqi Security Forces made gains against the ongoing insurgency and oil prices slowly rose. The Iraqi Government entered into a Stand-By Arrangement (SBA) with the IMF in July 2016, which helped stabilize its finances by encouraging improved fiscal management, needed economic reform, and expenditure reduction. Iraq passed its first SBA review in December 2016, and additional progress on the program is critical to its long-term fiscal health. Diversification efforts – a key component to Iraq’s long-term economic development – require a strengthened investment climate to bolster private-sector engagement. Sustained improvements in the overall standard of living depend heavily on global oil prices, the central government passage of major policy reforms, and progress in the conflict with ISIL. |
| Economy - overview: | Iraq's largely state-run economy is dominated by the oil sector, which provides more than 90% of government revenue and 80% of foreign exchange earnings. Oil exports in 2016 averaged 3.3 million barrels per day from southern Iraq, up from 2015. Moreover, the slow recovery of global oil prices improved export revenues throughout 2016, although monthly revenue remained below 2015 levels. Iraq's contracts with major oil companies have the potential to further expand oil exports and revenues, but Iraq will need to make significant upgrades to its oil processing, pipeline, and export infrastructure to enable these deals to reach their economic potential. |
| Economy - overview: | Iraqi oil exports from northern fields are hampered by fundamental disagreements between the Iraqi Government and autonomous Kurdistan Regional Government (KRG) in Iraq’s Kurdistan region (IKR) on the roles of federal and regional authorities in the development and export of natural resources. In 2007, the KRG passed an oil law to develop IKR oil and gas reserves independent of the federal government. The KRG has signed about 50 contracts with foreign energy companies to develop its reserves, some of which lie in territories whose status is in dispute between Baghdad and Erbil. Some of the companies have left or returned blocks, citing lack of commercial prospects. In 2014, the KRG began exporting its oil unilaterally through its own pipeline to Turkey, which Baghdad claims is illegal. In the absence of a national hydrocarbons law, the two sides have entered into four provisional oil- and revenue-sharing deals since 2009, all of which collapsed. In September 2016, the two sides began implementing a fifth ad hoc agreement to split oil exports from Baghdad-controlled fields in Kirkuk. |
| Economy - overview: | Iraq is making slow progress enacting laws and developing the institutions needed to implement economic policy, and political reforms are still needed to assuage investors' concerns regarding the uncertain business climate. The Government of Iraq is eager to attract additional foreign direct investment, but it faces a number of obstacles, including a tenuous political system and concerns about security and societal stability. Rampant corruption, outdated infrastructure, insufficient essential services, skilled labor shortages, and antiquated commercial laws stifle investment and continue to constrain growth of private, nonoil sectors. Under the Iraqi constitution, some competencies relevant to the overall investment climate are either shared by the federal government and the regions or are devolved entirely to local governments. Investment in the IKR operates within the framework of the Kurdistan Region Investment Law (Law 4 of 2006) and the Kurdistan Board of Investment, which is designed to provide incentives to help economic development in areas under the authority of the KRG. |
| Economy - overview: | Inflation has remained under control since 2006. However, Iraqi leaders remain hard-pressed to translate macroeconomic gains into an improved standard of living for the Iraqi populace. Unemployment remains a problem throughout the country despite a bloated public sector. Encouraging private enterprise through deregulation would make it easier for Iraqi citizens and foreign investors to start new businesses. Rooting out corruption and implementing reforms - such as restructuring banks and developing the private sector - would be important steps in this direction. |
| GDP (purchasing power parity): | $652.3 billion (2016 est.) |
| GDP (purchasing power parity): | $580.3 billion (2015 est.) |
| GDP (purchasing power parity): | $547.5 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $171.7 billion (2016 est.) |
| GDP - real growth rate: | 11% (2016 est.) |
| GDP - real growth rate: | 4.8% (2015 est.) |
| GDP - real growth rate: | 0.7% (2014 est.) |
| GDP - per capita (PPP): | $17,200 (2016 est.) |
| GDP - per capita (PPP): | $15,900 (2015 est.) |
| GDP - per capita (PPP): | $15,600 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 11.9% of GDP (2016 est.) |
| Gross national saving: | 18% of GDP (2015 est.) |
| Gross national saving: | 28.3% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 50.4% |
| GDP - composition, by end use: | government consumption: 18.8% |
| GDP - composition, by end use: | investment in fixed capital: 23.5% |
| GDP - composition, by end use: | investment in inventories: -4.5% |
| GDP - composition, by end use: | exports of goods and services: 39.7% |
| GDP - composition, by end use: | imports of goods and services: -27.9% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.1% |
| GDP - composition, by sector of origin: | industry: 37.3% |
| GDP - composition, by sector of origin: | services: 57.7% (2016 est.) |
| Agriculture - products: | wheat, barley, rice, vegetables, dates, cotton; cattle, sheep, poultry |
| Industries: | petroleum, chemicals, textiles, leather, construction materials, food processing, fertilizer, metal fabrication/processing |
| Industrial production growth rate: | 8.7% (2016 est.) |
| Labor force: | 8.9 million (2010 est.) |
| Labor force - by occupation: | agriculture: 21.6% |
| Labor force - by occupation: | industry: 18.7% |
| Labor force - by occupation: | services: 59.8% (2008 est.) |
| Unemployment rate: | 16% (2012 est.) |
| Unemployment rate: | 15% (2010 est.) |
| Population below poverty line: | 23% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 25.7% (2007 est.) |
| Budget: | revenues: $52.13 billion |
| Budget: | expenditures: $77.69 billion (2016 est.) |
| Taxes and other revenues: | 31.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -15.3% of GDP (2016 est.) |
| Public debt: | 63.7% of GDP (2016 est.) |
| Public debt: | 55% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.4% (2016 est.) |
| Inflation rate (consumer prices): | -2.3% (2015 est.) |
| Central bank discount rate: | 6% (2016) |
| Central bank discount rate: | 6% (2015) |
| Commercial bank prime lending rate: | 4% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 6% (31 December 2015 est.) |
| Stock of narrow money: | $59.84 billion (31 December 2016 est.) |
| Stock of narrow money: | $55.36 billion (31 December 2015 est.) |
| Stock of broad money: | $74.52 billion (31 December 2016 est.) |
| Stock of broad money: | $69.88 billion (31 December 2015 est.) |
| Stock of domestic credit: | $3.191 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.773 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4 billion (9 December 2011) |
| Market value of publicly traded shares: | $2.6 billion (31 July 2010) |
