| Economy | Slovenia |
| --- | --- |
| Economy - overview: | With excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe, Slovenia has one of the highest per capita GDPs in Central Europe. Slovenia became the first 2004 European Union entrant to adopt the euro (on 1 January 2007) and has experienced one of the most stable political transitions in Central and Southeastern Europe. In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. However, long-delayed privatizations, particularly within Slovenia’s largely state-owned and increasingly indebted banking sector, have fueled investor concerns since 2012 that the country would need EU-IMF financial assistance. In 2013, the European Commission granted Slovenia permission to begin recapitalizing ailing lenders and transferring their nonperforming assets into a “bad bank” established to restore bank balance sheets. Yield-seeking bond investors’ strong demand for Slovenian debt helped the government in 2013 to continue to finance itself independently on international markets. The government has embarked on a program of state asset sales intended to bolster investor confidence in the economy, which in 2014 is poised to contract 1%, its third-year of recession. |
| GDP (purchasing power parity): | $57.36 billion (2013 est.) |
| GDP (purchasing power parity): | $58.03 billion (2012 est.) |
| GDP (purchasing power parity): | $59.52 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $46.82 billion (2013 est.) |
| GDP - real growth rate: | -1.1% (2013 est.) |
| GDP - real growth rate: | -2.5% (2012 est.) |
| GDP - real growth rate: | 0.7% (2011 est.) |
| GDP - per capita (PPP): | $27,400 (2013 est.) |
| GDP - per capita (PPP): | $28,200 (2012 est.) |
| GDP - per capita (PPP): | $29,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 22.4% of GDP (2013 est.) |
| Gross national saving: | 20.6% of GDP (2012 est.) |
| Gross national saving: | 20.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 56.1% |
| GDP - composition, by end use: | government consumption: 20.2% |
| GDP - composition, by end use: | investment in fixed capital: 17.9% |
| GDP - composition, by end use: | investment in inventories: -0.8% |
| GDP - composition, by end use: | exports of goods and services: 78.1% |
| GDP - composition, by end use: | imports of goods and services: -71.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.8% |
| GDP - composition, by sector of origin: | industry: 28.9% |
| GDP - composition, by sector of origin: | services: 68.3% (2013 est.) |
| Agriculture - products: | potatoes, hops, wheat, sugar beets, corn, grapes; cattle, sheep, poultry |
| Industries: | ferrous metallurgy and aluminum products, lead and zinc smelting; electronics (including military electronics), trucks, automobiles, electric power equipment, wood products, textiles, chemicals, machine tools |
| Industrial production growth rate: | -0.6% (2013 est.) |
| Labor force: | 913,400 (2013 est.) |
| Labor force - by occupation: | agriculture: 2.2% |
| Labor force - by occupation: | industry: 35% |
| Labor force - by occupation: | services: 62.8% (2009) |
| Unemployment rate: | 13.1% (2013 est.) |
| Unemployment rate: | 12% (2012 est.) |
| Population below poverty line: | 13.5% (2012) |
