| Economy | SLOVENIA |
| --- | --- |
| Economy - overview: | With excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe, Slovenia has one of the highest per capita GDPs in Central Europe, despite having suffered a protracted recession in 2008-2009 in the wake of the global financial crisis. Slovenia became the first 2004 European Union entrant to adopt the euro (on 1 January 2007) and has experienced one of the most stable political transitions in Central and Southeastern Europe. In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. However, long-delayed privatizations, particularly within Slovenia&rsquo;s largely state-owned and increasingly indebted banking sector, have fueled investor concerns since 2012 that the country would need EU-IMF financial assistance. In 2013, the European Commission granted Slovenia permission to begin recapitalizing ailing lenders and transferring their nonperforming assets into a &ldquo;bad bank&rdquo; established to restore bank balance sheets. Export-led growth fueled by demand in larger European markets pushed GDP growth to 2.6% in 2014, while stubbornly-high unemployment fell slightly to 13%. PM CERAR&rsquo;s government took office in September 2014, pledging to press ahead with commitments to privatize a select group of state-run companies, rationalize public spending, and further stabilize the banking sector. |
| GDP (purchasing power parity): | $61.13 billion (2014 est.) |
| GDP (purchasing power parity): | $59.56 billion (2013 est.) |
| GDP (purchasing power parity): | $60.16 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $49.51 billion (2014 est.) |
| GDP - real growth rate: | 2.6% (2014 est.) |
| GDP - real growth rate: | -1% (2013 est.) |
| GDP - real growth rate: | -2.6% (2012 est.) |
| GDP - per capita (PPP): | $29,700 (2014 est.) |
| GDP - per capita (PPP): | $28,900 (2013 est.) |
| GDP - per capita (PPP): | $29,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 25.5% of GDP (2014 est.) |
| Gross national saving: | 25.1% of GDP (2013 est.) |
| Gross national saving: | 21.6% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 55.1% |
| GDP - composition, by end use: | government consumption: 19.5% |
| GDP - composition, by end use: | investment in fixed capital: 18.1% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 79.3% |
| GDP - composition, by end use: | imports of goods and services: -72% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.1% |
| GDP - composition, by sector of origin: | industry: 28.4% |
| GDP - composition, by sector of origin: | services: 69.5% (2014 est.) |
| Agriculture - products: | potatoes, hops, wheat, sugar beets, corn, grapes; cattle, sheep, poultry |
| Industries: | ferrous metallurgy and aluminum products, lead and zinc smelting; electronics (including military electronics), trucks, automobiles, electric power equipment, wood products, textiles, chemicals, machine tools |
| Industrial production growth rate: | 2.8% (2014 est.) |
| Labor force: | 913,500 (2014 est.) |
| Labor force - by occupation: | agriculture: 2.2% |
| Labor force - by occupation: | industry: 35% |
| Labor force - by occupation: | services: 62.8% (2009) |
| Unemployment rate: | 9.8% (2014 est.) |
| Unemployment rate: | 13.1% (2013 est.) |
| Population below poverty line: | 13.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.9% |
| Household income or consumption by percentage share: | highest 10%: 19.8% (2011) |
| Distribution of family income - Gini index: | 23.7 (2012) |
| Distribution of family income - Gini index: | 23.8 (2005) |
| Budget: | revenues: $20.03 billion |
| Budget: | expenditures: $22.03 billion (2014 est.) |
| Taxes and other revenues: | 40.1% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2014 est.) |
| Public debt: | 59.8% of GDP (2014 est.) |
| Public debt: | 56.7% of GDP (2013 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.2% (2014 est.) |
| Inflation rate (consumer prices): | 1.8% (2013 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.2% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 5.68% (31 December 2013 est.) |
| Stock of narrow money: | $12.08 billion (31 December 2014 est.) |
| Stock of narrow money: | $12.1 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $26.11 billion (31 December 2014 est.) |
