| Economy | LIBYA |
| --- | --- |
| Economy - overview: | Libya's economy is almost entirely dependent on the nation's energy sector, which generates about 65% of GDP and 96% of government revenue. Income from the sale of crude oil and natural gas, coupled with a small population, give Libya one of the highest nominal per capita GDPs in Africa, but Libya&rsquo;s leaders have hindered economic development by, for the most part, failing to use these financial resources to invest in national infrastructure. Libyan sales of oil and natural gas collapsed during the Revolution of 2011, rebounded in 2012 and 2013, but then fell sharply in late 2013 and throughout 2014 due to major protest disruptions at Libyan oil ports and around the country. The state sector is large and growing, with the majority of the Libyan workforce receiving a government salary in 2014. Sharply decreased revenues and increased payments for state salaries and for subsidies on fuel and food resulted in an estimated budget deficit about 50% of GDP in 2014, up from about 4% in 2013. Libya&rsquo;s economic transition away from Qadhafi&rsquo;s notionally socialist model toward a market-based economy stalled as revenues shrank, political uncertainty grew, and security deteriorated. Rival political factions in late 2014 were competing for control of the central bank and the national oil company, while funding for economic reform and infrastructure projects has stopped. |
| GDP (purchasing power parity): | $97.94 billion (2014 est.) |
| GDP (purchasing power parity): | $128.9 billion (2013 est.) |
| GDP (purchasing power parity): | $149.1 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $41.15 billion (2014 est.) |
| GDP - real growth rate: | -24% (2014 est.) |
| GDP - real growth rate: | -13.6% (2013 est.) |
| GDP - real growth rate: | 104.5% (2012 est.) |
| GDP - per capita (PPP): | $15,900 (2014 est.) |
| GDP - per capita (PPP): | $20,900 (2013 est.) |
| GDP - per capita (PPP): | $24,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 1.4% of GDP (2014 est.) |
| Gross national saving: | 37.3% of GDP (2013 est.) |
| Gross national saving: | 45% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 83.9% |
| GDP - composition, by end use: | government consumption: 22.8% |
| GDP - composition, by end use: | investment in fixed capital: 3.9% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 41.3% |
| GDP - composition, by end use: | imports of goods and services: -52.7% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2% |
| GDP - composition, by sector of origin: | industry: 45.5% |
| GDP - composition, by sector of origin: | services: 52.5% (2014 est.) |
| Agriculture - products: | wheat, barley, olives, dates, citrus, vegetables, peanuts, soybeans; cattle |
| Industries: | petroleum, petrochemicals, aluminum, iron and steel, food processing, textiles, handicrafts, cement |
| Industrial production growth rate: | -32.3% (2014 est.) |
| Labor force: | 1.438 million (2014 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 59% (2004 est.) |
| Unemployment rate: | 30% (2004 est.) |
| Population below poverty line: | NA% |
| Population below poverty line: | note: about one-third of Libyans live at or below the national poverty line |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $19.55 billion |
| Budget: | expenditures: $35.47 billion (2014 est.) |
| Taxes and other revenues: | 47.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -38.7% of GDP (2014 est.) |
| Public debt: | 6.5% of GDP (2014 est.) |
| Public debt: | 3.5% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.8% (2014 est.) |
| Inflation rate (consumer prices): | 2.6% (2013 est.) |
