| Economy | GUYANA |
| --- | --- |
| Economy - overview: | The Guyanese economy exhibited moderate economic growth in recent years and is based largely on agriculture and extractive industries. The economy is heavily dependent upon the export of six commodities - sugar, gold, bauxite, shrimp, timber, and rice - which represent nearly 60% of the country's GDP and are highly susceptible to adverse weather conditions and fluctuations in commodity prices. Guyana's entrance into the Caricom Single Market and Economy (CSME) in January 2006 has broadened the country's export market, primarily in the raw materials sector. Guyana has experienced positive growth almost every year over the past decade. Inflation has been kept under control. Recent years have seen the government's stock of debt reduced significantly - with external debt now less than half of what it was in the early 1990s. Chronic problems include a shortage of skilled labor and a deficient infrastructure. Despite recent improvements, the government is still juggling a sizable external debt against the urgent need for expanded public investment. In March 2007, the Inter-American Development Bank, Guyana's principal donor, canceled Guyana's nearly $470 million debt, equivalent to 21% of GDP, which along with other Highly Indebted Poor Country (HIPC) debt forgiveness, brought the debt-to-GDP ratio down from 183% in 2006 to 58% in 2014. Guyana had become heavily indebted as a result of the inward-looking, state-led development model pursued in the 1970s and 1980s. Much of Guyana's growth in recent years has come from a surge in gold production in response to global prices, although downward trends in gold prices may threaten future growth. In 2014, production of sugar dropped to a 24-year low. |
| GDP (purchasing power parity): | $5.514 billion (2014 est.) |
| GDP (purchasing power parity): | $5.311 billion (2013 est.) |
| GDP (purchasing power parity): | $5.047 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $2.997 billion (2014 est.) |
| GDP - real growth rate: | 3.8% (2014 est.) |
| GDP - real growth rate: | 5.2% (2013 est.) |
| GDP - real growth rate: | 4.8% (2012 est.) |
| GDP - per capita (PPP): | $6,900 (2014 est.) |
| GDP - per capita (PPP): | $6,600 (2013 est.) |
| GDP - per capita (PPP): | $6,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 3.5% of GDP (2014 est.) |
| Gross national saving: | 3.5% of GDP (2013 est.) |
| Gross national saving: | 7.6% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 89.2% |
| GDP - composition, by end use: | government consumption: 11.3% |
| GDP - composition, by end use: | investment in fixed capital: 24.6% |
| GDP - composition, by end use: | investment in inventories: -12.3% |
| GDP - composition, by end use: | exports of goods and services: 52% |
| GDP - composition, by end use: | imports of goods and services: -64.8% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.3% |
