| Economy | Guyana |
| --- | --- |
| Economy - overview: | The Guyanese economy exhibited moderate economic growth in recent years and is based largely on agriculture and extractive industries. The economy is heavily dependent upon the export of six commodities - sugar, gold, bauxite, shrimp, timber, and rice - which represent nearly 60% of the country's GDP and are highly susceptible to adverse weather conditions and fluctuations in commodity prices. Guyana's entrance into the Caricom Single Market and Economy (CSME) in January 2006 has broadened the country's export market, primarily in the raw materials sector. Guyana has experienced positive growth almost every year over the past decade. Inflation has been kept under control. Recent years have seen the government's stock of debt reduced significantly - with external debt now less than half of what it was in the early 1990s. Chronic problems include a shortage of skilled labor and a deficient infrastructure. Despite recent improvements, the government is still juggling a sizable external debt against the urgent need for expanded public investment. In March 2007, the Inter-American Development Bank, Guyana's principal donor, canceled Guyana's nearly $470 million debt, equivalent to 21% of GDP, which along with other Highly Indebted Poor Country (HIPC) debt forgiveness brought the debt-to-GDP ratio down from 183% in 2006 to 60% in 2013. Guyana had become heavily indebted as a result of the inward-looking, state-led development model pursued in the 1970s and 1980s. Much of Guyana's growth in recent years has come from a surge in gold production in response to global prices, although downward trends in gold prices may threaten future growth. In 2013, production of sugar dropped to a 23-year low. |
| GDP (purchasing power parity): | $6.593 billion (2013 est.) |
| GDP (purchasing power parity): | $6.26 billion (2012 est.) |
| GDP (purchasing power parity): | $5.972 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $3.02 billion (2013 est.) |
| GDP - real growth rate: | 5.3% (2013 est.) |
| GDP - real growth rate: | 4.8% (2012 est.) |
| GDP - real growth rate: | 5.4% (2011 est.) |
| GDP - per capita (PPP): | $8,500 (2013 est.) |
| GDP - per capita (PPP): | $8,100 (2012 est.) |
| GDP - per capita (PPP): | $7,700 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 6.2% of GDP (2013 est.) |
| Gross national saving: | 8.3% of GDP (2012 est.) |
| Gross national saving: | 9.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 85.6% |
| GDP - composition, by end use: | government consumption: 16.3% |
| GDP - composition, by end use: | investment in fixed capital: 22.5% |
| GDP - composition, by end use: | investment in inventories: -13.5% |
| GDP - composition, by end use: | exports of goods and services: 59.9% |
| GDP - composition, by end use: | imports of goods and services: -70.8% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.7% |
| GDP - composition, by sector of origin: | industry: 38.5% |
| GDP - composition, by sector of origin: | services: 40.8% (2013 est.) |
| Agriculture - products: | sugarcane, rice, edible oils; beef, pork, poultry; shrimp, fish |
| Industries: | bauxite, sugar, rice milling, timber, textiles, gold mining |
| Industrial production growth rate: | 13.5% (2013 est.) |
| Labor force: | 313,100 (2009 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 11% (2007) |
| Population below poverty line: | 35% (2006) |
| Household income or consumption by percentage share: | lowest 10%: 1.3% |
