| Economy | BELARUS |
| --- | --- |
| Economy - overview: | As part of the former Soviet Union, Belarus had a relatively well-developed, though aging industrial base; it retained this industrial base - which is now outdated, energy inefficient, and dependent on subsidized Russian energy and preferential access to Russian markets - following the breakup of the USSR. The country also has a broad agricultural base which is largely inefficient and dependent on government subsidies. After an initial burst of capitalist reform between 1991 and 1994, including privatization of smaller state enterprises and some service sector businesses, creation of institutions of private property, and development of entrepreneurship, Belarus' economic development greatly slowed. About 80% of all industry remains in state hands, and foreign investment has been hindered by a reluctance to welcome private investment absent joint ownership or affiliation with the state. A few businesses, which had been privatized after independence, were renationalized. State banks account for 75% of the banking sector. |
| Economy - overview: | Economic output declined for several years following the collapse of the Soviet Union, but revived in the mid-2000s due to the boom in oil prices. Belarus has only small reserves of crude oil, though it imports most of its crude oil and natural gas from Russia at prices substantially below world market prices. Belarus then derives export revenue by refining Russian crude and selling it at market prices. In late 2006, Russia began a process of rolling back its subsidies on oil and gas exports to Belarus. Several times since, Russia and Belarus have had serious disagreements over the level and price of Russian energy supplies. At one point in 2010, Russia stopped the export of all subsidized oil to Belarus save for domestic needs before the two countries reached a deal to restart the export of discounted oil to Belarus. Beginning in early 2016, Russia claims Belarus began accumulating debt – reaching $740 million by April 2017 – for paying below an agreed price for Russian natural gas. Russia decided to reduce its export of crude oil as a result of the debt. In April 2017, Belarus agreed to pay its gas debt and Russia restored the flow of crude. |
| Economy - overview: | New non-Russian foreign investment has been limited in recent years. In 2011, a financial crisis began, triggered by government-directed salary hikes, compounded by an increased cost in Russian energy inputs and an overvalued Belarusian ruble that lead to a nearly three-fold devaluation of the Belarusian ruble. In November 2011, Belarus agreed to sell to Russia its remaining shares of Beltransgaz, the Belarusian natural gas pipeline operator, in exchange for reduced prices for Russian natural gas. The situation stabilized in 2012, after Belarus received part of a $3 billion loan from the Russian-dominated Eurasian Economic Community Bailout Fund, a $1 billion loan from the Russian state-owned bank Sberbank, and $2.5 billion from the sale of Beltransgaz to Russian state-owned Gazprom; nevertheless, the Belarusian currency lost more than 60% of its value, as inflation reached new highs in 2011 and 2012, before calming in 2013. In December 2013, Russia announced a new loan for Belarus of up to $2 billion for 2014. Notwithstanding foreign assistance, the Belarusian economy continued to struggle under the weight of high external debt servicing payments and trade deficit. In mid-December 2014, structural economic shortcomings were aggravated by the devaluation of the Russian ruble, which triggered a near 40% devaluation of the Belarusian ruble. |
| Economy - overview: | Since 2012, Belarus’s economy has suffered stagnation, which has led to widening productivity and income gaps between Belarus and neighboring countries. Since 2015, the Belarusian government has tightened its monetary policies (including allowing a more flexible exchange rate regime) and reduced subsidized government lending to state-owned industrial and agricultural enterprises, amid a drop in state budget revenues owing to falling global prices on key Belarusian export commodities - petroleum products and potash fertilizer. Belarus entered 2016 with a contracting economy and minimal hard currency reserves. GDP and foreign trade fell and unemployment rose, while inflation declined and hard currency reserves increased. |
| GDP (purchasing power parity): | $171.7 billion (2016 est.) |
| GDP (purchasing power parity): | $174.1 billion (2015 est.) |
| GDP (purchasing power parity): | $179.1 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $47.39 billion (2016 est.) |
