| Economy | Greece |
| --- | --- |
| Economic overview: | Greece has a capitalist economy with a public sector accounting for about 40% of GDP and with per capita GDP about two-thirds that of the leading euro-zone economies. Tourism provides 18% of GDP. Immigrants make up nearly one-fifth of the work force, mainly in agricultural and unskilled jobs. Greece is a major beneficiary of EU aid, equal to about 3.3% of annual GDP. |
| Economic overview: | The Greek economy averaged growth of about 4% per year between 2003 and 2007, but the economy went into recession in 2009 as a result of the world financial crisis, tightening credit conditions, and Athens' failure to address a growing budget deficit. By 2013, the economy had contracted 26%, compared with the pre-crisis level of 2007. Greece met the EU's Growth and Stability Pact budget deficit criterion of no more than 3% of GDP in 2007-08, but violated it in 2009, when the deficit reached 15% of GDP. Deteriorating public finances, inaccurate and misreported statistics, and consistent underperformance on reforms prompted major credit rating agencies to downgrade Greece's international debt rating in late 2009 and led the country into a financial crisis. Under intense pressure from the EU and international market participants, the government accepted a bailout program that called on Athens to cut government spending, decrease tax evasion, overhaul the civil-service, health-care, and pension systems, and reform the labor and product markets. Austerity measures reduced the deficit to 1.3% in 2017. Successive Greek governments, however, failed to push through many of the most unpopular reforms in the face of widespread political opposition, including from the country's powerful labor unions and the general public. |
| Economic overview: | In April 2010, a leading credit agency assigned Greek debt its lowest possible credit rating, and in May 2010, the IMF and euro-zone governments provided Greece emergency short- and medium-term loans worth $147 billion so that the country could make debt repayments to creditors. Greece, however, struggled to meet the targets set by the EU and the IMF, especially after Eurostat - the EU's statistical office - revised upward Greece's deficit and debt numbers for 2009 and 2010. European leaders and the IMF agreed in October 2011 to provide Athens a second bailout package of $169 billion. The second deal called for holders of Greek government bonds to write down a significant portion of their holdings to try to alleviate Greeceâ€™s government debt burden. However, Greek banks, saddled with a significant portion of sovereign debt, were adversely affected by the write down and $60 billion of the second bailout package was set aside to ensure the banking system was adequately capitalized. |
| Economic overview: | In 2014, the Greek economy began to turn the corner on the recession. Greece achieved three significant milestones: balancing the budget - not including debt repayments; issuing government debt in financial markets for the first time since 2010; and generating 0.7% GDP growth â€” the first economic expansion since 2007. |
| Economic overview: | Despite the nascent recovery, widespread discontent with austerity measures helped propel the far-left Coalition of the Radical Left (SYRIZA) party into government in national legislative elections in January 2015. Between January and July 2015, frustrations grew between the SYRIZA-led government and Greeceâ€™s EU and IMF creditors over the implementation of bailout measures and disbursement of funds. The Greek government began running up significant arrears to suppliers, while Greek banks relied on emergency lending, and Greeceâ€™s future in the euro zone was called into question. To stave off a collapse of the banking system, Greece imposed capital controls in June 2015, then became the first developed nation to miss a loan payment to the IMF, rattling international financial markets. Unable to reach an agreement with creditors, Prime Minister Alexios TSIPRAS held a nationwide referendum on 5 July on whether to accept the terms of Greeceâ€™s bailout, campaigning for the ultimately successful "no" vote. The TSIPRAS government subsequently agreed, however, to a new $96 billion bailout in order to avert Greeceâ€™s exit from the monetary bloc. On 20 August 2015, Greece signed its third bailout, allowing it to cover significant debt payments to its EU and IMF creditors and to ensure the banking sector retained access to emergency liquidity. The TSIPRAS government â€” which retook office on 20 September 2015 after calling new elections in late August â€” successfully secured disbursal of two delayed tranches of bailout funds. Despite the economic turmoil, Greek GDP did not contract as sharply as feared, boosted in part by a strong tourist season. |
| Economic overview: | In 2017, Greece saw improvements in GDP and unemployment. Unfinished economic reforms, a massive non-performing loan problem, and ongoing uncertainty regarding the political direction of the country hold the economy back. Some estimates put Greeceâ€™s black market at 20- to 25% of GDP, as more people have stopped reporting their income to avoid paying taxes that, in some cases, have risen to 70% of an individualâ€™s gross income. |
| GDP real growth rate: | 1.87% (2019 est.) |
| GDP real growth rate: | 1.91% (2018 est.) |
| GDP real growth rate: | 1.44% (2017 est.) |
| Inflation rate (consumer prices): | 0.2% (2019 est.) |
| Inflation rate (consumer prices): | 0.6% (2018 est.) |
| Inflation rate (consumer prices): | 1.1% (2017 est.) |
| Credit ratings: | Fitch rating: BB (2020) |
| Credit ratings: | Moody's rating: Ba3 (2020) |
| Credit ratings: | Standard & Poors rating: BB- (2019) |
| GDP (purchasing power parity) - real: | $269.002 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $264.069 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $259.117 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $209.79 billion (2019 est.) |
| GDP - per capita (PPP): | $24,588 (2019 est.) |
| GDP - per capita (PPP): | $24,025 (2018 est.) |
| GDP - per capita (PPP): | $23,470 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 10.9% of GDP (2017 est.) |
| Gross national saving: | 9.5% of GDP (2016 est.) |
| Gross national saving: | 9.6% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 16.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 79.1% (2017 est.) |
| GDP - composition, by end use: | household consumption: 69.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 12.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 33.4% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -34.7% (2017 est.) |
| Ease of Doing Business Index scores: | 68.4 (2020) |
| Agriculture - products: | wheat, corn, barley, sugar beets, olives, tomatoes, wine, tobacco, potatoes; beef, dairy products |
| Industries: | tourism, food and tobacco processing, textiles, chemicals, metal products; mining, petroleum |
| Industrial production growth rate: | 3.5% (2017 est.) |
| Labor force: | 4 million (2020 est.) |
| Labor force - by occupation: | agriculture: 12.6% |
| Labor force - by occupation: | industry: 15% |
| Labor force - by occupation: | services: 72.4% (30 October 2015 est.) |
| Unemployment rate: | 17.3% (2019 est.) |
| Unemployment rate: | 19.34% (2018 est.) |
| Population below poverty line: | 36% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 26.7% (2015 est.) |
| Budget: | revenues: 97.99 billion (2017 est.) |
| Budget: | expenditures: 96.35 billion (2017 est.) |
| Taxes and other revenues: | 48.8% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.8% (of GDP) (2017 est.) |
| Public debt: | 181.8% of GDP (2017 est.) |
| Public debt: | 183.5% of GDP (2016 est.) |
| Fiscal year: | calendar year |
