| Economy | Greece |
| --- | --- |
| Economy - overview: | Greece has a capitalist economy with a public sector accounting for about 40% of GDP and with per capita GDP about two-thirds that of the leading euro-zone economies. Tourism provides 15% of GDP. Immigrants make up nearly one-fifth of the work force, mainly in agricultural and unskilled jobs. Greece is a major beneficiary of EU aid, equal to about 3.3% of annual GDP. The Greek economy grew by nearly 4% per year between 2003 and 2007, due partly to infrastructural spending related to the 2004 Athens Olympic Games, and in part to an increased availability of credit, which has sustained record levels of consumer spending. But the economy went into recession in 2009 as a result of the world financial crisis, tightening credit conditions, and Athens' failure to address a growing budget deficit. The economy contracted by 2.3% in 2009, 3.5% in 2010, 6.9% in 2011, and 6.0% in 2012. Greece violated the EU's Growth and Stability Pact budget deficit criterion of no more than 3% of GDP from 2001 to 2006, but finally met that criterion in 2007-08, before exceeding it again in 2009, with the deficit reaching 15% of GDP. Austerity measures reduced the deficit to about 8% in 2012. Deteriorating public finances, inaccurate and misreported statistics, and consistent underperformance on reforms prompted major credit rating agencies to downgrade Greece's international debt rating in late 2009, and has led the country into a financial crisis. Under intense pressure from the EU and international market participants, the government adopted a medium-term austerity program that includes cutting government spending, decreasing tax evasion, overhauling the health-care and pension systems, and reforming the labor and product markets. Athens, however, faces long-term challenges to push through unpopular reforms in the face of widespread unrest from the country's powerful labor unions and the general public. In April 2010 a leading credit agency assigned Greek debt its lowest possible credit rating; in May 2010, the International Monetary Fund and Euro-Zone governments provided Greece emergency short- and medium-term loans worth $147 billion so that the country could make debt repayments to creditors. In exchange for the largest bailout ever assembled, the government announced combined spending cuts and tax increases totaling $40 billion over three years, on top of the tough austerity measures already taken. Greece, however, struggled to meet 2010 targets set by the EU and the IMF, especially after Eurostat - the EU's statistical office - revised upward Greece's deficit and debt numbers for 2009 and 2010. European leaders and the IMF agreed in October 2011 to provide Athens a second bailout package of $169 billion. The second deal however, calls for Greece's creditors to write down a significant portion of their Greek government bond holdings. In exchange for the second loan Greece has promised to introduce an additional $7.8 billion in austerity measures during 2013-15. However, these massive austerity cuts are lengthening Greece's economic recession and depressing tax revenues. Greece's lenders are calling on Athens to step up efforts to increase tax collection, privatize public enterprises, and rein in health spending, and are planning to give Greece more time to shore up its economy and finances. Many investors doubt that Greece can sustain fiscal efforts in the face of a bleak economic outlook, public discontent, and political instability. |
| GDP (purchasing power parity): | $280.8 billion (2012 est.) |
| GDP (purchasing power parity): | $298.7 billion (2011 est.) |
| GDP (purchasing power parity): | $320.9 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $255 billion (2012 est.) |
| GDP - real growth rate: | -6% (2012 est.) |
| GDP - real growth rate: | -6.9% (2011 est.) |
| GDP - real growth rate: | -3.5% (2010 est.) |
| GDP - per capita (PPP): | $25,100 (2012 est.) |
| GDP - per capita (PPP): | $26,700 (2011 est.) |
| GDP - per capita (PPP): | $28,700 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 3.8% |
| GDP - composition by sector: | industry: 16% |
| GDP - composition by sector: | services: 80.1% (2012 est.) |
| Labor force: | 4.951 million (2012 est.) |
| Labor force - by occupation: | agriculture: 12.4% |
| Labor force - by occupation: | industry: 22.4% |
| Labor force - by occupation: | services: 65.1% (2005 est.) |
| Unemployment rate: | 24.4% (2012 est.) |
| Unemployment rate: | 17.4% (2011 est.) |
| Population below poverty line: | 20% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 26% (2000 est.) |
| Distribution of family income - Gini index: | 33 (2005) |
| Distribution of family income - Gini index: | 35.4 (1998) |
| Investment (gross fixed): | 10.4% of GDP (2012 est.) |
| Budget: | revenues: $108.7 billion |
| Budget: | expenditures: $128 billion (2012 est.) |
| Taxes and other revenues: | 42.6% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -7.6% of GDP (2012 est.) |
| Public debt: | 161.3% of GDP (2012 est.) |
| Public debt: | 165.3% of GDP (2011 est.) |
| Inflation rate (consumer prices): | 1.1% (2012 est.) |
| Inflation rate (consumer prices): | 3.3% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 7.2% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 7.15% (31 December 2011 est.) |
| Stock of narrow money: | $120 billion (31 December 2012 est.) |
| Stock of narrow money: | $126.4 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $251.5 billion (31 December 2012 est.) |
| Stock of broad money: | $262.1 billion (31 December 2011 est.) |
| Stock of domestic credit: | $388.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $413.4 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $33.65 billion (31 December 2011) |
| Market value of publicly traded shares: | $72.64 billion (31 December 2010) |
| Market value of publicly traded shares: | $54.72 billion (31 December 2009) |
| Agriculture - products: | wheat, corn, barley, sugar beets, olives, tomatoes, wine, tobacco, potatoes; beef, dairy products |
| Industrial production growth rate: | -8.5% (2011 est.) |
