| Economy | GREECE |
| --- | --- |
| Economy - overview: | Greece has a capitalist economy with a public sector accounting for about 40% of GDP and with per capita GDP about two-thirds that of the leading euro-zone economies. Tourism provides 18% of GDP. Immigrants make up nearly one-fifth of the work force, mainly in agricultural and unskilled jobs. Greece is a major beneficiary of EU aid, equal to about 3.3% of annual GDP. The Greek economy averaged growth of about 4% per year between 2003 and 2007, but the economy went into recession in 2009 as a result of the world financial crisis, tightening credit conditions, and Athens' failure to address a growing budget deficit. By 2013 the economy had contracted 26%, compared with the pre-crisis level of 2007. Greece met the EU's Growth and Stability Pact budget deficit criterion of no more than 3% of GDP in 2007-08, but violated it in 2009, with the deficit reaching 15% of GDP. Austerity measures reduced the deficit to about 4% in 2013, including government debt payments, but the deficit spiked to 12.7% of GDP in 2014. Deteriorating public finances, inaccurate and misreported statistics, and consistent underperformance on reforms prompted major credit rating agencies to downgrade Greece's international debt rating in late 2009, and led the country into a financial crisis. Under intense pressure from the EU and international market participants, the government adopted a medium-term austerity program that includes cutting government spending, decreasing tax evasion, overhauling the health-care and pension systems, and reforming the labor and product markets. Athens, however, faced long-term challenges to continue pushing through unpopular reforms in the face of widespread unrest from the country's powerful labor unions and the general public. |
| Economy - overview: | In April 2010, a leading credit agency assigned Greek debt its lowest possible credit rating, and in May 2010, the International Monetary Fund and Euro-Zone governments provided Greece emergency short- and medium-term loans worth $147 billion so that the country could make debt repayments to creditors. In exchange for the largest bailout ever assembled, the government announced combined spending cuts and tax increases totaling $40 billion over three years, on top of the tough austerity measures already taken. Greece, however, struggled to meet 2010 targets set by the EU and the IMF, especially after Eurostat - the EU's statistical office - revised upward Greece's deficit and debt numbers for 2009 and 2010. European leaders and the IMF agreed in October 2011 to provide Athens a second bailout package of $169 billion. The second deal however, called for holders of Greek government bonds to write down a significant portion of their holdings. As Greek banks held a significant portion of sovereign debt, the banking system was adversely affected by the write down and $60 billion of the second bailout package was set aside to ensure the banking system was adequately capitalized. In exchange for the second loan, Greece promised to introduce an additional $7.8 billion in austerity measures during 2013-15. However, the massive austerity cuts have prolonged Greece's economic recession and depressed tax revenues. Greece's lenders have continually called on Athens to step up efforts to increase tax collection, dismiss public servants, privatize public enterprises, and rein in health spending. |
| Economy - overview: | Investor confidence began to show signs of strengthening by the end of 2013, and the decline in GDP slowed to 3.9% that year, Greece&rsquo;s best performance since 2009. Greece subsequently marked three significant milestones in 2014: balancing its 2013 budget - not including debt repayments; re-entering financial markets in April with the first issue of government debt since 2010; and posting its first quarter of positive growth since 2008. Buoyed by Greece&rsquo;s success, Prime Minister Antonios SAMARAS in October announced plans to exit its bailout program early, provoking a plunge in the Greek stock and debt markets that pushed Greece back to the negotiating table with its creditors and ultimately resulted in an agreement to extend the EU portion of Greece&rsquo;s bailout through February 2015. The Greek economy posted an annual economic growth rate of 0.8 percent in 2014, the first year of positive growth since 2008. However, widespread discontent with austerity measures resulted in a victory for the anti-austerity SYRIZA in the January 2015 parliamentary elections. In February, Greece reached a tentative agreement with its creditors that would provide emergency liquidity to Greece in exchange for significant economic reforms. Uncertainty regarding Greece&rsquo;s future in the Eurozone has dampened investor confidence and lowered growth projections for 2015. |
| GDP (purchasing power parity): | $284.3 billion (2014 est.) |
| GDP (purchasing power parity): | $282.1 billion (2013 est.) |
| GDP (purchasing power parity): | $293.5 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $238 billion (2014 est.) |
| GDP - real growth rate: | 0.8% (2014 est.) |
| GDP - real growth rate: | -3.9% (2013 est.) |
| GDP - real growth rate: | -6.6% (2012 est.) |
| GDP - per capita (PPP): | $25,900 (2014 est.) |
| GDP - per capita (PPP): | $25,700 (2013 est.) |
| GDP - per capita (PPP): | $26,700 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 11.5% of GDP (2014 est.) |
| Gross national saving: | 12.3% of GDP (2013 est.) |
| Gross national saving: | 11.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 72% |
| GDP - composition, by end use: | government consumption: 16.8% |
| GDP - composition, by end use: | investment in fixed capital: 12.9% |
| GDP - composition, by end use: | investment in inventories: 2.2% |
| GDP - composition, by end use: | exports of goods and services: 30.6% |
| GDP - composition, by end use: | imports of goods and services: -34.4% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.5% |
| GDP - composition, by sector of origin: | industry: 15.9% |
| GDP - composition, by sector of origin: | services: 80.6% (2014 est.) |
| Agriculture - products: | wheat, corn, barley, sugar beets, olives, tomatoes, wine, tobacco, potatoes; beef, dairy products |
| Industries: | tourism, food and tobacco processing, textiles, chemicals, metal products; mining, petroleum |
| Industrial production growth rate: | 0% (2014 est.) |
| Labor force: | 3.91 million (2013 est.) |
| Labor force - by occupation: | agriculture: 12.9% |
| Labor force - by occupation: | industry: 14.7% |
| Labor force - by occupation: | services: 72.4% (2013 est.) |
| Unemployment rate: | 26.5% (2014 est.) |
| Unemployment rate: | 27.5% (2013 est.) |
| Population below poverty line: | 44% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (2013 est.) |
| Distribution of family income - Gini index: | 34.4 (2013 est.) |
| Distribution of family income - Gini index: | 33 (2005) |
| Budget: | revenues: $119.5 billion |
| Budget: | expenditures: $127.9 billion (2014 est.) |
| Taxes and other revenues: | 48.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2014 est.) |
| Public debt: | 174.5% of GDP (2014 est.) |
| Public debt: | 175.1% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -1.3% (2014 est.) |
| Inflation rate (consumer prices): | -0.9% (2013 est.) |
