| Economy | Russia |
| --- | --- |
| Economy - overview: | Russia has undergone significant changes since the collapse of the Soviet Union, moving from a globally-isolated, centrally-planned economy towards a more market-based and globally-integrated economy, but stalling as a partially reformed, statist economy with a high concentration of wealth in officials' hands. Economic reforms in the 1990s privatized most industry, with notable exceptions in the energy and defense-related sectors. The protection of property rights is still weak and the private sector remains subject to heavy state interference. Russia is one of the world's leading producers of oil and natural gas and is also a top exporter of metals such as steel and primary aluminum. Russia's manufacturing sector is generally uncompetitive on world markets and is geared toward domestic consumption. Russia's reliance on commodity exports makes it vulnerable to boom and bust cycles that follow the volatile swings in global prices. The economy, which had averaged 7% growth during 1998-2008 as oil prices rose rapidly, was one of the hardest hit by the 2008-09 global economic crisis as oil prices plummeted and the foreign credits that Russian banks and firms relied on dried up. Slowly declining oil prices over the past few years and difficulty attracting foreign direct investment have contributed to a noticeable slowdown in GDP growth rates. In late 2013, the Russian Economic Development Ministry reduced its growth forecast through 2030 to an average of only 2.5% per year, down from its previous forecast of 4.0 to 4.2%. In 2014, following Russia's military intervention in Ukraine, prospects for economic growth declined further, with expections that GDP growth could drop as low as zero. |
| GDP (purchasing power parity): | $2.553 trillion (2013 est.) |
| GDP (purchasing power parity): | $2.52 trillion (2012 est.) |
| GDP (purchasing power parity): | $2.437 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $2.113 trillion (2013 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - real growth rate: | 3.4% (2012 est.) |
| GDP - real growth rate: | 4.3% (2011 est.) |
| GDP - per capita (PPP): | $18,100 (2013 est.) |
| GDP - per capita (PPP): | $17,800 (2012 est.) |
| GDP - per capita (PPP): | $17,100 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 28.3% of GDP (2013 est.) |
| Gross national saving: | 29.5% of GDP (2012 est.) |
| Gross national saving: | 30.6% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 51.3% |
