| Economy | Russia |
| --- | --- |
| Economic overview: | Russia has undergone significant changes since the collapse of the Soviet Union, moving from a centrally planned economy towards a more market-based system. Both economic growth and reform have stalled in recent years, however, and Russia remains a predominantly statist economy with a high concentration of wealth in officials' hands. Economic reforms in the 1990s privatized most industry, with notable exceptions in the energy, transportation, banking, and defense-related sectors. The protection of property rights is still weak, and the state continues to interfere in the free operation of the private sector. |
| Economic overview: | Russia is one of the world's leading producers of oil and natural gas, and is also a top exporter of metals such as steel and primary aluminum. Russia is heavily dependent on the movement of world commodity prices as reliance on commodity exports makes it vulnerable to boom and bust cycles that follow the volatile swings in global prices. The economy, which had averaged 7% growth during the 1998-2008 period as oil prices rose rapidly, has seen diminishing growth rates since then due to the exhaustion of Russiaâ€™s commodity-based growth model. |
| Economic overview: | A combination of falling oil prices, international sanctions, and structural limitations pushed Russia into a deep recession in 2015, with GDP falling by close to 2.8%. The downturn continued through 2016, with GDP contracting another 0.2%, but was reversed in 2017 as world demand picked up. Government support for import substitution has increased recently in an effort to diversify the economy away from extractive industries. |
| GDP real growth rate: | 1.34% (2019 est.) |
| GDP real growth rate: | 2.54% (2018 est.) |
| GDP real growth rate: | 1.83% (2017 est.) |
| Inflation rate (consumer prices): | 4.4% (2019 est.) |
| Inflation rate (consumer prices): | 2.8% (2018 est.) |
| Inflation rate (consumer prices): | 3.7% (2017 est.) |
| Credit ratings: | Fitch rating: BBB (2019) |
| Credit ratings: | Moody's rating: Baa3 (2019) |
| Credit ratings: | Standard & Poors rating: BBB- (2018) |
| GDP (purchasing power parity) - real: | $3,596,444,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $3,548,823,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $3,461,039,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $1,702,361,000,000 (2019 est.) |
| GDP - per capita (PPP): | $12,842 (2019 est.) |
| GDP - per capita (PPP): | $12,684 (2018 est.) |
| GDP - per capita (PPP): | $12,388 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 26.5% of GDP (2017 est.) |
