| Economy | RUSSIA |
| --- | --- |
| Economy - overview: | Russia has undergone significant changes since the collapse of the Soviet Union, moving from a centrally planned economy towards a more market-based system. Both economic growth and reform have stalled in recent years, however, and Russia remains a predominantly statist economy with a high concentration of wealth in officials' hands. Economic reforms in the 1990s privatized most industry, with notable exceptions in the energy, transportation, banking, and defense-related sectors. The protection of property rights is still weak, and the state continues to interfere in the free operation of the private sector. |
| Economy - overview: | Russia is one of the world's leading producers of oil and natural gas, and is also a top exporter of metals such as steel and primary aluminum. Russia's reliance on commodity exports makes it vulnerable to boom and bust cycles that follow the volatile swings in global prices. |
| Economy - overview: | The economy, which had averaged 7% growth during 1998-2008 as oil prices rose rapidly, has seen diminishing growth rates since then due to the exhaustion of Russia’s commodity-based growth model. |
| Economy - overview: | A combination of falling oil prices, international sanctions, and structural limitations pushed Russia into a deep recession in 2015, with the GDP falling by close to 4%. Most economists expect this downturn will continue through 2016. Government support for import substitution has increased recently in an effort to diversify the economy away from extractive industries. Although the Russian Ministry of Economic Development is forecasting a modest growth of 0.7% for 2016 as a whole, the Central Bank of Russia (CBR) is more pessimistic and expects the recovery to begin later in the year and a decline of 0.5% to 1.0% for the full year. Russia is heavily dependent on the movement of world commodity prices and the CBR estimates that if oil prices remain below $40 per barrel beyond 2016, the resulting shock would cause GDP to fall by up to 5%. |
| GDP (purchasing power parity): | $3.718 trillion (2015 est.) |
| GDP (purchasing power parity): | $3.862 trillion (2014 est.) |
| GDP (purchasing power parity): | $3.834 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $1.325 trillion (2015 est.) |
| GDP - real growth rate: | -3.7% (2015 est.) |
| GDP - real growth rate: | 0.7% (2014 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - per capita (PPP): | $25,400 (2015 est.) |
| GDP - per capita (PPP): | $26,400 (2014 est.) |
| GDP - per capita (PPP): | $26,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 25.9% of GDP (2015 est.) |
| Gross national saving: | 23.9% of GDP (2014 est.) |
| Gross national saving: | 22.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 54.1% |
| GDP - composition, by end use: | government consumption: 19.1% |
| GDP - composition, by end use: | investment in fixed capital: 21.7% |
| GDP - composition, by end use: | investment in inventories: -3.4% |
| GDP - composition, by end use: | exports of goods and services: 29.8% |
| GDP - composition, by end use: | imports of goods and services: -21.2% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.6% |
| GDP - composition, by sector of origin: | industry: 32.6% |
| GDP - composition, by sector of origin: | services: 62.1% (2015 est.) |
| Agriculture - products: | grain, sugar beets, sunflower seeds, vegetables, fruits; beef, milk |
| Industries: | complete range of mining and extractive industries producing coal, oil, gas, chemicals, and metals; all forms of machine building from rolling mills to high-performance aircraft and space vehicles; defense industries (including radar, missile production, advanced electronic components), shipbuilding; road and rail transportation equipment; communications equipment; agricultural machinery, tractors, and construction equipment; electric power generating and transmitting equipment; medical and scientific instruments; consumer durables, textiles, foodstuffs, handicrafts |
| Industrial production growth rate: | -3.6% (2015 est.) |
| Labor force: | 76.58 million (2015 est.) |
| Labor force - by occupation: | agriculture: 9.4% |
| Labor force - by occupation: | industry: 27.6% |
| Labor force - by occupation: | services: 63% (2014) |
| Unemployment rate: | 5.6% (2015 est.) |
| Unemployment rate: | 5.2% (2014 est.) |
| Population below poverty line: | 11.2% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 5.7% |
| Household income or consumption by percentage share: | highest 10%: 42.4% (2011 est.) |
| Distribution of family income - Gini index: | 42 (2014) |
| Distribution of family income - Gini index: | 41.7 (2011) |
| Budget: | revenues: $224.2 billion |
| Budget: | expenditures: $256.3 billion (2015 est.) |
| Taxes and other revenues: | 16.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2015 est.) |
| Public debt: | 9.4% of GDP (2015 est.) |
| Public debt: | 9.5% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 15.5% (2015 est.) |
| Inflation rate (consumer prices): | 7.8% (2014 est.) |
| Central bank discount rate: | 11% (31 December 2015 est.) |
| Central bank discount rate: | 17% (31 December 2014) |
| Central bank discount rate: | note: this is the so-called refinancing rate, but in Russia banks do not get refinancing at this rate; this is a reference rate used primarily for fiscal purposes |
| Commercial bank prime lending rate: | 15.73% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 11.14% (31 December 2014 est.) |
| Stock of narrow money: | $151.5 billion (31 December 2015 est.) |
| Stock of narrow money: | $201.4 billion (31 December 2014 est.) |
| Stock of broad money: | $926.8 billion (31 October 2014 est.) |
| Stock of broad money: | $1.087 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $603.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $664.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $874.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $796.4 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.005 trillion (31 December 2013 est.) |
