| Economy | RUSSIA |
| --- | --- |
| Economy - overview: | Russia has undergone significant changes since the collapse of the Soviet Union, moving from a centrally planned economy towards a more market-based system. Both economic growth and reform have stalled in recent years, however, and Russia remains a predominantly statist economy with a high concentration of wealth in officials' hands. Economic reforms in the 1990s privatized most industry, with notable exceptions in the energy, transportation, banking, and defense-related sectors. The protection of property rights is still weak, and the state continues to interfere in the free operation of the private sector. |
| Economy - overview: | Russia is one of the world's leading producers of oil and natural gas, and is also a top exporter of metals such as steel and primary aluminum. Russia's reliance on commodity exports makes it vulnerable to boom and bust cycles that follow the volatile swings in global prices. The economy, which had averaged 7% growth during the 1998-2008 period as oil prices rose rapidly, has seen diminishing growth rates since then due to the exhaustion of Russia’s commodity-based growth model. |
| Economy - overview: | A combination of falling oil prices, international sanctions, and structural limitations pushed Russia into a deep recession in 2015, with the GDP falling by close to 4%. The downturn continued through 2016, with GDP contracting by 0.6%. Government support for import substitution has increased recently in an effort to diversify the economy away from extractive industries. Russia is heavily dependent on the movement of world commodity prices and the Central Bank of Russia estimates that if oil prices remain below $40 per barrel in 2017, the resulting shock would cause GDP to fall by up to 5%. |
| GDP (purchasing power parity): | $3.862 trillion (2016 est.) |
| GDP (purchasing power parity): | $3.822 trillion (2015 est.) |
| GDP (purchasing power parity): | $3.891 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $1.283 trillion (2016 est.) |
| GDP - real growth rate: | -0.2% (2016 est.) |
| GDP - real growth rate: | -2.8% (2015 est.) |
| GDP - real growth rate: | 0.7% (2014 est.) |
| GDP - per capita (PPP): | $26,900 (2016 est.) |
| GDP - per capita (PPP): | $27,000 (2015 est.) |
| GDP - per capita (PPP): | $27,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 27.3% of GDP (2016 est.) |
| Gross national saving: | 27.2% of GDP (2015 est.) |
| Gross national saving: | 25% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 51.5% |
| GDP - composition, by end use: | government consumption: 18.1% |
| GDP - composition, by end use: | investment in fixed capital: 21% |
| GDP - composition, by end use: | investment in inventories: 4% |
| GDP - composition, by end use: | exports of goods and services: 26% |
| GDP - composition, by end use: | imports of goods and services: -20.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.7% |
| GDP - composition, by sector of origin: | industry: 32.5% |
| GDP - composition, by sector of origin: | services: 62.1% (2016 est.) |
| Agriculture - products: | grain, sugar beets, sunflower seeds, vegetables, fruits; beef, milk |
| Industries: | complete range of mining and extractive industries producing coal, oil, gas, chemicals, and metals; all forms of machine building from rolling mills to high-performance aircraft and space vehicles; defense industries (including radar, missile production, advanced electronic components), shipbuilding; road and rail transportation equipment; communications equipment; agricultural machinery, tractors, and construction equipment; electric power generating and transmitting equipment; medical and scientific instruments; consumer durables, textiles, foodstuffs, handicrafts |
| Industrial production growth rate: | -0.1% (2016 est.) |
| Labor force: | 76.64 million (2016 est.) |
| Labor force - by occupation: | agriculture: 9.4% |
| Labor force - by occupation: | industry: 27.6% |
| Labor force - by occupation: | services: 63% (2016 est.) |
| Unemployment rate: | 5.5% (2016 est.) |
| Unemployment rate: | 5.6% (2015 est.) |
| Population below poverty line: | 13.3% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 32.2% (2012 est.) |
| Distribution of family income - Gini index: | 41.2 (2015) |
| Distribution of family income - Gini index: | 41.9 (2013) |
| Budget: | revenues: $200.7 billion |
| Budget: | expenditures: $244.8 billion (2016 est.) |
| Taxes and other revenues: | 15.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2016 est.) |
| Public debt: | 10% of GDP (2016 est.) |
| Public debt: | 9.1% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7% (2016 est.) |
| Inflation rate (consumer prices): | 15.5% (2015 est.) |
| Central bank discount rate: | 10% (31 December 2016 est.) |
| Central bank discount rate: | 11% (03 August 2015) |
| Central bank discount rate: | note: this is the so-called refinancing rate, but in Russia banks do not get refinancing at this rate; this is a reference rate used primarily for fiscal purposes |
| Commercial bank prime lending rate: | 12.59% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 15.73% (31 December 2015 est.) |
| Stock of narrow money: | $195.9 billion (31 December 2016 est.) |
| Stock of narrow money: | $151.5 billion (31 December 2015 est.) |
| Stock of broad money: | $633.4 billion (31 December 2016 est.) |
| Stock of broad money: | $482.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $770.1 billion (31 December 2016 est.) |
| Stock of domestic credit: | $603.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $635.9 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $393.2 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $385.9 billion (31 December 2014 est.) |
| Current account balance: | $25.54 billion (2016 est.) |
| Current account balance: | $68.83 billion (2015 est.) |
| Exports: | $281.9 billion (2016 est.) |
| Exports: | $341.4 billion (2015 est.) |
