| Economy | Georgia |
| --- | --- |
| Economy - overview: | Georgia's main economic activities include the cultivation of agricultural products such as grapes, citrus fruits, and hazelnuts; mining of manganese, copper, and gold; and output of a small industrial sector producing alcoholic and nonalcoholic beverages, metals, machinery, and chemicals. The country imports nearly all its needed supplies of natural gas and oil products. It has sizeable hydropower capacity that now provides most of its energy needs. Georgia has overcome the chronic energy shortages and gas supply interruptions of the past by renovating hydropower plants and by increasingly relying on natural gas imports from Azerbaijan instead of from Russia. Construction of the Baku-T'bilisi-Ceyhan oil pipeline, the Baku-T'bilisi-Erzerum gas pipeline, and the Kars-Akhalkalaki Railroad are part of a strategy to capitalize on Georgia's strategic location between Europe and Asia and develop its role as a transit point for gas, oil, and other goods. Georgia's economy sustained GDP growth of more than 10% in 2006-07, based on strong inflows of foreign investment and robust government spending. However, GDP growth slowed following the August 2008 conflict with Russia, and sunk to negative 4 percent in 2009 as foreign direct investment and workers' remittances declined in the wake of the global financial crisis. The economy rebounded in 2010-12, with growth rates above 6% per year, but FDI inflows, the engine of Georgian economic growth prior to the 2008 conflict, have not recovered fully. Unemployment has also remained high at above 16%. Georgia has historically suffered from a chronic failure to collect tax revenues; however, the government, since coming to power in 2004, has simplified the tax code, improved tax administration, increased tax enforcement, and cracked down on petty corruption, leading to higher revenues. The country is pinning its hopes for renewed growth on a determined effort to continue to liberalize the economy by reducing regulation, taxes, and corruption in order to attract foreign investment, with a focus on hydropower, agriculture, tourism, and textiles production. Since 2004, the government has taken a series of actions against endemic corruption, including reform of the traffic police and implementation of a fair examination system for entering the university system. The government has received high marks from the World Bank for its anti-corruption efforts. |
| GDP (purchasing power parity): | $26.4 billion (2012 est.) |
| GDP (purchasing power parity): | $24.9 billion (2011 est.) |
| GDP (purchasing power parity): | $23.32 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $15.8 billion (2012 est.) |
| GDP - real growth rate: | 6% (2012 est.) |
| GDP - real growth rate: | 6.8% (2011 est.) |
| GDP - real growth rate: | 6.3% (2010 est.) |
| GDP - per capita (PPP): | $5,900 (2012 est.) |
| GDP - per capita (PPP): | $5,600 (2011 est.) |
| GDP - per capita (PPP): | $5,300 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
