| Economy | GEORGIA |
| --- | --- |
| Economy - overview: | Georgia's main economic activities include cultivation of agricultural products such as grapes, citrus fruits, and hazelnuts; mining of manganese, copper, and gold; and producing alcoholic and nonalcoholic beverages, metals, machinery, and chemicals in small-scale industries. The country imports nearly all of its needed supplies of natural gas and oil products. It has sizeable hydropower capacity that now provides most of its energy needs. |
| Economy - overview: | Georgia has overcome the chronic energy shortages and gas supply interruptions of the past by renovating hydropower plants and by increasingly relying on natural gas imports from Azerbaijan instead of from Russia. Construction of the Baku-T'bilisi-Ceyhan oil pipeline, the South Caucasus gas pipeline, and the Kars-Akhalkalaki railroad are part of a strategy to capitalize on Georgia's strategic location between Europe and Asia and develop its role as a transit hub for gas, oil, and other goods. |
| Economy - overview: | Georgia's economy sustained GDP growth of more than 10% in 2006-07, based on strong inflows of foreign investment and robust government spending. However, GDP growth slowed following the August 2008 conflict with Russia, and sunk to negative 4% in 2009 as foreign direct investment and workers' remittances declined in the wake of the global financial crisis. The economy rebounded in the period 2010-16, but FDI inflows, the engine of Georgian economic growth prior to the 2008 conflict, have not recovered fully. Unemployment has also remained high. |
| Economy - overview: | The country is pinning its hopes for renewed growth on a continued effort to liberalize the economy by reducing regulation, taxes, and corruption in order to attract foreign investment, with a focus on hydropower, agriculture, tourism, and textiles production. Georgia has historically suffered from a chronic failure to collect tax revenues; however, since 2004 the government has simplified the tax code, increased tax enforcement, and cracked down on petty corruption, leading to higher revenues. Georgia plans to improve the domestic investment environment through a four-year economic plan targeting the tax system, educational standards, infrastructure, and governance. The government has received high marks from the World Bank for improvements in business transparency. Since 2012, the Georgian Dream-led government has continued the previous administration's low-regulation, low-tax, free market policies, while modestly increasing social spending, strengthening anti-trust policy, and amending the labor code to comply with International Labor Standards. In mid-2014, Georgia signed an association agreement with the EU, paving the way to free trade and visa-free travel. Georgia is also seeking to expand trade with China, concluding substantive negotiations on a trade agreement in October 2016. |
| GDP (purchasing power parity): | $37.17 billion (2016 est.) |
| GDP (purchasing power parity): | $35.72 billion (2015 est.) |
| GDP (purchasing power parity): | $34.35 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $14.33 billion (2016 est.) |
| GDP - real growth rate: | 2.7% (2016 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - real growth rate: | 4.6% (2014 est.) |
| GDP - per capita (PPP): | $10,000 (2016 est.) |
| GDP - per capita (PPP): | $9,700 (2015 est.) |
| GDP - per capita (PPP): | $9,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 19.1% of GDP (2016 est.) |
| Gross national saving: | 20.1% of GDP (2015 est.) |
| Gross national saving: | 19.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 64.8% |
| GDP - composition, by end use: | government consumption: 18.4% |
| GDP - composition, by end use: | investment in fixed capital: 30.4% |
| GDP - composition, by end use: | investment in inventories: 2% |
| GDP - composition, by end use: | exports of goods and services: 43.5% |
| GDP - composition, by end use: | imports of goods and services: -59.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.3% |
| GDP - composition, by sector of origin: | industry: 22.8% |
| GDP - composition, by sector of origin: | services: 67.2% (2016 est.) |
| Agriculture - products: | citrus, grapes, tea, hazelnuts, vegetables; livestock |
| Industries: | steel, machine tools, electrical appliances, mining (manganese, copper, gold), chemicals, wood products, wine |
| Industrial production growth rate: | 5.9% (2016 est.) |
| Labor force: | 1.998 million (2016 est.) |
| Labor force - by occupation: | agriculture: 55.6% |
| Labor force - by occupation: | industry: 8.9% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | 11.8% (2016 est.) |
| Unemployment rate: | 12% (2015 est.) |
| Population below poverty line: | 9.2% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2008) |
| Distribution of family income - Gini index: | 40.1 (2014) |
| Distribution of family income - Gini index: | 46 (2011) |
| Budget: | revenues: $4.088 billion |
| Budget: | expenditures: $4.648 billion (2016 est.) |
| Taxes and other revenues: | 28.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.9% of GDP (2016 est.) |
| Public debt: | 44.5% of GDP (2016 est.) |
| Public debt: | 41.3% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities; Georgia does not maintain intra-governmental debt or social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.1% (2016 est.) |
| Inflation rate (consumer prices): | 4% (2015 est.) |
| Central bank discount rate: | 6.5% (7 Setpember 2016) |
| Central bank discount rate: | 7% (23 September 2015) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy rate of the National Bank of Georgia |
| Commercial bank prime lending rate: | 12.62% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 12.49% (31 December 2015 est.) |
| Stock of narrow money: | $2.389 billion (31 December 2016 est.) |
| Stock of narrow money: | $2.063 billion (31 December 2015 est.) |
| Stock of broad money: | $2.454 billion (31 December 2016 est.) |
| Stock of broad money: | $2.402 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.753 billion (31 December 2016 est.) |
| Stock of domestic credit: | $7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.155 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $943.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $795.7 million (31 December 2011 est.) |
| Current account balance: | $-1.91 billion (2016 est.) |
| Current account balance: | $-1.775 billion (2015 est.) |
| Exports: | $2.831 billion (2016 est.) |
| Exports: | $3.021 billion (2015 est.) |
| Exports - commodities: | vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores |
| Exports - partners: | Russia 9.8%, Turkey 8.2%, China 8.1%, Bulgaria 7.3%, Azerbaijan 7.3%, Armenia 7.2%, Germany 4.1% (2016) |
| Imports: | $6.64 billion (2016 est.) |
| Imports: | $7.394 billion (2015 est.) |
