| Economy | Namibia |
| --- | --- |
| Economy - overview: | Namibiaâ€™s economy is heavily dependent on the extraction and processing of minerals for export. Mining accounts for about 12.5% of GDP, but provides more than 50% of foreign exchange earnings. Rich alluvial diamond deposits make Namibia a primary source for gem-quality diamonds. Marine diamond mining is increasingly important as the terrestrial diamond supply has dwindled. The rising cost of mining diamonds, especially from the sea, combined with increased diamond production in Russia and China, has reduced profit margins. Namibian authorities have emphasized the need to add value to raw materials, do more in-country manufacturing, and exploit the services market, especially in the logistics and transportation sectors. |
| Economy - overview: | Namibia is one of the worldâ€™s largest producers of uranium. The Chinese-owned Husab uranium mine began producing uranium ore in 2017, and is expected to reach full production in August 2018 and produce 15 million pounds of uranium a year. Namibia also produces large quantities of zinc and is a smaller producer of gold and copper. Namibia's economy remains vulnerable to world commodity price fluctuations and drought. |
| Economy - overview: | Namibia normally imports about 50% of its cereal requirements; in drought years, food shortages are problematic in rural areas. A high per capita GDP, relative to the region, obscures one of the world's most unequal income distributions; the current government has prioritized exploring wealth redistribution schemes while trying to maintain a pro-business environment. GDP growth in 2017 slowed to about 1%, however, due to contractions in both the construction and mining sectors, as well as an ongoing drought. Growth is expected to recover modestly in 2018. |
| Economy - overview: | A five-year Millennium Challenge Corporation compact ended in September 2014. As an upper middle income country, Namibia is ineligible for a second compact. The Namibian economy is closely linked to South Africa with the Namibian dollar pegged one-to-one to the South African rand. Namibia receives 30%-40% of its revenues from the Southern African Customs Union (SACU); volatility in the size of Namibia's annual SACU allotment and global mineral prices complicates budget planning. |
| GDP (purchasing power parity): | $26.6 billion (2017 est.) |
| GDP (purchasing power parity): | $26.81 billion (2016 est.) |
| GDP (purchasing power parity): | $26.62 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $13.24 billion (2017 est.) |
| GDP - real growth rate: | -0.8% (2017 est.) |
| GDP - real growth rate: | 0.7% (2016 est.) |
| GDP - real growth rate: | 6.1% (2015 est.) |
| GDP - per capita (PPP): | $11,200 (2017 est.) |
| GDP - per capita (PPP): | $11,500 (2016 est.) |
| GDP - per capita (PPP): | $11,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 16.7% of GDP (2017 est.) |
| Gross national saving: | 9.6% of GDP (2016 est.) |
| Gross national saving: | 19.1% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 68.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.6% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 36.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -47.5% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.7% (2016 est.) |
| GDP - composition, by sector of origin: | industry: 26.3% (2016 est.) |
| GDP - composition, by sector of origin: | services: 67% (2017 est.) |
| Agriculture - products: | millet, sorghum, peanuts, grapes; livestock; fish |
| Industries: | meatpacking, fish processing, dairy products, pasta, beverages; mining (diamonds, lead, zinc, tin, silver, tungsten, uranium, copper) |
| Industrial production growth rate: | -0.4% (2017 est.) |
| Labor force: | 956,800 (2017 est.) |
| Labor force - by occupation: | agriculture: 31% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 54% (2013 est.) |
| Labor force - by occupation: | note: about half of Namibia's people are unemployed while about two-thirds live in rural areas; roughly two-thirds of rural dwellers rely on subsistence agriculture |
| Unemployment rate: | 34% (2016 est.) |
| Unemployment rate: | 28.1% (2014 est.) |
| Population below poverty line: | 28.7% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 42% (2010) |
| Distribution of family income - Gini index: | 59.7 (2010) |
| Distribution of family income - Gini index: | 70.7 (2003) |
| Budget: | revenues: 4.268 billion (2017 est.) |
| Budget: | expenditures: 5 billion (2017 est.) |
| Taxes and other revenues: | 32.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.5% (of GDP) (2017 est.) |
| Public debt: | 41.3% of GDP (2017 est.) |
| Public debt: | 39.5% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 6.1% (2017 est.) |
| Inflation rate (consumer prices): | 6.7% (2016 est.) |
| Central bank discount rate: | 7% (12 April 2017) |
| Central bank discount rate: | 6.5% (31 December 2015) |
| Commercial bank prime lending rate: | 10.04% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 9.84% (31 December 2016 est.) |
| Stock of narrow money: | $3.425 billion (31 December 2017 est.) |
| Stock of narrow money: | $2.911 billion (31 December 2016 est.) |
| Stock of broad money: | $3.425 billion (31 December 2017 est.) |
| Stock of broad money: | $2.911 billion (31 December 2016 est.) |
| Stock of domestic credit: | $8.582 billion (31 December 2017 est.) |
| Stock of domestic credit: | $7.038 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $1.305 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.152 billion (31 December 2011 est.) |
