| Economy | NAMIBIA |
| --- | --- |
| Economy - overview: | Namibia’s economy is heavily dependent on the extraction and processing of minerals for export. Mining accounts for 11.5% of GDP, but provides more than 50% of foreign exchange earnings. Rich alluvial diamond deposits make Namibia a primary source for gem-quality diamonds. Marine diamond mining is increasingly important as the terrestrial diamond supply has dwindled. The rising cost of mining diamonds, especially from the sea, combined with increased diamond production in Russia and China, has reduced profit margins. Namibian authorities have emphasized the need to add value to raw materials, do more in-country manufacturing, and exploit the services market, especially in the logistics and transportation sectors. |
| Economy - overview: | Namibia is the world's fifth-largest producer of uranium. The Chinese-owned Husab uranium mine is expected to start producing uranium ore in 2017. Once the Husab mine reaches full production, Namibia is expected to become the world’s second-largest producer of uranium. Namibia also produces large quantities of zinc and is a smaller producer of gold and copper. Namibia's economy remains vulnerable to world commodity price fluctuations and drought. |
| Economy - overview: | Namibia normally imports about 50% of its cereal requirements; in drought years, food shortages are problematic in rural areas. A high per capita GDP, relative to the region, obscures one of the world's most unequal income distributions. A priority of the current government is poverty eradication. Despite a drought, real GDP growth remained strong in 2015 around 5.3% because of construction in the mining and housing sectors coupled with expansionary fiscal policy. GDP growth in 2016 slowed to 1%, however, due to contractions in both the construction and mining sectors, as well as the ongoing drought. Growth is expected to recover modestly in 2017 and 2018. |
| Economy - overview: | A five-year Millennium Challenge Corporation compact ended in September 2014. As an upper middle income country, Namibia is ineligible for a second compact. The Namibian economy is closely linked to South Africa with the Namibian dollar pegged one-to-one to the South African rand. Namibia receives 30%-40% of its revenues from the Southern African Customs Union (SACU); volatility in the size of Namibia's annual SACU allotment and global mineral prices complicates budget planning. |
| GDP (purchasing power parity): | $26.35 billion (2016 est.) |
| GDP (purchasing power parity): | $25.74 billion (2015 est.) |
| GDP (purchasing power parity): | $24.02 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $10.95 billion (2016 est.) |
| GDP - real growth rate: | 1.1% (2016 est.) |
| GDP - real growth rate: | 6% (2015 est.) |
| GDP - real growth rate: | 6.4% (2014 est.) |
| GDP - per capita (PPP): | $11,300 (2016 est.) |
| GDP - per capita (PPP): | $11,400 (2015 est.) |
| GDP - per capita (PPP): | $11,000 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 11.6% of GDP (2016 est.) |
| Gross national saving: | 20.9% of GDP (2015 est.) |
| Gross national saving: | 24.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 73.3% |
| GDP - composition, by end use: | government consumption: 25.1% |
| GDP - composition, by end use: | investment in fixed capital: 24.1% |
| GDP - composition, by end use: | investment in inventories: 1.5% |
| GDP - composition, by end use: | exports of goods and services: 42.7% |
