| Economy | Namibia |
| --- | --- |
| Economic overview: | Namibiaâ€™s economy is heavily dependent on the extraction and processing of minerals for export. Mining accounts for about 12.5% of GDP, but provides more than 50% of foreign exchange earnings. Rich alluvial diamond deposits make Namibia a primary source for gem-quality diamonds. Marine diamond mining is increasingly important as the terrestrial diamond supply has dwindled. The rising cost of mining diamonds, especially from the sea, combined with increased diamond production in Russia and China, has reduced profit margins. Namibian authorities have emphasized the need to add value to raw materials, do more in-country manufacturing, and exploit the services market, especially in the logistics and transportation sectors. |
| Economic overview: | Namibia is one of the worldâ€™s largest producers of uranium. The Chinese-owned Husab uranium mine began producing uranium ore in 2017, and is expected to reach full production in August 2018 and produce 15 million pounds of uranium a year. Namibia also produces large quantities of zinc and is a smaller producer of gold and copper. Namibia's economy remains vulnerable to world commodity price fluctuations and drought. |
| Economic overview: | Namibia normally imports about 50% of its cereal requirements; in drought years, food shortages are problematic in rural areas. A high per capita GDP, relative to the region, obscures one of the world's most unequal income distributions; the current government has prioritized exploring wealth redistribution schemes while trying to maintain a pro-business environment. GDP growth in 2017 slowed to about 1%, however, due to contractions in both the construction and mining sectors, as well as an ongoing drought. Growth is expected to recover modestly in 2018. |
| Economic overview: | A five-year Millennium Challenge Corporation compact ended in September 2014. As an upper middle income country, Namibia is ineligible for a second compact. The Namibian economy is closely linked to South Africa with the Namibian dollar pegged one-to-one to the South African rand. Namibia receives 30%-40% of its revenues from the Southern African Customs Union (SACU); volatility in the size of Namibia's annual SACU allotment and global mineral prices complicates budget planning. |
| GDP real growth rate: | -1.56% (2019 est.) |
| GDP real growth rate: | 1.13% (2018 est.) |
| GDP real growth rate: | -1.02% (2017 est.) |
| Inflation rate (consumer prices): | 3.7% (2019 est.) |
| Inflation rate (consumer prices): | 4.2% (2018 est.) |
| Inflation rate (consumer prices): | 6.1% (2017 est.) |
| Credit ratings: | Fitch rating: BB (2019) |
| Credit ratings: | Moody's rating: Ba3 (2020) |
| GDP (purchasing power parity) - real: | $30.89 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $31.408 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $31.068 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $12.372 billion (2019 est.) |
| GDP - per capita (PPP): | $7,873 (2019 est.) |
| GDP - per capita (PPP): | $8,157 (2018 est.) |
| GDP - per capita (PPP): | $8,222 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 16.7% of GDP (2017 est.) |
| Gross national saving: | 9.6% of GDP (2016 est.) |
