| Economy | NEPAL |
| --- | --- |
| Economy - overview: | Nepal is among the poorest and least developed countries in the world, with about one-quarter of its population living below the poverty line. Nepal is heavily dependent on remittances, which amount to as much as 29% of GDP. Agriculture is the mainstay of the economy, providing a livelihood for almost 70% of the population and accounting for about one-third of GDP. Industrial activity mainly involves the processing of agricultural products, including pulses, jute, sugarcane, tobacco, and grain. |
| Economy - overview: | Nepal has considerable scope for exploiting its potential in hydropower, with an estimated 42,000 MW of commercially feasible capacity. Nepal and India signed trade and investment agreements in 2014 that increase Nepal’s hydropower potential, but political uncertainty and a difficult business climate have hampered foreign investment. |
| Economy - overview: | Nepal was hit by massive earthquakes in early 2015, which damaged or destroyed infrastructure and homes and set back economic development. Political gridlock in the past several years and recent public protests, predominantly in the southern Tarai region, have hindered post-earthquake recovery and prevented much-needed economic reform. Additional challenges to Nepal's growth include its landlocked geographic location, persistent power shortages, and underdeveloped transportation infrastructure. |
| GDP (purchasing power parity): | $70.09 billion (2015 est.) |
| GDP (purchasing power parity): | $67.81 billion (2014 est.) |
| GDP (purchasing power parity): | $64.35 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $21.36 billion (2015 est.) |
| GDP - real growth rate: | 3.4% (2015 est.) |
| GDP - real growth rate: | 5.4% (2014 est.) |
| GDP - real growth rate: | 4.1% (2013 est.) |
| GDP - per capita (PPP): | $2,500 (2015 est.) |
| GDP - per capita (PPP): | $2,400 (2014 est.) |
| GDP - per capita (PPP): | $2,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 50.5% of GDP (2015 est.) |
| Gross national saving: | 36.3% of GDP (2014 est.) |
| Gross national saving: | 38.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 78.4% |
| GDP - composition, by end use: | government consumption: 11% |
| GDP - composition, by end use: | investment in fixed capital: 27.7% |
| GDP - composition, by end use: | investment in inventories: 12.9% |
| GDP - composition, by end use: | exports of goods and services: 11.7% |
| GDP - composition, by end use: | imports of goods and services: -41.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 29.4% |
| GDP - composition, by sector of origin: | industry: 13.8% |
| GDP - composition, by sector of origin: | services: 49.4% (2015 est.) |
| Agriculture - products: | pulses, rice, corn, wheat, sugarcane, jute, root crops; milk, water buffalo meat |
| Industries: | tourism, carpets, textiles; small rice, jute, sugar, and oilseed mills; cigarettes, cement and brick production |
| Industrial production growth rate: | 1.5% (2015 est.) |
| Labor force: | 15.2 million |
| Labor force: | note: severe lack of skilled labor (2013 est.) |
| Labor force - by occupation: | agriculture: 69% |
| Labor force - by occupation: | industry: 12% |
| Labor force - by occupation: | services: 19% (2014 est.) |
| Unemployment rate: | 46% (2008 est.) |
| Unemployment rate: | 42% (2004 est.) |
| Population below poverty line: | 25.2% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.2% |
| Household income or consumption by percentage share: | highest 10%: 29.5% (2011) |
| Distribution of family income - Gini index: | 32.8 (2010) |
| Distribution of family income - Gini index: | 47.2 (2008 est.) |
| Budget: | revenues: $4.394 billion |
| Budget: | expenditures: $4.179 billion (2015 est.) |
| Taxes and other revenues: | 20.6% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | 1% of GDP (2015 est.) |
| Public debt: | 30% of GDP (FY 2012/13 est.) |
| Public debt: | 32% of GDP (2013 est.) (FY11/12) |
| Fiscal year: | 16 July - 15 July |
| Inflation rate (consumer prices): | 7.9% (2015 est.) |
| Inflation rate (consumer prices): | 8.4% (2014 est.) |
| Central bank discount rate: | 8% (31 July 2015) |
| Central bank discount rate: | 8% (31 July 2014) |
| Commercial bank prime lending rate: | 9.8% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 10.6% (31 December 2014 est.) |
| Stock of narrow money: | $4.762 billion (31 December 2015 est.) |
| Stock of narrow money: | $3.567 billion (31 December 2014 est.) |
| Stock of broad money: | $17.83 billion (31 December 2015 est.) |
| Stock of broad money: | $16.36 billion (31 December 2014 est.) |
| Stock of domestic credit: | $14.92 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.97 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $11.81 billion (31 October 2015 est.) |
| Market value of publicly traded shares: | $9.574 billion (31 October 2014 est.) |
| Market value of publicly traded shares: | $5.235 billion (31 December 2010 est.) |
| Current account balance: | $1.067 billion (2015 est.) |
| Current account balance: | $908 million (2014 est.) |
| Exports: | $813.1 million (2015 est.) |
| Exports: | $1.022 billion (2014 est.) |
| Exports - commodities: | clothing, pulses, carpets, textiles, juice, jute goods |
| Exports - partners: | India 61.3%, US 9.4% (2015) |
| Imports: | $6.511 billion (2015 est.) |
| Imports: | $7.581 billion (2014 est.) |
| Imports - commodities: | petroleum products, machinery and equipment, gold, electrical goods, medicine |
| Imports - partners: | India 61.5%, China 15.4% (2015) |
| Reserves of foreign exchange and gold: | $7.945 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $6.034 billion (31 December 2014 est.) |
| Debt - external: | $4.609 billion (31 December 2015 est.) |
| Debt - external: | $4.01 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $103 million (31 July 2013 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Nepalese rupees (NPR) per US dollar - |
| Exchange rates: | 102.405 (2015 est.) |
| Exchange rates: | 97.55 (2014 est.) |
| Exchange rates: | 99.53 (2013 est.) |
| Exchange rates: | 85.2 (2012 est.) |
| Exchange rates: | 74.02 (2011 est.) |
