| Economy | NEPAL |
| --- | --- |
| Economy - overview: | Nepal is among the poorest and least developed countries in the world, with about one-quarter of its population living below the poverty line. Nepal is heavily dependent on remittances, which amount to as much as 30% of GDP. Agriculture is the mainstay of the economy, providing a livelihood for almost two-thirds of the population but accounting for only one-third of GDP. Industrial activity mainly involves the processing of agricultural products, including pulses, jute, sugarcane, tobacco, and grain. |
| Economy - overview: | Nepal has considerable scope for exploiting its potential in hydropower, with an estimated 42,000 MW of commercially feasible capacity. Nepal and India signed trade and investment agreements in 2014 that increase Nepal’s hydropower potential, but political uncertainty and a difficult business climate have hampered foreign investment. |
| Economy - overview: | Nepal was hit by massive earthquakes in early 2015, which damaged or destroyed infrastructure and homes and set back economic development. Political gridlock in the past several years and recent public protests, predominantly in the southern Tarai region, have hindered post-earthquake recovery and prevented much-needed economic reform. Additional challenges to Nepal's growth include its landlocked geographic location, persistent power shortages, and underdeveloped transportation infrastructure. |
| GDP (purchasing power parity): | $71.82 billion (2016 est.) |
| GDP (purchasing power parity): | $70.62 billion (2015 est.) |
| GDP (purchasing power parity): | $67.62 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $21.14 billion (2016 est.) |
| GDP - real growth rate: | 0.4% (2016 est.) |
| GDP - real growth rate: | 3.3% (2015 est.) |
| GDP - real growth rate: | 6% (2014 est.) |
| GDP - per capita (PPP): | $2,500 (2016 est.) |
| GDP - per capita (PPP): | $2,500 (2015 est.) |
| GDP - per capita (PPP): | $2,500 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 40% of GDP (2016 est.) |
| Gross national saving: | 44% of GDP (2015 est.) |
| Gross national saving: | 45.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 82.8% |
| GDP - composition, by end use: | government consumption: 11.6% |
| GDP - composition, by end use: | investment in fixed capital: 28.8% |
| GDP - composition, by end use: | investment in inventories: 6.7% |
| GDP - composition, by end use: | exports of goods and services: 9.5% |
| GDP - composition, by end use: | imports of goods and services: -39.4% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 29.2% |
| GDP - composition, by sector of origin: | industry: 13.1% |
| GDP - composition, by sector of origin: | services: 50% (2016 est.) |
| Agriculture - products: | pulses, rice, corn, wheat, sugarcane, jute, root crops; milk, water buffalo meat |
| Industries: | tourism, carpets, textiles; small rice, jute, sugar, and oilseed mills; cigarettes, cement and brick production |
| Industrial production growth rate: | -6.3% (2016 est.) |
| Labor force: | 15.6 million |
| Labor force: | note: severe lack of skilled labor (2014 est.) |
| Labor force - by occupation: | agriculture: 69% |
| Labor force - by occupation: | industry: 12% |
| Labor force - by occupation: | services: 19% (2014 est.) |
| Unemployment rate: | 3.3% (2013 est.) |
| Unemployment rate: | 2.7% (2008 est.) |
| Population below poverty line: | 25.2% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.2% |
| Household income or consumption by percentage share: | highest 10%: 29.5% (2011) |
| Distribution of family income - Gini index: | 32.8 (2010) |
| Distribution of family income - Gini index: | 47.2 (2008 est.) |
| Budget: | revenues: $4.886 billion |
| Budget: | expenditures: $4.592 billion (2016 est.) |
| Taxes and other revenues: | 23.1% of GDP (FY2016 est.) |
| Budget surplus (+) or deficit (-): | 1.4% of GDP (FY2016 est.) |
| Public debt: | 27.3% of GDP (2016 est.) |
| Public debt: | 25.2% of GDP (2015 est.) |
| Fiscal year: | 16 July - 15 July |
| Inflation rate (consumer prices): | 9.9% (2016 est.) |
| Inflation rate (consumer prices): | 7.9% (2015 est.) |
| Central bank discount rate: | 7% (30 October 2016) |
| Central bank discount rate: | 7% (30 October 2015) |
| Commercial bank prime lending rate: | 8.9% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 9.6% (31 December 2015 est.) |
| Stock of narrow money: | $4.871 billion (31 December 2016 est.) |
| Stock of narrow money: | $4.762 billion (31 December 2015 est.) |
| Stock of broad money: | $22.19 billion (31 December 2016 est.) |
| Stock of broad money: | $18.99 billion (31 December 2015 est.) |
| Stock of domestic credit: | $17.98 billion (31 December 2016 est.) |
| Stock of domestic credit: | $14.92 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $14.03 billion (30 April 2016 est.) |
| Market value of publicly traded shares: | $11.81 billion (31 October 2015 est.) |
| Market value of publicly traded shares: | $9.574 billion (31 October 2014 est.) |
| Current account balance: | $1.339 billion (2016 est.) |
| Current account balance: | $2.447 billion (2015 est.) |
| Exports: | $761.6 million (2016 est.) |
| Exports: | $813.1 million (2015 est.) |
| Exports - commodities: | clothing, pulses, carpets, textiles, juice, jute goods |
| Exports - partners: | India 56.6%, US 11.5%, Turkey 4% (2016) |
| Imports: | $8.757 billion (2016 est.) |
| Imports: | $6.511 billion (2015 est.) |
| Imports - commodities: | petroleum products, machinery and equipment, gold, electrical goods, medicine |
| Imports - partners: | India 70.1%, China 10.3% (2016) |
| Reserves of foreign exchange and gold: | $8.506 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $7.945 billion (31 December 2015 est.) |
| Debt - external: | $4.321 billion (31 December 2016 est.) |
| Debt - external: | $4.155 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $103 million (31 July 2013 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Nepalese rupees (NPR) per US dollar - |
| Exchange rates: | 107.384 (2016 est.) |
| Exchange rates: | 107.38 (2015 est.) |
| Exchange rates: | 102.41 (2014 est.) |
| Exchange rates: | 99.53 (2013 est.) |
| Exchange rates: | 85.2 (2012 est.) |
