| Economy | Bahrain |
| --- | --- |
| Economy - overview: | Oil and natural gas play a dominant role in Bahrainâ€™s economy. Despite the Governmentâ€™s past efforts to diversify the economy, oil still comprises 85% of Bahraini budget revenues. In the last few years lower world energy prices have generated sizable budget deficits - about 10% of GDP in 2017 alone. Bahrain has few options for covering these deficits, with low foreign assets and fewer oil resources compared to its GCC neighbors. The three major US credit agencies downgraded Bahrainâ€™s sovereign debt rating to "junk" status in 2016, citing persistently low oil prices and the governmentâ€™s high debt levels. Nevertheless, Bahrain was able to raise about $4 billion by issuing foreign currency denominated debt in 2017. |
| Economy - overview: | Other major economic activities are production of aluminum - Bahrain's second biggest export after oil and gas â€“finance, and construction. Bahrain continues to seek new natural gas supplies as feedstock to support its expanding petrochemical and aluminum industries. In April 2018 Bahrain announced it had found a significant oil field off the countryâ€™s west coast, but is still assessing how much of the oil can be extracted profitably. |
| Economy - overview: | In addition to addressing its current fiscal woes, Bahraini authorities face the long-term challenge of boosting Bahrainâ€™s regional competitiveness â€” especially regarding industry, finance, and tourism â€” and reconciling revenue constraints with popular pressure to maintain generous state subsidies and a large public sector. Since 2015, the government lifted subsidies on meat, diesel, kerosene, and gasoline and has begun to phase in higher prices for electricity and water. As part of its diversification plans, Bahrain implemented a Free Trade Agreement (FTA) with the US in August 2006, the first FTA between the US and a Gulf state. It plans to introduce a Value Added Tax (VAT) by the end of 2018. |
| GDP (purchasing power parity): | $71.17 billion (2017 est.) |
| GDP (purchasing power parity): | $68.59 billion (2016 est.) |
| GDP (purchasing power parity): | $66.3 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $35.33 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 3.8% (2017 est.) |
| GDP - real growth rate: | 3.5% (2016 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - per capita (PPP): | $49,000 (2017 est.) |
| GDP - per capita (PPP): | $48,200 (2016 est.) |
