| Economy | BELARUS |
| --- | --- |
| Economy - overview: | As part of the former Soviet Union, Belarus had a relatively well-developed, though aging industrial base; it retained this industrial base - which is now outdated, energy inefficient, and dependent on subsidized Russian energy and preferential access to Russian markets - following the breakup of the USSR. The country also has a broad agricultural base which is largely inefficient and dependent on government subsidies. After an initial burst of capitalist reform from 1991-94, including privatization of smaller state enterprises and some service sector businesses, creation of institutions of private property, and development of entrepreneurship, Belarus' economic development greatly slowed. About 80% of all industry remains in state hands, and foreign investment has been hindered by a climate hostile to business. A few banks, which had been privatized after independence, were renationalized. State banks account for 75% of the banking sector. |
| Economy - overview: | Economic output, which had declined for several years following the collapse of the Soviet Union, revived in the mid-2000s due to the boom in oil prices. Belarus has only small reserves of crude oil, though it imports most of its crude oil and natural gas from Russia at prices substantially below the world market. Belarus exported refined oil products at market prices produced from Russian crude oil purchased at a steep discount. In late 2006, Russia began a process of rolling back its subsidies on oil and gas to Belarus. Tensions over Russian energy reached a peak in 2010, when Russia stopped the export of all subsidized oil to Belarus save for domestic needs. In December 2010, Russia and Belarus reached a deal to restart the export of discounted oil to Belarus. In 2015, Belarus continued to import Russian crude oil at a discounted price. However, the plunge in global oil prices heavily reduced revenues. |
| Economy - overview: | Little new foreign investment has occurred in recent years. In 2011, a financial crisis began, triggered by government directed salary hikes unsupported by commensurate productivity increases. The crisis was compounded by an increased cost in Russian energy inputs and an overvalued Belarusian ruble, and eventually led to a near three-fold devaluation of the Belarusian ruble in 2011. In November 2011, Belarus agreed to sell to Russia its remaining shares in Beltransgaz, the Belarusian natural gas pipeline operator, in exchange for reduced prices for Russian natural gas. Receiving part of a $3 billion loan from the Russian-dominated Eurasian Economic Community (EurAsEC) Bail-out Fund, a $1 billion loan from the Russian state-owned bank Sberbank, and the $2.5 billion sale of Beltransgaz to Russian state-owned Gazprom helped stabilize the situation in 2012; nevertheless, the Belarusian currency lost more than 60% of its value, as the rate of inflation reached new highs in 2011 and 2012, before calming in 2013. In December 2013, Russia announced a new loan for Belarus of up to $2 billion for 2014. Notwithstanding foreign assistance, the Belarusian economy continued to struggle under the weight of high external debt servicing payments and trade deficit. In mid-December 2014, structural economic shortcomings were aggravated by the devaluation of the Russian ruble and triggered a near 40% devaluation of the Belarusian ruble. Belarus entered 2015 with stagnant economic growth and reduced hard currency reserves, with under one month of import cover. |
| GDP (purchasing power parity): | $167.7 billion (2015 est.) |
| GDP (purchasing power parity): | $174.5 billion (2014 est.) |
| GDP (purchasing power parity): | $171.8 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $54.61 billion (2015 est.) |
| GDP - real growth rate: | -3.9% (2015 est.) |
| GDP - real growth rate: | 1.6% (2014 est.) |
| GDP - real growth rate: | 1% (2013 est.) |
| GDP - per capita (PPP): | $17,700 (2015 est.) |
| GDP - per capita (PPP): | $18,400 (2014 est.) |
| GDP - per capita (PPP): | $18,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 26.2% of GDP (2015 est.) |
| Gross national saving: | 28.7% of GDP (2014 est.) |
| Gross national saving: | 28.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 50.3% |
| GDP - composition, by end use: | government consumption: 14.9% |
| GDP - composition, by end use: | investment in fixed capital: 28.6% |
| GDP - composition, by end use: | investment in inventories: 6% |
| GDP - composition, by end use: | exports of goods and services: 60% |
| GDP - composition, by end use: | imports of goods and services: -59.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.9% |
| GDP - composition, by sector of origin: | industry: 41.3% |
| GDP - composition, by sector of origin: | services: 49.8% (2015 est.) |
| Agriculture - products: | grain, potatoes, vegetables, sugar beets, flax; beef, milk |
| Industries: | metal-cutting machine tools, tractors, trucks, earthmovers, motorcycles, televisions, synthetic fibers, fertilizer, textiles, radios, refrigerators |
| Industrial production growth rate: | -6.5% (2015 est.) |
