| Economy | TAJIKISTAN |
| --- | --- |
| Economy - overview: | Tajikistan is a poor, mountainous country with an economy dominated by minerals extraction, metals processing, agriculture, and reliance on remittances from citizens working abroad. The 1992-97 civil war severely damaged an already weak economic infrastructure and caused a sharp decline in industrial and agricultural production. Today, Tajikistan has one of the lowest per capita GDPs among the 15 former Soviet republics. Less than 7% of the land area is arable and cotton is the most important crop. Tajikistan imports approximately 70% of its food. Mineral resources include silver, gold, uranium, antimony, and tungsten. Industry consists mainly of small obsolete factories in food processing and light industry, substantial hydropower facilities, and a large aluminum plant - currently operating well below its capacity. |
| Economy - overview: | Because of a lack of employment opportunities in Tajikistan, more than one million Tajik citizens work abroad - roughly 90% in Russia - supporting families back home through remittances that in 2014 were equivalent to nearly 50% of GDP. Some experts estimate the value of narcotics transiting Tajikistan is equivalent to 30%-50% of GDP. |
| Economy - overview: | Since the end of the civil war, the country has pursued half-hearted reforms and privatizations in the economic sphere, but the poor business climate remains a hurdle to attracting foreign investment. Tajikistan has sought to develop its substantial hydroelectricity potential through partnership with Russian and Iranian investors, and is pursuing completion of the Roghun dam - which, if built according to plan, would be the tallest dam in the world. However, the project is a sensitive issue for downstream neighbors and faces large financing shortfalls. In 2016, Tajikistan officially contracted with Italian firm Salini Impregilo to construct the dam over a 13-year period for $3.9 billion. |
| Economy - overview: | Recent slowdowns in the Russian and Chinese economies, low commodity prices, and currency fluctuations are hampering economic growth in Tajikistan. By some estimates, the dollar value of remittances from Russia to Tajikistan dropped by more than 65% in 2015. The government faces challenges financing the public debt, which is equivalent to 35% of GDP, and the National Bank of Tajikistan has aggressively spent its reserves to bolster the weakening somoni, leaving little space for fiscal or monetary measures to counter any additional economic shocks. |
| GDP (purchasing power parity): | $26.02 billion (2016 est.) |
| GDP (purchasing power parity): | $24.04 billion (2015 est.) |
| GDP (purchasing power parity): | $22.43 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $6.922 billion (2016 est.) |
| GDP - real growth rate: | 6.9% (2016 est.) |
| GDP - real growth rate: | 6% (2015 est.) |
| GDP - real growth rate: | 6.7% (2014 est.) |
| GDP - per capita (PPP): | $3,000 (2016 est.) |
| GDP - per capita (PPP): | $2,900 (2015 est.) |
| GDP - per capita (PPP): | $2,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 17.6% of GDP (2016 est.) |
| Gross national saving: | 12.9% of GDP (2015 est.) |
| Gross national saving: | 13% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 101.8% |
| GDP - composition, by end use: | government consumption: 16.6% |
| GDP - composition, by end use: | investment in fixed capital: 12.1% |
| GDP - composition, by end use: | investment in inventories: 3.4% |
| GDP - composition, by end use: | exports of goods and services: 11.3% |
| GDP - composition, by end use: | imports of goods and services: -45.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 27.8% |
| GDP - composition, by sector of origin: | industry: 25.9% |
| GDP - composition, by sector of origin: | services: 46.3% (2016 est.) |
| Agriculture - products: | cotton, grain, fruits, grapes, vegetables; cattle, sheep, goats |
| Industries: | aluminum, cement, vegetable oil |
| Industrial production growth rate: | -3% (2016 est.) |
| Labor force: | 2.295 million (2016 est.) |
| Labor force - by occupation: | agriculture: 43% |
| Labor force - by occupation: | industry: 10.6% |
| Labor force - by occupation: | services: 46.4% (2016 est.) |
| Unemployment rate: | 2.4% (2016 est.) |
| Unemployment rate: | 2.5% (2015 est.) |
| Unemployment rate: | note: official rates; actual unemployment is much higher |
| Population below poverty line: | 31.5% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% (2009 est.) |
| Distribution of family income - Gini index: | 32.6 (2006) |
| Distribution of family income - Gini index: | 34.7 (1998) |
| Budget: | revenues: $2.231 billion |
| Budget: | expenditures: $2.352 billion (2016 est.) |
| Taxes and other revenues: | 32.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.7% of GDP (2016 est.) |
| Public debt: | 43.5% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.9% (2016 est.) |
| Inflation rate (consumer prices): | 10.8% (2015 est.) |
| Central bank discount rate: | 16% (20 March 2017) |
| Central bank discount rate: | 6.5% (31 December 2012) |
| Commercial bank prime lending rate: | 25.6% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 25.84% (31 December 2015 est.) |
| Stock of narrow money: | $1.108 billion (31 December 2016 est.) |
| Stock of narrow money: | $773 million (31 December 2015 est.) |
| Stock of broad money: | $1.3 billion (31 December 2016 est.) |
| Stock of broad money: | $934.9 million (31 December 2015 est.) |
| Stock of domestic credit: | $1.711 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.401 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-265 million (2016 est.) |
| Current account balance: | $-471.8 million (2015 est.) |
| Exports: | $691.1 million (2016 est.) |
| Exports: | $572 million (2015 est.) |
| Exports - commodities: | aluminum, electricity, cotton, fruits, vegetable oil, textiles |
| Exports - partners: | Turkey 27.8%, Russia 15.6%, China 14.7%, Switzerland 9.8%, Iran 6.5%, Algeria 6.5%, Italy 5.8% (2016) |
| Imports: | $2.604 billion (2016 est.) |
| Imports: | $2.826 billion (2015 est.) |
| Imports - commodities: | petroleum products, aluminum oxide, machinery and equipment, foodstuffs |
| Imports - partners: | Russia 31.2%, China 13.9%, Kazakhstan 12.8%, Uzbekistan 5.2%, Iran 5.1% (2016) |
| Reserves of foreign exchange and gold: | $652.8 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $494.3 million (31 December 2015 est.) |
| Debt - external: | $5.495 billion (31 December 2016 est.) |
| Debt - external: | $5.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $2.272 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $16.3 billion (31 December 2009) |
| Exchange rates: | Tajikistani somoni (TJS) per US dollar - |
| Exchange rates: | 7.8358 (2016 est.) |
| Exchange rates: | 7.8358 (2015 est.) |
| Exchange rates: | 6.1631 (2014 est.) |
| Exchange rates: | 4.9348 (2013 est.) |
