| Economy | TRINIDAD AND TOBAGO |
| --- | --- |
| Economy - overview: | Trinidad and Tobago attracts considerable foreign direct investment from international businesses, particularly in energy, and has one of the highest per capita incomes in Latin America. Economic growth between 2000 and 2007 averaged slightly over 8% per year, significantly above the regional average of about 3.7% for that same period; however, GDP has slowed down since then, contracting during 2009-2012, making small gains in 2013 and contracting again in 2014-2015. |
| Economy - overview: | Energy production and downstream industrial use dominate the economy. Trinidad and Tobago produces about nine times more natural gas than crude oil on an energy equivalent basis with gas contributing about two-thirds of energy sector government revenue. Oil and gas account for about 40% of GDP and 80% of exports but less than 5% of employment. In 2013, Trinidad and Tobago was the world’s sixth-largest liquefied natural gas (LNG) exporter and is home to one of the largest natural gas liquefaction facilities in the Western Hemisphere. The United States is the country’s largest trading partner, accounting for 33% of its total imports and taking 44% of its exports. |
| Economy - overview: | Trinidad and Tobago is buffered by considerable foreign reserves and a sovereign wealth fund that equals about one-and-a-half times the national budget, but the country is in a recession and the government faces the dual challenge of gas shortages and a low price environment. A projected 70% decrease in energy revenue to the government in 2016 will likely force cuts to the government budget, which has increased by 35% over the past six years. |
| Economy - overview: | Economic diversification is a longstanding government talking point, and Trinidad and Tobago has much potential due to its stable, democratic government and its educated, English speaking workforce. Although Trinidad and Tobago enjoys cheap electricity from natural gas, the renewable energy sector has recently garnered increased interest. The country is also a regional financial center with a well-regulated and stable financial system. Other sectors the Government of Trinidad and Tobago has targeted for increased investment and projected growth include tourism, agriculture, information and communications technology, and shipping. Unfortunately, a host of other factors, including low labor productivity, inefficient government bureaucracy, and corruption, have hampered economic development. |
| GDP (purchasing power parity): | $45.19 billion (2015 est.) |
| GDP (purchasing power parity): | $45.1 billion (2014 est.) |
| GDP (purchasing power parity): | $45.56 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $25.43 billion (2015 est.) |
| GDP - real growth rate: | 0.2% (2015 est.) |
| GDP - real growth rate: | -1% (2014 est.) |
| GDP - real growth rate: | 2.3% (2013 est.) |
| GDP - per capita (PPP): | $30,900 (2015 est.) |
