| Economy | TRINIDAD AND TOBAGO |
| --- | --- |
| Economy - overview: | Trinidad and Tobago relies on its energy sector for much of its economic activity, and has one of the highest per capita incomes in Latin America. Economic growth between 2000 and 2007 averaged slightly over 8% per year, significantly above the regional average of about 3.7% for that same period; however, GDP has slowed down since then, contracting during 2009-12, making small gains in 2013 and contracting again in 2014-16. Trinidad and Tobago is buffered by considerable foreign reserves and a sovereign wealth fund that equals about one-and-a-half times the national budget, but the country is in a recession and the government faces the dual challenge of gas shortages and a low price environment. |
| Economy - overview: | Energy production and downstream industrial use dominate the economy. Oil and gas typically account for about 40% of GDP and 80% of exports but less than 5% of employment. Trinidad and Tobago is home to one of the largest natural gas liquefaction facilities in the Western Hemisphere. Trinidad and Tobago produces about nine times more natural gas than crude oil on an energy equivalent basis with gas contributing about two-thirds of energy sector government revenue. The US is the country’s largest trading partner, accounting for 28% of its total imports and taking 48% of its exports. |
| Economy - overview: | Economic diversification is a longstanding government talking point, and Trinidad and Tobago has much potential due to its stable, democratic government and its educated, English speaking workforce. The country is also a regional financial center with a well-regulated and stable financial system. Other sectors the Government of Trinidad and Tobago has targeted for increased investment and projected growth include tourism, agriculture, information and communications technology, and shipping. Unfortunately, a host of other factors, including low labor productivity, inefficient government bureaucracy, and corruption, have hampered economic development. |
| GDP (purchasing power parity): | $43.42 billion (2016 est.) |
| GDP (purchasing power parity): | $45.31 billion (2015 est.) |
| GDP (purchasing power parity): | $45.08 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $21.13 billion (2016 est.) |
| GDP - real growth rate: | -5.4% (2016 est.) |
| GDP - real growth rate: | -0.6% (2015 est.) |
| GDP - real growth rate: | -0.6% (2014 est.) |
| GDP - per capita (PPP): | $31,800 (2016 est.) |
| GDP - per capita (PPP): | $33,700 (2015 est.) |
| GDP - per capita (PPP): | $34,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 9.5% of GDP (2016 est.) |
| Gross national saving: | 12.4% of GDP (2015 est.) |
| Gross national saving: | 12.9% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 76.3% |
| GDP - composition, by end use: | government consumption: 17.4% |
| GDP - composition, by end use: | investment in fixed capital: 8.8% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 48.1% |
| GDP - composition, by end use: | imports of goods and services: -50.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.4% |
| GDP - composition, by sector of origin: | industry: 48.4% |
| GDP - composition, by sector of origin: | services: 51.2% (2016 est.) |
| Agriculture - products: | cocoa, dasheen, pumpkin, cassava, tomatoes, cucumbers, eggplant, hot pepper, pommecythere, coconut water, poultry |
| Industries: | petroleum and petroleum products, liquefied natural gas, methanol, ammonia, urea, steel products, beverages, food processing, cement, cotton textiles |
| Industrial production growth rate: | -8.5% (2016 est.) |
| Labor force: | 627,400 (2016 est.) |
| Labor force - by occupation: | agriculture: 3.4% |
| Labor force - by occupation: | industry: 11.5% |
| Labor force - by occupation: | services: 84.7% (2015 est.) |
| Unemployment rate: | 4.1% (2016 est.) |
| Unemployment rate: | 3.5% (2015 est.) |
| Population below poverty line: | 20% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $6.733 billion |
| Budget: | expenditures: $7.817 billion (2016 est.) |
| Taxes and other revenues: | 32.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2016 est.) |
| Public debt: | 62.5% of GDP (2016 est.) |
| Public debt: | 51.3% of GDP (2015 est.) |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 3.1% (2016 est.) |
| Inflation rate (consumer prices): | 4.7% (2015 est.) |
| Central bank discount rate: | 6.75% (04 March 2016 est.) |
| Central bank discount rate: | 6.75% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 9% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.18% (31 December 2015 est.) |
| Stock of narrow money: | $6.72 billion (31 December 2016 est.) |
| Stock of narrow money: | $6.862 billion (31 December 2015 est.) |
| Stock of broad money: | $16.66 billion (31 December 2016 est.) |
| Stock of broad money: | $16.76 billion (31 December 2015 est.) |
| Stock of domestic credit: | $9.718 billion (31 December 2016 est.) |
| Stock of domestic credit: | $9.265 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $177.4 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $171.6 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $170 million (31 December 2013 est.) |
| Current account balance: | $-2.395 billion (2016 est.) |
| Current account balance: | $956.7 million (2015 est.) |
| Exports: | $8.714 billion (2016 est.) |
| Exports: | $11.13 billion (2015 est.) |
| Exports - commodities: | petroleum and petroleum products, liquefied natural gas, methanol, ammonia, urea, steel products, beverages, cereal and cereal products, cocoa, fish, preserved fruits, cosmetics, household cleaners, plastic packaging |
| Exports - partners: | US 39.2%, Argentina 9.3% (2016) |
| Imports: | $9.485 billion (2016 est.) |
| Imports: | $8.602 billion (2015 est.) |
| Imports - commodities: | mineral fuels, lubricants, machinery, transportation equipment, manufactured goods, food, chemicals, live animals |
| Imports - partners: | US 33.4%, Russia 13.3%, Gabon 12.4%, China 6.1% (2016) |
| Reserves of foreign exchange and gold: | $9.995 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $10.38 billion (31 December 2015 est.) |
| Debt - external: | $8.746 billion (31 December 2016 est.) |
| Debt - external: | $7.195 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $382.9 million (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $311.7 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.266 billion (2014 est.) |
| Stock of direct foreign investment - abroad: | $2.061 billion (2013 est.) |
| Exchange rates: | Trinidad and Tobago dollars (TTD) per US dollar - |
| Exchange rates: | 6.669 (2016 est.) |
| Exchange rates: | 6.669 (2015 est.) |
| Exchange rates: | 6.4041 (2014 est.) |
| Exchange rates: | 6.4041 (2013 est.) |
| Exchange rates: | 6.39 (2012 est.) |
