| Economy | IRAQ |
| --- | --- |
| Economy - overview: | During 2015, worsening security and financial stability throughout Iraq - driven by an ongoing insurgency, decreasing oil prices, and political upheaval - decreased prospects for improving the country's economic environment and securing much-needed foreign investment. Long-term fiscal health, a strengthened investment climate, and sustained improvements in the overall standard of living still depend on a rebound in global oil prices, the central government passing major policy reforms, and finishing the conflict with ISIL. |
| Economy - overview: | Iraq's largely state-run economy is dominated by the oil sector, which provides more than 90% of government revenue and 80% of foreign exchange earnings. Oil exports in 2015 averaged 3.0 million barrels per day, up from 2014, but a failed revenue- and oil-sharing agreement with the Iraqi Kurdistan Region's (IKR) autonomous Kurdistan Regional Government (KRG) resulted in a loss of exports from northern oil fields. Moreover, falling global oil prices resulted in declining export revenues. Iraq's contracts with major oil companies have the potential to further expand oil exports and revenues, but Iraq will need to make significant upgrades to its oil processing, pipeline, and export infrastructure to enable these deals to reach their economic potential. The IKR's autonomous KRG passed its own oil law in 2007, and has directly signed about 50 contracts to develop IKR energy reserves. The federal government has disputed the legal authority of the KRG to conclude most of these contracts, some of which are also in areas with unresolved administrative boundaries in dispute between the federal and regional government. In December 2014, the federal government and the KRG agreed to sell oil exports from Kurdish-controlled oilfields under the federal oil ministry, in exchange for the central government paying $1 billion to the Kurdish Peshmerga forces and resuming budget transfers to the KRG that amount to 17% of Iraq's national budget. However, that deal fell apart in 2015. |
| Economy - overview: | Iraq is making slow progress enacting laws and developing the institutions needed to implement economic policy, and political reforms are still needed to assuage investors' concerns regarding the uncertain business climate. The Government of Iraq is eager to attract additional foreign direct investment, but it faces a number of obstacles, including a tenuous political system and concerns about security and societal stability. Rampant corruption, outdated infrastructure, insufficient essential services, skilled labor shortages, and antiquated commercial laws stifle investment and continue to constrain growth of private, nonoil sectors. Under the Iraqi constitution, some competencies relevant to the overall investment climate are either shared by the federal government and the regions or are devolved entirely to local governments. Investment in the IKR operates within the framework of the Kurdistan Region Investment Law (Law 4 of 2006) and the Kurdistan Board of Investment, which is designed to provide incentives to help economic development in areas under the authority of the KRG. |
| Economy - overview: | Inflation has remained under control since 2006. However, Iraqi leaders remain hard-pressed to translate macroeconomic gains into an improved standard of living for the Iraqi populace. Unemployment remains a problem throughout the country despite a bloated public sector. Encouraging private enterprise through deregulation would make it easier for Iraqi citizens and foreign investors to start new businesses. Rooting out corruption and implementing reforms - such as restructuring banks and developing the private sector - would be important steps in this direction. |
| GDP (purchasing power parity): | $544.1 billion (2015 est.) |
| GDP (purchasing power parity): | $531.4 billion (2014 est.) |
| GDP (purchasing power parity): | $542.9 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $169.5 billion (2015 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - real growth rate: | -2.1% (2014 est.) |
| GDP - real growth rate: | 6.6% (2013 est.) |
| GDP - per capita (PPP): | $15,500 (2015 est.) |
| GDP - per capita (PPP): | $15,500 (2014 est.) |
| GDP - per capita (PPP): | $16,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 15% of GDP (2015 est.) |
| Gross national saving: | 11.4% of GDP (2014 est.) |
| Gross national saving: | 10% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 50.4% |
| GDP - composition, by end use: | government consumption: 18.8% |
| GDP - composition, by end use: | investment in fixed capital: 23.5% |
| GDP - composition, by end use: | investment in inventories: -4.5% |
| GDP - composition, by end use: | exports of goods and services: 39.7% |
| GDP - composition, by end use: | imports of goods and services: -27.9% |
| GDP - composition, by sector of origin: | agriculture: 5.3% |
| GDP - composition, by sector of origin: | industry: 48.8% |
| GDP - composition, by sector of origin: | services: 45.9% (2015 est.) |
| Agriculture - products: | wheat, barley, rice, vegetables, dates, cotton; cattle, sheep, poultry |
| Industries: | petroleum, chemicals, textiles, leather, construction materials, food processing, fertilizer, metal fabrication/processing |
| Industrial production growth rate: | 10.8% (2015 est.) |
| Labor force: | 8.9 million (2010 est.) |
| Labor force - by occupation: | agriculture: 21.6% |
| Labor force - by occupation: | industry: 18.7% |
| Labor force - by occupation: | services: 59.8% (2008 est.) |
| Unemployment rate: | 16% (2012 est.) |
| Unemployment rate: | 15% (2010 est.) |
| Population below poverty line: | 25% (2008 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 25.7% (2007 est.) |
| Budget: | revenues: $63.6 billion |
| Budget: | expenditures: $89.84 billion (2015 est.) |
| Taxes and other revenues: | 37.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -15.5% of GDP (2015 est.) |
| Fiscal year: | calendar year |
