| Economy | SYRIA |
| --- | --- |
| Economy - overview: | Syria's economy continues to deteriorate amid the ongoing conflict that began in 2011, declining by 62% from 2010 to 2014. The government has struggled to address the effects of international sanctions, widespread infrastructure damage, diminished domestic consumption and production, reduced subsidies, and high inflation, which have caused dwindling foreign exchange reserves, rising budget and trade deficits, a decreasing value of the Syrian pound, and falling household purchasing power. |
| Economy - overview: | During 2014, the ongoing conflict and continued unrest and economic decline worsened the humanitarian crisis and elicited a greater need for international assistance, as the number of people in need inside Syria increased from 9.3 million to 12.2 million, and the number of Syrian refugees increased from 2.2 million to more than 3.3 million. |
| Economy - overview: | Prior to the turmoil, Damascus had begun liberalizing economic policies, including cutting lending interest rates, opening private banks, consolidating multiple exchange rates, raising prices on some subsidized items, and establishing the Damascus Stock Exchange, but the economy remains highly regulated. Long-run economic constraints include foreign trade barriers, declining oil production, high unemployment, rising budget deficits, increasing pressure on water supplies caused by heavy use in agriculture, rapid population growth, industrial expansion, water pollution, and widespread infrastructure damage. |
| GDP (purchasing power parity): | $55.8 billion (2014 est.) |
| GDP (purchasing power parity): | $61.9 billion (2013 est.) |
| GDP (purchasing power parity): | $97.5 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (purchasing power parity): | the war-driven deterioration of the economy resulted in a disappearance of quality national level statistics in the 2012-13 period |
| GDP (official exchange rate): | $24.6 billion (2014 est.) |
| GDP - real growth rate: | -9.9% (2015 est.) |
| GDP - real growth rate: | -36.5% (2014 est.) |
| GDP - real growth rate: | -30.9% (2013 est.) |
| GDP - per capita (PPP): | $5,100 (2011 est.) |
| GDP - per capita (PPP): | $5,100 (2010 est.) |
| GDP - per capita (PPP): | $5,200 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2011 US dollars |
| Gross national saving: | 20% of GDP (2015 est.) |
| Gross national saving: | 18.5% of GDP (2014 est.) |
| Gross national saving: | 14.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 63.4% |
| GDP - composition, by end use: | government consumption: 22.5% |
| GDP - composition, by end use: | investment in fixed capital: 19.2% |
| GDP - composition, by end use: | investment in inventories: 10.9% |
| GDP - composition, by end use: | exports of goods and services: 9.1% |
| GDP - composition, by end use: | imports of goods and services: -25.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.5% |
| GDP - composition, by sector of origin: | industry: 18.9% |
| GDP - composition, by sector of origin: | services: 61.6% (2015 est.) |
| Agriculture - products: | wheat, barley, cotton, lentils, chickpeas, olives, sugar beets; beef, mutton, eggs, poultry, milk |
