| Economy | AUSTRALIA |
| --- | --- |
| Economy - overview: | Following two decades of continuous growth, low unemployment, contained inflation, very low public debt, and a strong and stable financial system, Australia enters 2015 facing a range of growth constraints, principally driven by a sharp fall in global prices of key export commodities. Although demand for resources and energy from Asia and especially China has grown rapidly, creating a channel for resources investments and growth in commodity exports, sharp drops in current prices have already impacted growth. The services sector is the largest part of the Australian economy, accounting for about 70% of GDP and 75% of jobs. Australia was comparatively unaffected by the global financial crisis as the banking system has remained strong and inflation is under control. Australia has benefited from a dramatic surge in its terms of trade in recent years, although this trend could reverse or slow due to falling global commodity prices. Australia is a significant exporter of natural resources, energy, and food. Australia's abundant and diverse natural resources attract high levels of foreign investment and include extensive reserves of coal, iron, copper, gold, natural gas, uranium, and renewable energy sources. A series of major investments, such as the US$40 billion Gorgon Liquid Natural Gas project, will significantly expand the resources sector. Australia is an open market with minimal restrictions on imports of goods and services. The process of opening up has increased productivity, stimulated growth, and made the economy more flexible and dynamic. Australia plays an active role in the World Trade Organization, APEC, the G20, and other trade forums. Australia entered into free trade agreements (FTAs) with the Republic of Korea and Japan, and concluded an FTA with China, in 2014, adding to existing FTAs with Chile, Malaysia, New Zealand, Singapore, Thailand, and the US, and a regional FTA with ASEAN and New Zealand. Australia continues to negotiate bilateral agreements with India and Indonesia, as well as larger agreements with its Pacific neighbors and the Gulf Cooperation Council countries, and an Asia-wide Regional Comprehensive Economic Partnership that includes the ten ASEAN countries and China, Japan, Korea, New Zealand and India. Australia is also working on the Trans-Pacific Partnership Agreement with Brunei, Canada, Chile, Japan, Malaysia, Mexico, New Zealand, Peru, Singapore, the US, and Vietnam. |
| GDP (purchasing power parity): | $1.095 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.066 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.045 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $1.444 trillion (2014 est.) |
| GDP - real growth rate: | 2.7% (2014 est.) |
| GDP - real growth rate: | 2.1% (2013 est.) |
| GDP - real growth rate: | 3.6% (2012 est.) |
| GDP - per capita (PPP): | $46,400 (2014 est.) |
| GDP - per capita (PPP): | $45,200 (2013 est.) |
| GDP - per capita (PPP): | $44,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 24% of GDP (2014 est.) |
| Gross national saving: | 24.3% of GDP (2013 est.) |
| Gross national saving: | 24.9% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 55.7% |
| GDP - composition, by end use: | government consumption: 18.1% |
| GDP - composition, by end use: | investment in fixed capital: 26.7% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 21.3% |
| GDP - composition, by end use: | imports of goods and services: -21.8% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.7% |
| GDP - composition, by sector of origin: | industry: 28.9% |
| GDP - composition, by sector of origin: | services: 67.4% (2014 est.) |
| Agriculture - products: | wheat, barley, sugarcane, fruits; cattle, sheep, poultry |
| Industries: | mining, industrial and transportation equipment, food processing, chemicals, steel |
| Industrial production growth rate: | 2.1% (2014 est.) |
| Labor force: | 12.37 million (2014 est.) |
| Labor force - by occupation: | agriculture: 3.6% |
| Labor force - by occupation: | industry: 21.1% |
| Labor force - by occupation: | services: 75% (2009 est.) |
| Unemployment rate: | 6.1% (2014 est.) |
| Unemployment rate: | 5.7% (2013 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (1994) |
| Distribution of family income - Gini index: | 30.3 (2008) |
| Distribution of family income - Gini index: | 35.2 (1994) |
| Budget: | revenues: $493.1 billion |
| Budget: | expenditures: $521.3 billion (2014 est.) |
