| Economy | Switzerland |
| --- | --- |
| Economy - overview: | Switzerland is a peaceful, prosperous, and modern market economy with low unemployment, a highly skilled labor force, and a per capita GDP among the highest in the world. Switzerland's economy benefits from a highly developed service sector, led by financial services, and a manufacturing industry that specializes in high-technology, knowledge-based production. Its economic and political stability, transparent legal system, exceptional infrastructure, efficient capital markets, and low corporate tax rates also make Switzerland one of the world's most competitive economies. The Swiss have brought their economic practices largely into conformity with the EU's to enhance their international competitiveness, but some trade protectionism remains, particularly for its small agricultural sector. The fate of the Swiss economy is tightly linked to that of its neighbors in the euro zone, which purchases half of all Swiss exports. The global financial crisis of 2008 and resulting economic downturn in 2009 stalled export demand and put Switzerland in a recession. The Swiss National Bank (SNB) during this period effectively implemented a zero-interest rate policy to boost the economy as well as prevent appreciation of the franc, and Switzerland's economy began to recover in 2010. The sovereign debt crises currently unfolding in neighboring euro-zone countries pose a significant risk to Switzerland's financial stability and are driving up demand for the Swiss franc by investors seeking a safe-haven currency. The independent SNB has upheld its zero-interest rate policy and conducted major market interventions to prevent further appreciation of the Swiss franc, but parliamentarians have urged it to do more to weaken the currency. The franc's strength has made Swiss exports less competitive and weakened the country's growth outlook; GDP growth fell below 2% per year during 2011-13. Switzerland has also come under increasing pressure from individual neighboring countries, the EU, the US, and international institutions to reform its banking secrecy laws. Consequently, the government agreed to conform to OECD regulations on administrative assistance in tax matters, including tax evasion. The government has renegotiated its double taxation agreements with numerous countries, including the US, to incorporate the OECD standard, and is considering the possibility of imposing taxes on bank deposits held by foreigners. These steps will have a lasting impact on Switzerland's long history of bank secrecy. |
| GDP (purchasing power parity): | $371.2 billion (2013 est.) |
| GDP (purchasing power parity): | $363.9 billion (2012 est.) |
| GDP (purchasing power parity): | $360.1 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $646.2 billion (2013 est.) |
| GDP - real growth rate: | 2% (2013 est.) |
| GDP - real growth rate: | 1% (2012 est.) |
| GDP - real growth rate: | 1.8% (2011 est.) |
| GDP - per capita (PPP): | $54,800 (2013 est.) |
| GDP - per capita (PPP): | $53,300 (2012 est.) |
| GDP - per capita (PPP): | $50,900 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 31.5% of GDP (2013 est.) |
| Gross national saving: | 31.5% of GDP (2012 est.) |
| Gross national saving: | 27.3% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 57.4% |
| GDP - composition, by end use: | government consumption: 11.5% |
| GDP - composition, by end use: | investment in fixed capital: 20.3% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 50.4% |
| GDP - composition, by end use: | imports of goods and services: -40.2% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% |
| GDP - composition, by sector of origin: | industry: 26.8% |
| GDP - composition, by sector of origin: | services: 72.5% (2013 est.) |
| Agriculture - products: | grains, fruits, vegetables; meat, eggs |
| Industries: | machinery, chemicals, watches, textiles, precision instruments, tourism, banking, insurance |
| Industrial production growth rate: | 2.2% (2013 est.) |
| Labor force: | 4.976 million (2013 est.) |
| Labor force - by occupation: | agriculture: 3.4% |
| Labor force - by occupation: | industry: 23.4% |
| Labor force - by occupation: | services: 73.2% (2010) |
| Unemployment rate: | 3.2% (2013 est.) |
| Unemployment rate: | 2.9% (2012 est.) |
| Population below poverty line: | 7.6% (2011) |
| Household income or consumption by percentage share: | lowest 10%: 7.5% |
| Household income or consumption by percentage share: | highest 10%: 19% (2007) |
| Distribution of family income - Gini index: | 28.7 (2012 est.) |
| Distribution of family income - Gini index: | 33.1 (1992) |
| Budget: | revenues: $217.8 billion |
| Budget: | expenditures: $208.5 billion |
| Budget: | note: includes federal, cantonal, and municipal budgets (2013 est.) |
| Taxes and other revenues: | 33.7% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 1.4% of GDP (2013 est.) |
| Public debt: | 33.8% of GDP (2013 est.) |
| Public debt: | 34.9% of GDP (2012) |
| Public debt: | note: general government gross debt; gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future; includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable; all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.4% (2013 est.) |
| Inflation rate (consumer prices): | -0.7% (2012 est.) |
| Central bank discount rate: | 0.5% (31 December 2010 est.) |
| Central bank discount rate: | 0.75% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 2.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 2.69% (31 December 2012 est.) |
| Stock of narrow money: | $525.9 billion (31 December 2013 est.) |
| Stock of narrow money: | $534.4 billion (31 December 2012 est.) |
| Stock of broad money: | $1.36 trillion (31 December 2013 est.) |
| Stock of broad money: | $1.215 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $1.395 trillion (31 December 2013 est.) |
