| Economy | SPAIN |
| --- | --- |
| Economy - overview: | After experiencing a prolonged recession in the wake of the global financial crisis that began in 2008, in 2014 Spain marked the first full year of positive economic growth in seven years, largely due to increased private consumption. At the onset of the global financial crisis Spain's GDP contracted by 3.7% in 2009, ending a 16-year growth trend, and continued contracting through most of 2013. In 2013 the government successfully shored up struggling banks - exposed to the collapse of Spain's depressed real estate and construction sectors - and in January 2014 completed an EU-funded restructuring and recapitalization program. |
| Economy - overview: | Until 2014, credit contraction in the private sector, fiscal austerity, and high unemployment weighed on domestic consumption and investment. The unemployment rate rose from a low of about 8% in 2007 to more than 26% in 2013, but labor reforms prompted a modest reduction to 23.7% in 2014. High unemployment strained Spain's public finances, as spending on social benefits increased while tax revenues fell. Spain&rsquo;s budget deficit peaked at 11.4% of GDP in 2010, but Spain gradually reduced the deficit to just under 7% of GDP in 2013-14, slightly above the 6.5% target negotiated between Spain and the EU. Public debt has increased substantially &ndash; from 60.1% of GDP in 2010 to more than 97% in 2014. |
| Economy - overview: | Exports were resilient throughout the economic downturn and helped to bring Spain's current account into surplus in 2013 for the first time since 1986, where it remained in 2014. Rising labor productivity and an internal devaluation resulting from moderating labor costs and lower inflation have helped to improve foreign investor interest in the economy and positive FDI flows have been restored. |
| Economy - overview: | The government's efforts to implement labor, pension, health, tax, and education reforms - aimed at supporting investor sentiment - have become overshadowed by political activity in 2015 in anticipation of the national parliamentary elections in November. Spain&rsquo;s 2015 budget, published in September 2014, rolls back some recently imposed taxes in advance of the elections and leaves untouched the country&rsquo;s value-added tax (VAT) regime, which continues to generate significantly lower revenue than the EU average. Spain&rsquo;s borrowing costs are dramatically lower since their peak in mid-2012, and despite the recent uptic in economic activity, inflation has dropped sharply, from 1.5% in 2013 to nearly flat in 2014. |
| GDP (purchasing power parity): | $1.566 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.545 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.564 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $1.407 trillion (2014 est.) |
| GDP - real growth rate: | 1.4% (2014 est.) |
| GDP - real growth rate: | -1.2% (2013 est.) |
| GDP - real growth rate: | -2.1% (2012 est.) |
| GDP - per capita (PPP): | $33,700 (2014 est.) |
| GDP - per capita (PPP): | $33,200 (2013 est.) |
| GDP - per capita (PPP): | $33,700 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 19.6% of GDP (2014 est.) |
| Gross national saving: | 20.4% of GDP (2013 est.) |
| Gross national saving: | 19.9% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 59.1% |
| GDP - composition, by end use: | government consumption: 19.4% |
| GDP - composition, by end use: | investment in fixed capital: 18% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 31.8% |
| GDP - composition, by end use: | imports of goods and services: -28.7% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.2% |
| GDP - composition, by sector of origin: | industry: 25.4% |
| GDP - composition, by sector of origin: | services: 71.4% (2014 est.) |
| Agriculture - products: | grain, vegetables, olives, wine grapes, sugar beets, citrus; beef, pork, poultry, dairy products; fish |
| Industries: | textiles and apparel (including footwear), food and beverages, metals and metal manufactures, chemicals, shipbuilding, automobiles, machine tools, tourism, clay and refractory products, footwear, pharmaceuticals, medical equipment |
| Industrial production growth rate: | -0.3% (2014 est.) |
| Labor force: | 23.03 million (2014 est.) |
| Labor force - by occupation: | agriculture: 2.9% |
| Labor force - by occupation: | industry: 15% |
| Labor force - by occupation: | services: 58.4% (2014 est.) |
| Unemployment rate: | 24.5% (2014 est.) |
