| Economy | Nepal |
| --- | --- |
| Economy - overview: | Nepal is among the least developed countries in the world, with about one-quarter of its population living below the poverty line. Nepal is heavily dependent on remittances, which amount to as much as 30% of GDP. Agriculture is the mainstay of the economy, providing a livelihood for almost two-thirds of the population but accounting for less than a third of GDP. Industrial activity mainly involves the processing of agricultural products, including pulses, jute, sugarcane, tobacco, and grain. |
| Economy - overview: | Nepal has considerable scope for exploiting its potential in hydropower, with an estimated 42,000 MW of commercially feasible capacity. Nepal has signed trade and investment agreements with India, China, and other countries, but political uncertainty and a difficult business climate have hampered foreign investment. The United States and Nepal signed a $500 million Millennium Challenge Corporation Compact in September 2017 which will expand Nepalâ€™s electricity infrastructure and help maintain transportation infrastructure. |
| Economy - overview: | Massive earthquakes struck Nepal in early 2015, which damaged or destroyed infrastructure and homes and set back economic development. Although political gridlock and lack of capacity have hindered post-earthquake recovery, government-led reconstruction efforts have progressively picked up speed, although many hard hit areas still have seen little assistance. Additional challenges to Nepal's growth include its landlocked geographic location, inconsistent electricity supply, and underdeveloped transportation infrastructure. |
| GDP (purchasing power parity): | $79.19 billion (2017 est.) |
| GDP (purchasing power parity): | $73.39 billion (2016 est.) |
| GDP (purchasing power parity): | $72.96 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $24.88 billion (2017 est.) |
| GDP - real growth rate: | 7.9% (2017 est.) |
| GDP - real growth rate: | 0.6% (2016 est.) |
| GDP - real growth rate: | 3.3% (2015 est.) |
| GDP - per capita (PPP): | $2,700 (2017 est.) |
| GDP - per capita (PPP): | $2,500 (2016 est.) |
| GDP - per capita (PPP): | $2,500 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 45.4% of GDP (2017 est.) |
| Gross national saving: | 40.2% of GDP (2016 est.) |
| Gross national saving: | 44% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 78% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 33.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 8.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 9.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -42% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 27% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 13.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 59.5% (2017 est.) |
| Agriculture - products: | pulses, rice, corn, wheat, sugarcane, jute, root crops; milk, water buffalo meat |
| Industries: | tourism, carpets, textiles; small rice, jute, sugar, and oilseed mills; cigarettes, cement and brick production |
| Industrial production growth rate: | 12.4% (2017 est.) |
| Labor force: | 16.81 million (2017 est.) |
| Labor force: | note: severe lack of skilled labor |
| Labor force - by occupation: | agriculture: 69% |
| Labor force - by occupation: | industry: 12% |
| Labor force - by occupation: | services: 19% (2015 est.) |
| Unemployment rate: | 3% (2017 est.) |
| Unemployment rate: | 3.2% (2016 est.) |
| Population below poverty line: | 25.2% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.2% |
| Household income or consumption by percentage share: | highest 10%: 29.5% (2011) |
| Distribution of family income - Gini index: | 32.8 (2010) |
| Distribution of family income - Gini index: | 47.2 (2008 est.) |
| Budget: | revenues: 5.925 billion (2017 est.) |
| Budget: | expenditures: 5.945 billion (2017 est.) |
| Taxes and other revenues: | 23.8% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.1% (of GDP) (2017 est.) |
| Public debt: | 26.4% of GDP (2017 est.) |
| Public debt: | 27.9% of GDP (2016 est.) |
| Fiscal year: | 16 July - 15 July |
| Inflation rate (consumer prices): | 4.5% (2017 est.) |
| Inflation rate (consumer prices): | 9.9% (2016 est.) |
| Central bank discount rate: | 7% (30 July 2017) |
| Central bank discount rate: | 7% (30 July 2016) |
