| Economy | Egypt |
| --- | --- |
| Economy - overview: | Occupying the northeast corner of the African continent, Egypt is bisected by the highly fertile Nile valley, where most economic activity takes place. Egypt's economy was highly centralized during the rule of former President Gamal Abdel NASSER but opened up considerably under former Presidents Anwar EL-SADAT and Mohamed Hosni MUBARAK. Cairo from 2004 to 2008 aggressively pursued economic reforms to attract foreign investment and facilitate growth. Poor living conditions combined with limited job opportunities for the average Egyptian contribute to public discontent. After unrest erupted in January 2011, the Egyptian Government backtracked on economic reforms, drastically increasing social spending to address public dissatisfaction, but political uncertainty at the same time caused economic growth to slow significantly, reducing the government's revenues. Tourism, manufacturing, and construction were among the hardest hit sectors of the Egyptian economy, pushing up unemployment levels, and economic growth remains slow amid political uncertainty, government transitions, unrest, and cycles of violence. Cairo since 2011 has drawn down foreign exchange reserves and depended on foreign assistance, particularly from Gulf countries, to finance imports and energy products and prevent further devaluation of the Egyptian pound, fearing higher inflation from a weaker currency. |
| GDP (purchasing power parity): | $551.4 billion (2013 est.) |
| GDP (purchasing power parity): | $541.5 billion (2012 est.) |
| GDP (purchasing power parity): | $529.7 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $262 billion (2013 est.) |
| GDP - real growth rate: | 1.8% (2013 est.) |
| GDP - real growth rate: | 2.2% (2012 est.) |
| GDP - real growth rate: | 1.8% (2011 est.) |
| GDP - per capita (PPP): | $6,600 (2013 est.) |
| GDP - per capita (PPP): | $6,600 (2012 est.) |
| GDP - per capita (PPP): | $6,600 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 12.3% of GDP (2013 est.) |
| Gross national saving: | 13.1% of GDP (2012 est.) |
| Gross national saving: | 13.8% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 78.6% |
| GDP - composition, by end use: | government consumption: 11.8% |
| GDP - composition, by end use: | investment in fixed capital: 14.3% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 18% |
| GDP - composition, by end use: | imports of goods and services: -23.2% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.5% |
| GDP - composition, by sector of origin: | industry: 37.5% |
| GDP - composition, by sector of origin: | services: 48% (2013 est.) |
| Agriculture - products: | cotton, rice, corn, wheat, beans, fruits, vegetables; cattle, water buffalo, sheep, goats |
| Industries: | textiles, food processing, tourism, chemicals, pharmaceuticals, hydrocarbons, construction, cement, metals, light manufactures |
| Industrial production growth rate: | 1.4% (2013 est.) |
| Labor force: | 27.69 million (2013 est.) |
| Labor force - by occupation: | agriculture: 29% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 47% (2011 est.) |
| Unemployment rate: | 13.4% (2013 est.) |
| Unemployment rate: | 12.7% (2012 est.) |
| Population below poverty line: | 22% (2008 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 26.6% (2008) |
| Distribution of family income - Gini index: | 30.8 (2008) |
| Distribution of family income - Gini index: | 32.1 (2005) |
| Budget: | revenues: $45.57 billion |
| Budget: | expenditures: $80.42 billion (2013 est.) |
| Taxes and other revenues: | 17.4% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -13.3% of GDP (2013 est.) |
| Public debt: | 92.2% of GDP (2013 est.) |
| Public debt: | 88% of GDP (2012 est.) |
| Public debt: | note: data cover central government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 9% (2013 est.) |
| Inflation rate (consumer prices): | 7.1% (2012 est.) |
| Central bank discount rate: | 8.75% (5 December 2013 est.) |
| Central bank discount rate: | 8.68% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 11% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 12% (31 December 2012 est.) |
| Stock of narrow money: | $47.8 billion (31 December 2013 est.) |
| Stock of narrow money: | $45.33 billion (31 December 2012 est.) |
| Stock of broad money: | $191.2 billion (31 December 2013 est.) |
| Stock of broad money: | $183.6 billion (31 December 2012 est.) |
| Stock of domestic credit: | $163.6 billion (31 December 2013 est.) |
| Stock of domestic credit: | $192.5 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $63.49 billion (23 January 2014 est.) |
| Market value of publicly traded shares: | $58.01 billion (31 December 2012) |
| Market value of publicly traded shares: | $48.68 billion (31 December 2011 est.) |
| Current account balance: | -$6.035 billion (2013 est.) |
| Current account balance: | -$9.136 billion (2012 est.) |
| Exports: | $24.81 billion (2013 est.) |
| Exports: | $24.93 billion (2012 est.) |
| Exports - commodities: | crude oil and petroleum products, cotton, textiles, metal products, chemicals, processed food |
| Exports - partners: | Italy 7.9%, India 6.9%, US 6.8%, Saudi Arabia 6.2%, Turkey 5.3%, Libya 4.9% (2012) |
| Imports: | $59.22 billion (2013 est.) |
