| Economy | Egypt |
| --- | --- |
| Economy - overview: | Occupying the northeast corner of the African continent, Egypt is bisected by the highly fertile Nile valley where most economic activity takes place. Egypt's economy was highly centralized during the rule of former President Gamal Abdel NASSER but opened up considerably under former Presidents Anwar EL-SADAT and Mohamed Hosni MUBARAK. Agriculture, hydrocarbons, manufacturing, tourism, and other service sectors drove the countryâ€™s relatively diverse economic activity. |
| Economy - overview: | Despite Egyptâ€™s mixed record for attracting foreign investment over the past two decades, poor living conditions and limited job opportunities have contributed to public discontent. These socioeconomic pressures were a major factor leading to the January 2011 revolution that ousted MUBARAK. The uncertain political, security, and policy environment since 2011 has restricted economic growth and failed to alleviate persistent unemployment, especially among the young. |
| Economy - overview: | In late 2016, persistent dollar shortages and waning aid from its Gulf allies led Cairo to turn to the IMF for a 3-year, $12 billion loan program. To secure the deal, Cairo floated its currency, introduced new taxes, and cut energy subsidies - all of which pushed inflation above 30% for most of 2017, a high that had not been seen in a generation. Since the currency float, foreign investment in Egyptâ€™s high interest treasury bills has risen exponentially, boosting both dollar availability and central bank reserves. Cairo will be challenged to obtain foreign and local investment in manufacturing and other sectors without a sustained effort to implement a range of business reforms. |
| GDP (purchasing power parity): | $1.204 trillion (2017 est.) |
| GDP (purchasing power parity): | $1.155 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.107 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $236.5 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 4.2% (2017 est.) |
| GDP - real growth rate: | 4.3% (2016 est.) |
| GDP - real growth rate: | 4.4% (2015 est.) |
| GDP - per capita (PPP): | $12,700 (2017 est.) |
| GDP - per capita (PPP): | $12,800 (2016 est.) |
| GDP - per capita (PPP): | $12,400 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 9% of GDP (2017 est.) |
| Gross national saving: | 9.1% of GDP (2016 est.) |
| Gross national saving: | 10.6% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 86.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 14.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 16.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -28.5% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 34.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 54% (2017 est.) |
| Agriculture - products: | cotton, rice, corn, wheat, beans, fruits, vegetables; cattle, water buffalo, sheep, goats |
| Industries: | textiles, food processing, tourism, chemicals, pharmaceuticals, hydrocarbons, construction, cement, metals, light manufactures |
| Industrial production growth rate: | 3.5% (2017 est.) |
| Labor force: | 29.95 million (2017 est.) |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 25.1% |
| Labor force - by occupation: | services: 49.1% (2015 est.) |
| Unemployment rate: | 12.2% (2017 est.) |
| Unemployment rate: | 12.7% (2016 est.) |
| Population below poverty line: | 27.8% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 26.6% (2008) |
| Household income or consumption by percentage share: | highest 10%: 26.6% (2008) |
| Distribution of family income - Gini index: | 31.8 (2015) |
| Distribution of family income - Gini index: | 29.8 (2012) |
| Budget: | revenues: 42.32 billion (2017 est.) |
| Budget: | expenditures: 62.61 billion (2017 est.) |
| Taxes and other revenues: | 17.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -8.6% (of GDP) (2017 est.) |
| Public debt: | 103% of GDP (2017 est.) |
| Public debt: | 96.8% of GDP (2016 est.) |
| Public debt: | note: data cover central government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 23.5% (2017 est.) |
| Inflation rate (consumer prices): | 10.2% (2016 est.) |
| Central bank discount rate: | 19.25% (9 July 2017) |
| Central bank discount rate: | 15.25% (3 November 2016) |
| Commercial bank prime lending rate: | 18.18% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 13.6% (31 December 2016 est.) |
| Stock of narrow money: | $43.4 billion (31 December 2017 est.) |
| Stock of narrow money: | $34.51 billion (31 December 2016 est.) |
| Stock of broad money: | $43.4 billion (31 December 2017 est.) |
| Stock of broad money: | $34.51 billion (31 December 2016 est.) |
| Stock of domestic credit: | $193.4 billion (31 December 2017 est.) |
