| Economy | Egypt |
| --- | --- |
| Economic overview: | Occupying the northeast corner of the African continent, Egypt is bisected by the highly fertile Nile valley where most economic activity takes place. Egypt's economy was highly centralized during the rule of former President Gamal Abdel NASSER but opened up considerably under former Presidents Anwar EL-SADAT and Mohamed Hosni MUBARAK. Agriculture, hydrocarbons, manufacturing, tourism, and other service sectors drove the countryâ€™s relatively diverse economic activity. |
| Economic overview: | Despite Egyptâ€™s mixed record for attracting foreign investment over the past two decades, poor living conditions and limited job opportunities have contributed to public discontent. These socioeconomic pressures were a major factor leading to the January 2011 revolution that ousted MUBARAK. The uncertain political, security, and policy environment since 2011 has restricted economic growth and failed to alleviate persistent unemployment, especially among the young. |
| Economic overview: | In late 2016, persistent dollar shortages and waning aid from its Gulf allies led Cairo to turn to the IMF for a 3-year, $12 billion loan program. To secure the deal, Cairo floated its currency, introduced new taxes, and cut energy subsidies - all of which pushed inflation above 30% for most of 2017, a high that had not been seen in a generation. Since the currency float, foreign investment in Egyptâ€™s high interest treasury bills has risen exponentially, boosting both dollar availability and central bank reserves. Cairo will be challenged to obtain foreign and local investment in manufacturing and other sectors without a sustained effort to implement a range of business reforms. |
| GDP real growth rate: | 4.2% (2017 est.) |
| GDP real growth rate: | 4.3% (2016 est.) |
| GDP real growth rate: | 4.4% (2015 est.) |
| Inflation rate (consumer prices): | 9.3% (2019 est.) |
| Inflation rate (consumer prices): | 14.4% (2018 est.) |
| Inflation rate (consumer prices): | 29.6% (2017 est.) |
| Credit ratings: | Fitch rating: B+ (2019) |
| Credit ratings: | Moody's rating: B2 (2019) |
| Credit ratings: | Standard & Poors rating: B (2018) |
| GDP (purchasing power parity) - real: | $1,087,520,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $1,030,262,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $978.275 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $323.763 billion (2019 est.) |
| GDP - per capita (PPP): | $2,943 (2019 est.) |
| GDP - per capita (PPP): | $2,844 (2018 est.) |
| GDP - per capita (PPP): | $2,756 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 9% of GDP (2017 est.) |
| Gross national saving: | 9.1% of GDP (2016 est.) |
| Gross national saving: | 10.6% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 34.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 54% (2017 est.) |
| GDP - composition, by end use: | household consumption: 86.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 14.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 16.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -28.5% (2017 est.) |
| Ease of Doing Business Index scores: | 60.1 (2020) |
| Agriculture - products: | cotton, rice, corn, wheat, beans, fruits, vegetables; cattle, water buffalo, sheep, goats |
| Industries: | textiles, food processing, tourism, chemicals, pharmaceuticals, hydrocarbons, construction, cement, metals, light manufactures |
| Industrial production growth rate: | 3.5% (2017 est.) |
| Labor force: | 24.113 million (2020 est.) |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 25.1% |
| Labor force - by occupation: | services: 49.1% (2015 est.) |
| Unemployment rate: | 7.86% (2019 est.) |
| Unemployment rate: | 12.7% (2016 est.) |
| Population below poverty line: | 27.8% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 26.6% (2008) |
| Budget: | revenues: 42.32 billion (2017 est.) |
| Budget: | expenditures: 62.61 billion (2017 est.) |
| Taxes and other revenues: | 17.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -8.6% (of GDP) (2017 est.) |
| Public debt: | 103% of GDP (2017 est.) |
| Public debt: | 96.8% of GDP (2016 est.) |
