| Economy | SERBIA |
| --- | --- |
| Economy - overview: | Serbia has a transitional economy largely dominated by market forces, but the state sector remains significant in certain areas and many institutional reforms are needed. The economy relies on manufacturing and exports, driven largely by foreign investment. MILOSEVIC-era mismanagement of the economy, an extended period of international economic sanctions, civil war, and the damage to Yugoslavia's infrastructure and industry during the NATO airstrikes in 1999 left the economy only half the size it was in 1990. |
| Economy - overview: | After former Federal Yugoslav President MILOSEVIC was ousted in September 2000, the Democratic Opposition of Serbia (DOS) coalition government implemented stabilization measures and embarked on a market reform program. Serbia renewed its membership in the IMF in December 2000 and rejoined the World Bank and the European Bank for Reconstruction and Development. Serbia has made progress in trade liberalization and enterprise restructuring and privatization, but many large enterprises - including the power utilities, telecommunications company, natural gas company, and others - remain state-owned. Serbia has made some progress towards EU membership, signing a Stabilization and Association Agreement with Brussels in May 2008, and with full implementation of the Interim Trade Agreement with the EU in February 2010, gained candidate status in March 2012. In January 2014, Serbia's EU accession talks officially opened. Serbia's negotiations with the WTO are advanced, with the country's complete ban on the trade and cultivation of agricultural biotechnology products representing the primary remaining obstacle to accession. Serbia's program with the IMF was frozen in early 2012 because the 2012 budget approved by parliament deviated from the program parameters; the arrangement is now void. In late 2014, Serbia and the IMF announced a tentative plan for a precautionary loan worth approximately $1 billion, but the government will be challenged to implement IMF-mandated reforms that will target social spending and the large public sector. |
| Economy - overview: | High unemployment and stagnant household incomes are ongoing political and economic problems. Structural economic reforms needed to ensure the country's long-term prosperity have largely stalled since the onset of the global financial crisis. Growing budget deficits constrain the use of stimulus efforts to revive the economy and contribute to growing concern of a public debt crisis, given that Serbia's total public debt as a share of GDP more than doubled between 2008 and 2014. Serbia's concerns about inflation and exchange-rate stability preclude the use of expansionary monetary policy. During 2014 the SNS party addressed issues with the fiscal deficit, state-owned enterprises, the labor market, construction permits, bankruptcy and privatization, and other areas. |
| Economy - overview: | Major challenges ahead include: high unemployment rates and the need for job creation; high government expenditures for salaries, pensions, healthcare, and unemployment benefits; a growing need for new government borrowing; rising public and private foreign debt; attracting new foreign direct investment; and getting the IMF program back on track. Other serious longer-term challenges include an inefficient judicial system, high levels of corruption, and an aging population. Factors favorable to Serbia's economic growth include its strategic location, a relatively inexpensive and skilled labor force, and free trade agreements with the EU, Russia, Turkey, and countries that are members of the Central European Free Trade Agreement. |
| GDP (purchasing power parity): | $97.5 billion (2015 est.) |
| GDP (purchasing power parity): | $96.78 billion (2014 est.) |
| GDP (purchasing power parity): | $98.59 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $36.51 billion (2015 est.) |
| GDP - real growth rate: | 0.7% (2015 est.) |
| GDP - real growth rate: | -1.8% (2014 est.) |
| GDP - real growth rate: | 2.6% (2013 est.) |
| GDP - per capita (PPP): | $13,700 (2015 est.) |
| GDP - per capita (PPP): | $13,600 (2014 est.) |
| GDP - per capita (PPP): | $13,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 12.2% of GDP (2015 est.) |
| Gross national saving: | 11.5% of GDP (2014 est.) |
| Gross national saving: | 11.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 81.4% |
| GDP - composition, by end use: | government consumption: 11.4% |
| GDP - composition, by end use: | investment in fixed capital: 18.1% |
| GDP - composition, by end use: | investment in inventories: -1.1% |
| GDP - composition, by end use: | exports of goods and services: 47.7% |
| GDP - composition, by end use: | imports of goods and services: -57.4% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.5% |
| GDP - composition, by sector of origin: | industry: 41.9% |
| GDP - composition, by sector of origin: | services: 48.6% (2015 est.) |
| Agriculture - products: | wheat, maize, sunflower, sugar beets, grapes/wine, fruits (raspberries, apples, sour cherries), vegetables (tomatoes, peppers, potatoes), beef, pork, and meat products, milk and dairy products |
| Industries: | automobiles, base metals, furniture, food processing, machinery, chemicals, sugar, tires, clothes, pharmaceuticals |
| Industrial production growth rate: | 4.7% (2015 est.) |
| Labor force: | 2.9 million (2015 est.) |
| Labor force - by occupation: | agriculture: 21.9% |
| Labor force - by occupation: | industry: 15.6% |
| Labor force - by occupation: | services: 62.5% (2014 est.) |
| Unemployment rate: | 19.3% (2015 est.) |
| Unemployment rate: | 19.7% (2014 est.) |
| Population below poverty line: | 9.2% (2013 est.) |
| Distribution of family income - Gini index: | 38.7 (2014 est.) |
| Distribution of family income - Gini index: | 28.2 (2008 est.) |
| Budget: | revenues: $15.58 billion |
| Budget: | expenditures: $16.95 billion |
| Budget: | note: this is the consolidated budget, including both central government and local goverment budgets (2015 est.) |
| Taxes and other revenues: | 42.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.8% of GDP (2015 est.) |
| Public debt: | 77% of GDP (2015 est.) |
| Public debt: | 70.4% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued or owned by government entities other than the treasury (for which the Government of Singapore issued guarantees); the data include treasury debt held by foreign entities; the data include debt issued by subnational entities (for which the GOS also issued guarantees), as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Inflation rate (consumer prices): | 1.5% (2015 est.) |
| Inflation rate (consumer prices): | 2.1% (2014 est.) |
| Central bank discount rate: | 9.5% (18 March 2014) |
| Central bank discount rate: | 11.75% (6 February 2013) |
| Commercial bank prime lending rate: | 11% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 14.81% (31 December 2014 est.) |
| Stock of narrow money: | $4.535 billion (31 December 2015 est.) |
| Stock of narrow money: | $4.332 billion (31 December 2014 est.) |
| Stock of broad money: | $18.37 billion (31 December 2015 est.) |
| Stock of broad money: | $18.75 billion (31 December 2014 est.) |
| Stock of domestic credit: | $19.81 billion (31 December 2015 est.) |
| Stock of domestic credit: | $20.59 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $7.696 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $8.1 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $7.451 billion (31 December 2012 est.) |
| Current account balance: | -$1.765 billion (2015 est.) |
| Current account balance: | -$2.632 billion (2014 est.) |
| Exports: | $12.6 billion (2015 est.) |
| Exports: | $14.14 billion (2014 est.) |
| Exports - commodities: | iron and steel, rubber, clothes, wheat, fruit and vegetables, nonferrous metals, electric appliances, metal products, weapons and ammunition, automobiles |
| Exports - partners: | Italy 16.2%, Germany 12.6%, Bosnia and Herzegovina 8.7%, Romania 5.6%, Russia 5.4% (2015) |
| Imports: | $17.03 billion (2015 est.) |
| Imports: | $19.58 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, fuels and lubricants, manufactured goods, chemicals, food and live animals, raw materials |
