| Economy | Eswatini |
| --- | --- |
| Economy - overview: | A small, landlocked kingdom, Eswatini is bordered in the north, west and south by the Republic of South Africa and by Mozambique in the east. Eswatini depends on South Africa for a majority of its exports and imports. Eswatini's currency is pegged to the South African rand, effectively relinquishing Eswatini's monetary policy to South Africa. The government is dependent on customs duties from the Southern African Customs Union (SACU) for almost half of its revenue. Eswatini is a lower middle income country. As of 2017, more than one-quarter of the adult population was infected by HIV/AIDS; Eswatini has the worldâ€™s highest HIV prevalence rate, a financial strain and source of economic instability. |
| Economy - overview: | The manufacturing sector diversified in the 1980s and 1990s, but manufacturing has grown little in the last decade. Sugar and soft drink concentrate are the largest foreign exchange earners, although a drought in 2015-16 decreased sugar production and exports. Overgrazing, soil depletion, drought, and floods are persistent problems. Mining has declined in importance in recent years. Coal, gold, diamond, and quarry stone mines are small scale, and the only iron ore mine closed in 2014. With an estimated 28% unemployment rate, Eswatini's need to increase the number and size of small and medium enterprises and to attract foreign direct investment is acute. |
| Economy - overview: | Eswatini's national development strategy, which expires in 2022, prioritizes increases in infrastructure, agriculture production, and economic diversification, while aiming to reduce poverty and government spending. Eswatini's revenue from SACU receipts are likely to continue to decline as South Africa pushes for a new distribution scheme, making it harder for the government to maintain fiscal balance without introducing new sources of revenue. |
| GDP (purchasing power parity): | $11.6 billion (2017 est.) |
| GDP (purchasing power parity): | $11.41 billion (2016 est.) |
| GDP (purchasing power parity): | $11.26 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $4.417 billion (2017 est.) |
| GDP - real growth rate: | 1.6% (2017 est.) |
| GDP - real growth rate: | 1.4% (2016 est.) |
| GDP - real growth rate: | 0.4% (2015 est.) |
| GDP - per capita (PPP): | $10,100 (2017 est.) |
| GDP - per capita (PPP): | $10,100 (2016 est.) |
| GDP - per capita (PPP): | $10,100 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 25.4% of GDP (2017 est.) |
| Gross national saving: | 29.7% of GDP (2016 est.) |
| Gross national saving: | 23.3% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 64% (2017 est.) |
| GDP - composition, by end use: | government consumption: 21.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 13.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 47.9% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -46.3% (2017 est.) |
