| Economy | SWAZILAND |
| --- | --- |
| Economy - overview: | A small, landlocked kingdom, Swaziland is bordered in the north, west and south by the Republic of South Africa and by Mozambique in the east. Swaziland depends on South Africa for 60% of its exports and for more than 90% of its imports. Swaziland's currency is pegged to the South African rand, effectively relinquishing Swaziland's monetary policy to South Africa. The government is dependent on customs duties from the Southern African Customs Union (SACU) for 49% of revenue; income tax accounts for 27% and a valued added tax for 19% of revenues. Swaziland is a lower middle income country, but its income distribution is highly skewed, with an estimated 20% of the population controlling 80% of the nation’s wealth. As of 2017, more than one-quarter of the adult population was infected by HIV/AIDS; Swaziland has the world’s highest HIV prevalence rate. |
| Economy - overview: | Subsistence agriculture employs approximately 70% of the population. The manufacturing sector diversified in the 1980s and 1990s, but manufacturing has grown little in the last decade. Sugar and soft drink concentrate are the largest foreign exchange earners. Mining has declined in importance in recent years. Coal, gold, diamond, and quarry stone mines are small scale, and the only iron ore mine closed in 2014. |
| Economy - overview: | With an estimated 28% unemployment rate, Swaziland's need to increase the number and size of small and medium enterprises and to attract foreign direct investment is acute. On 1 January 2015, Swaziland lost its eligibility for benefits under the US African Growth and Opportunity Act after failing to meet benchmarks relating to workers’ rights. |
| Economy - overview: | The IMF forecasted that Swaziland’s economy will grow at a slower pace in 2017 because of a region-wide drought, which is likely to hurt Swaziland’s revenue from sugar exports and other agricultural products; tourism and transport sectors will also decline. Overgrazing, soil depletion, drought, and floods are persistent problems. Swaziland’s revenue from SACU receipts also are projected to decline in 2017, making it harder for the government to maintain fiscal balance. |
| GDP (purchasing power parity): | $11.11 billion (2016 est.) |
| GDP (purchasing power parity): | $10.97 billion (2015 est.) |
| GDP (purchasing power parity): | $10.74 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $3.786 billion (2016 est.) |
| GDP - real growth rate: | 0% (2016 est.) |
| GDP - real growth rate: | 1.1% (2015 est.) |
| GDP - real growth rate: | 3.6% (2014 est.) |
| GDP - per capita (PPP): | $9,800 (2016 est.) |
| GDP - per capita (PPP): | $9,900 (2015 est.) |
| GDP - per capita (PPP): | $9,900 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 12.8% of GDP (2016 est.) |
| Gross national saving: | 23% of GDP (2015 est.) |
| Gross national saving: | 11.6% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 67.4% |
| GDP - composition, by end use: | government consumption: 15.6% |
| GDP - composition, by end use: | investment in fixed capital: 14.1% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 36.6% |
| GDP - composition, by end use: | imports of goods and services: -33.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.3% |
| GDP - composition, by sector of origin: | industry: 45.4% |
| GDP - composition, by sector of origin: | services: 48.3% (2016 est.) |
| Agriculture - products: | sugarcane, corn, cotton, citrus, pineapples, cattle, goats |
| Industries: | soft drink concentrates, coal, forestry, sugar processing, textiles, and apparel |
| Industrial production growth rate: | 1.9% (2016 est.) |
| Labor force: | 427,900 (2016 est.) |
| Labor force - by occupation: | agriculture: 10.7% |
| Labor force - by occupation: | industry: 30.4% |
| Labor force - by occupation: | services: 58.9% (2014 est.) |
| Unemployment rate: | 28% (2014 est.) |
| Unemployment rate: | 28% (2013 est.) |
| Population below poverty line: | 63% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 40.1% (2010 est.) |
| Distribution of family income - Gini index: | 50.4 (2001) |
| Budget: | revenues: $980.1 million |
| Budget: | expenditures: $1.443 billion (2016 est.) |
| Taxes and other revenues: | 26% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -12.3% of GDP (2016 est.) |
| Public debt: | 27.5% of GDP (2016 est.) |
| Public debt: | 18.6% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 8% (2016 est.) |
